,ID,Center_x,Center_y,Width,Height,Orientation,Area,Mean_Intensity,Min_Intensity,Max_Intensity,Magnitudo,Eccentricity,Weighted_centroid_x,Weighted_centroid_y,Variance_x,Variance_y,Covariance,Intensity_x,mean_x,sigma_x,RMS_x,Intensity_y,mean_y,sigma_y,RMS_y,type_name,type_SDSS,type_ID,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,psf-cM_Mag_u,psf-cM_Mag_g,psf-cM_Mag_r,psf-cM_Mag_i,psf-cM_Mag_z
40,41,281.55213316873915,422.7940044334044,31.64081956811294,33.205170230976584,-0.15709455619936252,861.0,39.18696707715814,0.0,0.037443921568627456,16.017145869923358,0.047111659177831555,281.34537565619013,422.0795090705977,30.871931055851746,27.305105983512476,0.07476016499276739,12.449454415880126,18.564901800088588,5.44463140857551,0.21330355183651517,12.323748625152328,19.778405399250065,6.008831198244684,0.23527832152115857,3.0,GALAXY,0.0,19.19917,19.73757,24.83978,17.25117,22.95008,0.7658447,5.211062,0.6332155,0.1784654,0.5749552,19.04154,17.82163,22.23834,16.79924,17.03389,0.03651221,0.02350499,0.3848739,0.01859782,0.1283418,18.9649,18.61111,23.94506,16.36593,20.35116,1.773474,5.246892,1.908944,0.2913543,1.314121,0.1576299999999975,1.9159400000000026,2.60144,0.4519299999999973,5.91619
181,182,1000.7928616981309,107.08772010321762,5.996092751626208,9.415121782393966,-0.10391887761048232,43.0,23.005738387799564,0.0,0.03358274509803922,16.59540955785619,0.363142305515501,1000.8014418595243,106.9694148564183,2.423803133307956,2.4211898604989983,0.6299373149377061,-0.9104653444431274,4.9922313492144,-1.875618662461163,0.0033457509049913217,-1.0031366440796905,5.204588639501183,-1.9358112377697116,0.0007937055262834743,3.0,GALAXY,0.0,24.84255,22.42587,21.34415,20.96041,20.61214,0.8005469,0.0921932,0.05119583,0.04880407,0.1559781,25.00212,22.13765,20.86053,20.35498,17.77132,0.7639609,0.09670281,0.05145725,0.05253676,0.1424304,24.61029,22.39885,20.82532,20.31662,19.66792,2.703943,0.3048173,0.1029871,0.09507557,0.3791434,-0.1595700000000022,0.28821999999999903,0.4836199999999984,0.6054299999999984,2.840820000000001
2,3,16.26471102805745,1221.499326737587,10.002602169339042,11.215269934048164,0.0242337188964008,92.0,21.956611222464296,0.0,0.05230470588235294,16.646086719861707,0.108126489316821,15.942800515979734,1220.89130077587,2.8310190695585504,2.827533579664305,0.08229923753242474,1.9391399134831162,6.254726931590696,1.7494804575924845,0.0019177081207882702,1.8560394805854048,6.4585738671380515,1.654432344029929,0.0007373597408508322,3.0,GALAXY,0.0,26.34438,24.20208,22.88896,23.26918,23.0499,0.3056357,0.3750783,0.1891902,0.3219901,0.5656484,26.40068,23.37908,22.65688,22.75281,20.49138,0.2948282,0.523057,0.246212,0.464778,2.303236,24.32346,23.65289,23.40755,23.56646,21.70027,2.846361,0.907824,1.114598,1.623031,1.473091,-0.05630000000000024,0.8230000000000004,0.23207999999999984,0.5163699999999984,2.5585200000000015
109,110,650.8828458707577,570.5223194295116,16.918210660429317,22.386247398536028,-0.38772268834665435,313.0,16.86101561497326,0.0,0.04080705882352941,16.9327906735228,0.24425874693336502,650.8511771205013,570.3490441675598,24.386513762467075,15.59340383153176,4.003339689515997,1.9388636675805622,10.688400884070072,4.966155004359578,0.00877556677836435,2.6350304658364507,13.487031839812262,6.696011033323563,0.009969662956358764,3.0,GALAXY,0.0,22.23916,21.24047,21.02154,20.82794,20.54833,0.2020344,0.03689294,0.04108351,0.04494383,0.1533476,20.15107,18.89147,18.56435,18.46147,18.31424,0.1360306,0.01846959,0.02069484,0.02320181,0.1174054,20.28147,18.96684,18.6041,18.62753,18.53201,0.333328,0.04025807,0.03786235,0.07474251,0.2880881,2.0880899999999976,2.3489999999999966,2.4571900000000007,2.366470000000003,2.2340899999999984
9,10,76.94636419698526,528.6289086849919,19.032298729500315,21.329132442071067,-0.47291954346875387,337.0,35.730941886480906,0.0,0.05519333333333334,16.11738883853744,0.10768528531616772,76.41711596956449,528.1672375435874,19.731965926293924,17.886364067846444,1.6155683573670103,4.868202080522602,11.243519443716515,5.339872842262613,0.012725561843851456,5.020727472020649,11.812668830982261,5.5791363177398665,0.010599656013165263,3.0,GALAXY,0.0,21.434,20.32637,19.85117,19.64665,19.30745,0.1023526,0.02197255,0.01962999,0.02252883,0.05640102,19.71203,18.4048,17.9095,17.60228,17.29109,0.0661212,0.01032736,0.01043475,0.009953758,0.03132484,19.83669,18.50308,17.95961,17.67589,17.33768,0.1404746,0.01730523,0.01657355,0.02281069,0.06246506,1.7219700000000024,1.9215699999999991,1.9416699999999985,2.0443700000000007,2.016359999999999
268,269,1393.71875,1166.0,6.728877274013787,6.079192843730225,-0.007027706531550676,32.0,17.48708894117647,0.0,0.01683294117647059,16.893206202719476,0.09655168370993705,1393.5347351194953,1165.6010740848833,1.9577307649888098,2.484312637941912,0.23887490574270487,0.8490016564211531,4.005893488244902,2.8229467475291057,0.003915737976207465,-0.5936491261885197,4.41886101255584,-2.3234389385160417,0.001782192245622578,3.0,GALAXY,0.0,24.94574,22.29942,21.78835,21.50808,21.48127,0.7692056,0.08459058,0.07303944,0.07726406,0.315995,21.408,21.67886,20.5027,20.16886,19.66533,0.418338,0.08000115,0.06471653,0.06431837,0.3230322,22.31868,21.81792,20.67613,20.72519,19.68181,1.189556,0.2862357,0.1028333,0.2657896,0.456882,3.5377399999999994,0.6205600000000011,1.2856500000000004,1.339220000000001,1.8159399999999977
196,197,1071.6246973715122,130.67642602788953,18.220922886154447,25.4592394986074,-0.3357064428005931,377.0,31.231658754729967,0.0,0.0498878431372549,16.26351237300637,0.2843100090577678,1070.7556083281909,130.3630516334565,28.08544495445676,13.253888377974363,3.567861995776184,3.033730665131117,11.991857587515792,3.788130445107324,0.0061137845203901335,6.266273204533943,12.790187967490185,6.12460815756795,0.07022530578077185,3.0,GALAXY,0.0,22.92687,20.7631,19.3744,18.88464,18.49762,0.3364144,0.02734971,0.01586716,0.01436681,0.03178296,18.35024,18.42782,17.5121,16.7875,16.71645,0.1036383,0.01667608,0.008813624,0.007606458,0.0220298,19.75142,18.8168,17.74722,17.14865,16.87029,1.257749,0.7227212,0.666399,0.8331808,0.5617101,4.5766300000000015,2.335280000000001,1.8623000000000012,2.0971399999999996,1.781170000000003
46,47,296.4139525875811,355.2135667826313,27.758972461831632,11.476138226135948,0.6732847234324065,264.0,18.165454260249554,0.0,0.04086039215686275,16.851884343353564,0.5865791415040471,296.12155378973887,354.85592092869285,17.515356183357653,26.090507939021336,17.276277012279024,2.4156034416139422,12.742805099390003,3.3509456993619366,0.003692111855015558,1.9812641016827404,11.916233418470009,2.771615291494083,0.004769265906258574,3.0,GALAXY,0.0,21.67739,20.88022,20.4218,20.1856,19.87416,0.1233548,0.03297084,0.02649605,0.02729174,0.08395573,20.8055,19.29954,18.61802,18.26849,18.20198,0.119942,0.01701524,0.01471233,0.01519492,0.05646356,21.03341,19.33932,18.70193,18.37113,18.37879,0.5069955,0.0495198,0.02965266,0.0394973,0.1952335,0.8718900000000005,1.580680000000001,1.8037799999999997,1.917110000000001,1.6721800000000009
252,253,1347.0430871103117,374.3795283540062,15.3935089840835,23.563409515673097,0.07713088502686434,299.0,22.284826625745954,0.0,0.04480470588235294,16.629976850856643,0.34671979562870237,1345.9783502891046,373.96859910308024,26.313189360545948,7.631738617550582,-0.965271822467912,2.0988462228477585,9.42130980078085,3.686182916869145,0.005625226492433281,5.274865158162503,11.069624420962542,6.3760841238151995,0.2561491150103648,3.0,GALAXY,0.0,22.8221,21.39375,20.59596,20.20326,19.74648,0.2944587,0.06709044,0.08432833,0.08569588,0.09809659,21.65108,20.07132,19.11946,18.62655,18.11236,0.268486,0.0290983,0.01941893,0.0180643,0.05464111,22.65236,20.12978,19.16729,18.67274,18.20816,1.3448,0.09884249,0.1260957,0.1231246,0.1276666,1.1710199999999986,1.3224300000000007,1.4765000000000015,1.5767099999999985,1.6341199999999994
79,80,466.0684497253359,1289.1357690609987,10.464280437200074,4.875503644164459,0.12342944225942486,39.0,10.220415163398693,0.0,0.04252705882352941,17.4763286559262,0.5340813280546028,465.6758450935526,1288.790537869304,1.813571227598004,1.9773419899865985,0.26560404046904296,-0.37377444684765887,4.9600866599470805,-1.3561628178975147,0.000197217476080978,-0.43325407042472547,4.938723703080555,-1.4772579689893797,0.0045654201696291,3.0,GALAXY,0.0,23.87732,25.02855,22.43655,21.28913,20.58371,0.5142297,0.5111379,0.1283464,0.06480559,0.1629058,23.89806,24.99129,22.45007,20.71402,18.99622,2.092185,1.543784,0.1995928,0.06484719,0.1623772,24.12768,25.05627,22.43231,20.91301,20.16423,1.682864,1.165542,0.3594927,0.2356381,0.4560319,-0.02073999999999998,0.03725999999999985,-0.013519999999999754,0.5751099999999987,1.587489999999999
