,ra,dec,type,type_name,type_label,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z
0,243.730797320726,24.9347580712672,6,STAR,1,23.06828,23.60829,22.21764,21.28071,20.53939,0.4773644,0.2821496,0.1303861,0.08851454,0.1623964,21.49607,22.98161,22.0379,21.26001,20.27448,0.3570819,0.36957,0.1304111,0.1010448,0.1895581,23.22151,23.68711,22.20807,21.57308,20.31025,1.273993,0.7502518,0.3124515,0.2813816,0.4134465
1,243.733082339865,25.0797885711345,6,STAR,1,24.00958,22.97367,21.62405,20.1817,19.41411,0.931105,0.1755005,0.07767333,0.04047276,0.06039848,23.96298,22.60043,21.55651,20.19955,19.3371,1.148831,0.1800362,0.09836182,0.03643155,0.09198092,24.68421,23.11153,21.91918,20.30221,19.40343,2.008049,0.3675175,0.1951644,0.07280552,0.1187733
2,243.757436900435,25.0747933720929,3,GALAXY,0,22.89239,21.02941,20.21738,19.82564,19.57051,0.4261615,0.03786309,0.03133285,0.03366462,0.06786459,19.91094,20.2704,19.40358,19.10925,18.93368,0.2828635,0.02985549,0.02065391,0.02235419,0.06020147,21.9898,20.33378,19.48616,19.07175,19.00191,0.7740006,0.0634514,0.04813778,0.05043561,0.172271
3,243.759372620395,25.0462651903815,6,STAR,1,23.89519,23.86449,23.08434,21.99355,21.90004,0.8716998,0.3588921,0.2659018,0.1616223,0.4488218,24.01487,23.48904,23.1369,21.99159,20.67529,1.077987,0.753643,0.3668623,0.2276516,0.5957885,26.09223,24.04352,23.58079,22.45448,21.85842,1.242973,0.7280005,0.7609598,0.5107577,0.8921198
4,243.761076760487,24.9995687964428,3,GALAXY,0,24.19707,23.89684,21.66061,20.76181,20.42298,0.9891175,0.5000967,0.0921417,0.06015771,0.1414762,24.95041,23.91394,21.30125,20.30664,19.18,1.055019,0.5193609,0.09181789,0.05454876,0.1475978,24.62608,24.39315,21.14748,20.34097,19.37633,3.861619,2.545311,0.2079199,0.143796,0.2196189
5,243.76663614374,24.9960888028859,3,GALAXY,0,23.68609,23.04402,22.54852,22.17734,22.35138,0.7638431,0.1822383,0.1703607,0.1891062,0.5688725,20.86448,22.02238,22.34983,21.35145,20.63663,0.7222321,0.3318391,0.1745742,0.207258,1.642003,22.48773,22.67982,22.7162,22.04878,21.32754,0.6287235,0.2807281,0.389371,0.3566294,0.6771887
6,243.768818095949,24.9733230921752,3,GALAXY,0,24.22059,23.601,22.40291,22.0552,21.05957,0.9852794,0.2865755,0.1503454,0.1693707,0.2407948,25.43842,19.73093,19.64075,21.29716,19.58137,1.452362,0.1767737,0.1228578,0.1474878,0.2691751,26.3585,21.7784,21.33278,21.44793,20.21355,1.50909,0.2100731,0.2114628,0.3852846,0.4658905
7,243.78329442582,25.0536375366294,6,STAR,1,21.55167,20.26912,19.542,19.33519,19.25278,0.1371768,0.02477808,0.02496294,0.02815551,0.05347481,21.55639,20.20892,19.5562,19.33474,19.27589,0.1602937,0.02017298,0.01546613,0.02329076,0.06155034,22.43633,20.23778,19.56065,19.36338,19.34809,0.5679955,0.03156348,0.02540073,0.03387058,0.1211814
8,243.785167625456,25.0000739417626,6,STAR,1,22.86456,20.77072,19.46954,18.90114,18.53518,0.4296834,0.0318182,0.02573089,0.02607303,0.03282118,22.92523,20.78548,19.48967,18.88475,18.55679,0.4426732,0.03152223,0.01506728,0.02006665,0.03206521,23.35492,20.82665,19.53228,18.92693,18.70258,1.366073,0.05111258,0.02911107,0.02455546,0.06840052
9,243.789534301061,24.9830682125892,3,GALAXY,0,23.69057,23.21358,22.29267,21.70281,21.20111,0.7564731,0.2088092,0.1354832,0.1245001,0.2696232,22.97834,22.94059,22.14075,21.55016,19.46536,0.6925653,0.3399608,0.2009141,0.1650363,0.2205447,22.71305,22.9161,22.19812,21.74879,20.24854,0.9875051,0.4535994,0.3589589,0.3915485,0.3708664
10,243.803420615439,25.0682993794179,3,GALAXY,0,22.84941,23.7153,22.63055,23.25398,22.46673,0.4042085,0.3193381,0.1759849,0.4391569,0.5854903,18.48664,23.74354,19.82963,23.23008,22.27843,0.180623,0.3326736,0.141276,0.4432169,0.6217422,18.36214,30.77331,19.57656,30.82641,28.23817,0.1748612,0.18014,0.1963977,0.10845,0.261191
11,243.808194980251,25.0906723231927,3,GALAXY,0,23.45187,21.42676,20.00124,19.47076,19.07556,0.391147,0.04949061,0.02821733,0.02888068,0.04703648,21.24121,20.93306,19.7051,19.17293,18.84775,0.4599807,0.06328806,0.01986329,0.02459261,0.05878698,24.14381,21.0085,19.68356,19.17412,18.93899,2.62368,0.08703192,0.04296017,0.04168956,0.1131411
12,243.815592602638,25.0321581875551,3,GALAXY,0,23.06432,21.6124,20.26588,19.70291,19.1906,0.4794741,0.05571123,0.03156189,0.03167666,0.05475448,20.41995,21.13933,19.61012,19.12086,18.84725,0.3342359,0.05175391,0.02271715,0.02743522,0.05740034,22.03011,21.16307,19.64821,19.15965,18.94248,0.7692459,0.1300589,0.04824768,0.05071461,0.1598012
13,243.816258085876,25.0189623036524,6,STAR,1,23.17891,20.58679,19.19671,18.63919,18.28419,0.5171817,0.02839628,0.02342207,0.02474901,0.02913542,22.83093,20.47457,19.19946,18.62469,18.21753,0.4606182,0.02490359,0.01223747,0.01141465,0.02572889,23.67842,20.44444,19.21294,18.64102,18.13306,1.489288,0.03624928,0.01834283,0.01776007,0.04074299
14,243.823839223735,25.0611848867322,3,GALAXY,0,23.53314,23.59983,22.58502,22.28036,22.01017,0.6814921,0.2900927,0.1689032,0.2001856,0.4769989,21.18052,23.05449,22.11777,22.16921,20.78362,0.6829756,0.3340415,0.1886685,0.2464847,0.6555457,22.48633,22.86634,22.15574,23.26977,21.4941,1.041904,0.5586542,0.3451012,1.830718,1.395097
15,243.831958364682,25.0621166390547,3,GALAXY,0,24.70857,25.16383,22.49923,21.95024,23.12882,1.041683,0.6078586,0.1584596,0.1514269,0.5891259,21.70813,29.72529,21.88052,21.86208,23.21346,1.100258,0.2468686,0.1644144,0.1522332,0.6754795,22.57573,27.00763,21.71967,24.32645,23.01127,1.125875,0.7597728,0.3040461,2.856301,2.545628
16,243.845251712456,25.0868934084284,6,STAR,1,20.08727,19.00488,18.52659,18.39854,18.35616,0.04723186,0.01799275,0.02186791,0.02410849,0.03002878,20.06729,18.94294,18.51428,18.33103,17.52607,0.04575885,0.009100971,0.008201973,0.009679381,0.02553389,19.90454,18.6218,18.00955,17.59306,17.36342,0.1756109,0.03432524,0.01840281,0.04562918,0.06814225
17,243.861219213908,24.9999948048423,6,STAR,1,22.10394,21.11699,20.65946,20.39168,20.2329,0.2123725,0.03859201,0.03853261,0.04454667,0.1181921,18.60739,21.07239,20.59196,20.3483,20.13697,0.1535637,0.0412067,0.03711801,0.04056085,0.1310797,21.49637,21.12446,20.6003,20.39584,20.07665,0.2777664,0.07436921,0.06999893,0.09549844,0.2604361
18,243.868526451583,24.9396197965276,6,STAR,1,15.88614,14.51489,14.05101,13.85062,13.75588,0.0203884,0.01601094,0.02074359,0.0226099,0.01776111,15.89403,14.53489,14.02299,13.82516,13.75052,0.005041255,0.002857331,0.002772382,0.002908096,0.003385131,15.93043,14.55923,14.04602,13.85931,13.78471,0.004379573,0.001051547,0.0009465378,0.001056333,0.001985936
19,243.878591053312,25.044753302337,6,STAR,1,14.88616,13.56764,13.14888,12.94417,12.88768,0.02012815,0.01599649,0.0005044339,0.0005473879,0.01772161,14.84226,13.58297,13.53017,14.83973,12.89251,0.003640485,0.002720107,0.00977603,0.009622743,0.003141399,14.87667,13.58468,13.17482,12.97356,12.92271,0.002659904,0.0008131927,0.0006969298,0.0006674952,0.001377698
