,ID,Center_x,Center_y,Width,Height,Orientation,RA,Dec,Area,Mean_Intensity,Min_Intensity,Max_Intensity,Magnitudo,Eccentricity,Weighted_centroid_x,Weighted_centroid_y,Variance_x,Variance_y,Covariance,Intensity_x,mean_x,sigma_x,RMS_x,Intensity_y,mean_y,sigma_y,RMS_y,type_name,type_SDSS,type_ID,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,psf-cM_Mag_u,psf-cM_Mag_g,psf-cM_Mag_r,psf-cM_Mag_i,psf-cM_Mag_z
263,264,701.6991173298882,1169.5377539256558,8.675117127511847,13.863111817245322,-0.40628137035153,236.2506485749579,35.25346973319952,92.0,14.497987206971677,0.0,0.052862352941176464,17.096730719512994,0.3742301698295296,701.6788887858945,1169.5483415168715,4.772403903771192,4.169136611977592,0.2261318254750222,1.1367874083837792,7.184951168542132,2.5615435881760993,0.0029823657436575174,0.9544642930723396,6.733634288919177,2.334115253012907,0.0030381472995609773,3.0,GALAXY,0.0,23.55073,22.40918,21.58474,21.1759,21.10108,0.4455688,0.08292329,0.05777912,0.05737549,0.169795,21.5257,21.39635,20.54345,20.30205,18.5644,0.3106143,0.07686755,0.05941242,0.06559049,0.1943988,21.71441,21.4811,20.51708,20.46966,19.54515,0.4163803,0.1732227,0.09023658,0.1495897,0.232411,2.025030000000001,1.0128299999999975,1.04129,0.8738499999999974,2.5366800000000005
186,187,475.0494377935686,381.88106310248435,12.96299221986947,6.375423443718259,-0.5304475555317469,236.16474111871372,35.1969204436404,68.0,9.993128841354725,0.0,0.03897137254901961,17.500746282991795,0.5081827300685939,474.8386438352261,381.8906331395608,4.2077294231858104,8.838000428018859,-4.384696464781882,0.6311103587870859,8.477595575012987,2.7949067143609296,0.002033550680729841,0.3914219530288398,6.5765390930415615,2.4551621401108648,0.0028050367371747357,3.0,GALAXY,0.0,22.96205,22.47097,22.22625,22.15709,22.27859,0.3104199,0.08585421,0.09579778,0.1288783,0.3699335,21.17305,21.2136,20.70504,20.57161,20.06811,0.2028984,0.06267387,0.07180355,0.09691303,0.2206189,21.41309,21.49123,20.8429,20.57812,19.98828,0.4497594,0.2384914,0.1601699,0.2019185,0.4663157,1.7890000000000015,1.2573700000000017,1.52121,1.5854800000000004,2.2104800000000004
467,468,1328.648148148148,1074.8148148148148,8.867440675858074,7.757083004458096,-0.008359918765141503,236.31235698125806,35.20527814987266,54.0,12.766339943977593,0.0,0.031862745098039214,17.234833988237263,0.1252173780449376,1328.812654847885,1075.067806883637,3.2669494301080704,3.5581997220870107,0.6279684917535633,-2.6999392970840392,2.5420297795106204,0.02087873917814945,0.024288994080584395,0.7078281687787656,6.034569939723658,3.5406264960163374,0.0028697299016383518,3.0,GALAXY,0.0,23.51362,22.62377,22.00939,21.72957,22.02898,0.4433153,0.1007928,0.08037893,0.09095879,0.3336842,20.57357,21.50404,20.96565,20.78449,19.88358,0.318877,0.08670447,0.073298,0.09123492,0.4166337,21.60698,21.58521,21.06793,20.66558,20.54234,0.3846413,0.1782706,0.1886822,0.196761,0.5631949,2.9400499999999994,1.1197300000000006,1.0437399999999997,0.9450799999999973,2.145400000000002
111,112,240.5232337875338,264.5679642704386,26.751628648542336,11.72386095272636,0.7577236645552371,236.1298335591938,35.2011716797344,251.0,12.760763637721755,0.0,0.04769333333333334,17.23530833877748,0.5617515065436893,240.97120047753575,265.4162820562994,17.527308881952194,17.987797193592996,13.264261509139033,1.7635899951128744,14.795952778858933,2.11102088055143,0.005373782126094554,1.6675953998889863,10.899067113525652,2.347171376620447,0.004535227372513093,3.0,GALAXY,0.0,21.71371,20.9344,20.55566,20.33429,20.18457,0.1073144,0.03073218,0.03019344,0.03044641,0.08052686,19.96605,19.50282,19.11325,18.84597,18.07407,0.08480678,0.01776174,0.01785218,0.02056688,0.05936912,20.30618,19.61423,19.13478,18.93606,18.45237,0.1641156,0.04196956,0.04085647,0.05582863,0.1180515,1.7476599999999998,1.4315800000000003,1.4424099999999989,1.488319999999998,2.110500000000002
396,397,1142.0,465.88461538461536,6.3046641587013506,5.324085311318707,-0.018321318187104856,236.24468065759714,35.16232219225222,26.0,6.984158535947713,0.0,0.034653333333333335,17.889714777456593,0.1555322889053975,1141.7575134493177,465.5843641276678,1.850660734809935,1.2028001319267787,0.15481740434188396,0.20878618444917801,5.092338260512052,1.2686259448819468,0.0013426032517277445,0.35747822412573604,5.425625257477402,2.115987289399358,0.0003461837264049413,3.0,GALAXY,0.0,24.90828,23.88652,22.97787,22.31862,22.66478,0.6592915,0.2705932,0.17935,0.1476775,0.4129553,21.29983,23.6723,22.74552,21.83198,20.57084,0.7239829,0.3464198,0.2026817,0.1923232,0.8984783,23.00896,24.11452,23.46004,22.01583,22.29121,0.640646,0.8301918,0.6893661,0.3038073,0.9957074,3.6084500000000013,0.21422000000000097,0.23235000000000028,0.48663999999999774,2.09394
166,167,411.7115153844809,599.8250205280241,5.787090321870187,7.126071136951123,0.5816849986832476,236.17461021866728,35.22053861820276,34.0,8.55373246187364,0.0,0.041776862745098044,17.669610843623616,0.18789888416042622,411.59245930964545,599.5944151615479,2.1733560746652074,1.5559789996477775,-0.4466244222421665,-0.3754179647382271,5.201885457404407,-1.6834115180905498,0.002208459919052771,0.4354636140697088,5.245300630492579,3.1663694712586268,0.0007976925059646615,3.0,GALAXY,0.0,23.33057,23.26762,22.76343,22.12188,22.08958,0.3828783,0.1641932,0.1486993,0.1251731,0.3388063,21.28922,22.03822,22.4423,21.58764,20.12972,0.3446923,0.1726354,0.1745131,0.1349232,0.4014508,22.62949,22.35189,22.66257,21.82995,20.84165,0.5265511,0.2097675,0.370463,0.2795241,0.4842248,2.0413500000000013,1.2294000000000018,0.32113000000000014,0.5342400000000005,1.9598600000000026
214,215,560.3116383207919,207.26307704073662,45.394645032848366,28.277135127431492,0.768238309064899,236.16064003967983,35.175816604832896,1048.0,27.93377027305943,0.0,0.0627764705882353,16.384676107016915,0.3770821402619261,560.0604854688198,207.71640911005147,53.813502639881335,53.05652971354721,24.939737927619717,7.6737093759169275,20.899574871189674,6.518970822306501,0.03458233166952482,9.029138520791305,21.22594851317016,6.1158580012489026,0.08253281283144114,3.0,GALAXY,0.0,21.33401,19.47186,18.57744,18.1762,17.81407,0.08137916,0.02036007,0.01913526,0.01280831,0.02137028,18.62239,17.2004,16.55435,16.16399,15.9139,0.04971517,0.006001841,0.004744008,0.004885683,0.009982168,18.6789,17.37994,16.7005,16.32229,16.07982,0.06651469,0.009482274,0.008111908,0.009592734,0.02452782,2.71162,2.271460000000001,2.02309,2.012210000000003,1.900170000000001
324,325,944.3912658119941,1307.8837644649261,29.345902213855233,19.22166456702103,-0.6923833769221981,236.28810133776258,35.250558601676076,412.0,15.159954237908496,0.0,0.05037019607843138,17.04825527417644,0.34499663949858705,943.2059176723214,1310.057272371343,21.00350127578713,22.679447242524475,-7.632404597243294,3.142962334120031,18.96319579427885,4.060811998241656,0.013100181722123053,2.1504537317971164,12.215458877026746,3.924907822671734,0.013114832571911525,3.0,GALAXY,0.0,21.98812,21.3016,20.47855,20.17963,19.80641,0.1327455,0.03825872,0.02928005,0.02769427,0.06022976,18.99327,19.52299,18.62278,18.28068,17.94073,0.08848095,0.02216929,0.01821553,0.01923594,0.03964959,20.11297,19.57645,18.63853,18.28243,18.02399,0.1345108,0.03668996,0.02443972,0.02862883,0.07710618,2.9948499999999996,1.7786100000000005,1.8557699999999997,1.8989499999999992,1.8656800000000011
32,33,61.701796851341065,118.34238465153685,6.330462802608041,5.4694039896630695,0.6469445682987528,236.09883043722138,35.19929360928819,29.0,6.289628862745099,0.0,0.02494392156862745,18.003437451417536,0.13601830384189773,61.654984740531084,117.74273566983446,1.8374816490818375,1.3906683799559687,0.2643438754239469,0.20100585407184873,4.1271121590885285,1.1281362705084461,0.0014139254129241943,-0.2895934315063879,4.606771962367725,-1.678284571244939,0.000501652099656334,6.0,STAR,1.0,23.54745,23.18469,23.12948,22.72467,21.97801,0.4474125,0.1518048,0.2024635,0.2091336,0.3203175,23.42462,23.14537,22.67526,22.56812,20.12725,0.4726896,0.2036849,0.2873155,0.3166074,0.4785806,23.78635,23.70352,22.83757,22.85112,22.08558,1.042649,0.503491,0.3610725,0.5738987,0.8386647,0.12283000000000044,0.03932000000000002,0.4542199999999994,0.1565499999999993,1.850760000000001
10,11,25.811154304986133,165.0146076276789,16.01159477553611,17.50203884879995,0.10772985868014445,236.09847811059302,35.205761733802596,230.0,13.931476693579393,0.0,0.05313803921568627,17.14000711814992,0.08515831133388396,25.84098277428915,165.17414648178942,9.900326132037776,8.360039379342197,-0.3323808092163745,-1.8373841940429472,10.719967658395694,-2.6709411260435214,0.0032157804980274397,1.9940674282101936,11.176403046602946,2.861014735895831,0.005828572964033393,6.0,STAR,1.0,23.54745,23.18469,23.12948,22.72467,21.97801,0.4474125,0.1518048,0.2024635,0.2091336,0.3203175,23.42462,23.14537,22.67526,22.56812,20.12725,0.4726896,0.2036849,0.2873155,0.3166074,0.4785806,23.78635,23.70352,22.83757,22.85112,22.08558,1.042649,0.503491,0.3610725,0.5738987,0.8386647,0.12283000000000044,0.03932000000000002,0.4542199999999994,0.1565499999999993,1.850760000000001
