,ID,Center_x,Center_y,Width,Height,Orientation,RA,Dec,Area,Mean_Intensity,Min_Intensity,Max_Intensity,Magnitudo,Eccentricity,Weighted_centroid_x,Weighted_centroid_y,Variance_x,Variance_y,Covariance,Intensity_x,mean_x,sigma_x,RMS_x,Intensity_y,mean_y,sigma_y,RMS_y,type_name,type_SDSS,type_ID,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,psf-cM_Mag_u,psf-cM_Mag_g,psf-cM_Mag_r,psf-cM_Mag_i,psf-cM_Mag_z
184,185,424.375,920.15625,6.910158200998827,5.840298677051427,0.006181762427189164,244.09278679033312,23.929216373137038,32.0,17.292244496732028,0.0,0.06325882352941177,16.90537158140731,0.15482417230227208,424.23062875876747,920.0831105436292,1.7147875634254888,2.1025352601427585,-0.5218186017591506,0.7302547592734299,5.998563972330374,2.0287951258093635,0.0012513237671186942,-0.5960937439219008,4.786301418668153,-1.7555342987077354,0.0013429557834605383,3.0,GALAXY,0.0,24.02255,23.16381,22.09885,21.55935,21.09672,0.4825465,0.1413313,0.08102491,0.08316164,0.1924751,22.79692,22.18142,21.39273,20.90804,17.45612,0.526189,0.1700713,0.07606119,0.0967406,0.1597484,24.21605,22.12944,21.38561,20.89026,19.99504,2.303541,0.2954228,0.1707897,0.1899192,0.3169134,1.2256299999999989,0.9823900000000023,0.7061199999999985,0.6513099999999987,3.6406000000000027
164,165,355.2083333333333,1364.875,5.844265833355623,5.250407516688046,0.004375239901860434,244.11535365520774,23.974208240838788,24.0,14.36073662745098,0.0,0.020166274509803923,17.107058206461293,0.1016138439969968,355.18966861635244,1364.6921154782897,0.8722883174777962,1.1774094984866679,-0.031113929115235806,-0.5757871364320578,5.285146232830816,-1.2514199680242453,0.0004192683489414207,-0.44736797119875926,4.629395908680756,-1.2088827459996814,0.002941464642742952,3.0,GALAXY,0.0,24.11201,24.29405,22.39227,21.12159,20.26617,0.5028739,0.3237975,0.1053604,0.05919477,0.09700242,20.26876,21.55715,22.40189,21.12062,17.04269,0.4074543,0.5897645,0.1281574,0.06247068,0.2402573,20.37603,21.72942,21.17623,22.42949,18.20303,0.398323,0.6558589,0.3915552,3.406323,0.2573372,3.843250000000001,2.7368999999999986,-0.009620000000001738,0.0009700000000023579,3.2234799999999986
392,393,1038.567968675245,839.5472387227868,4.911264806272567,9.014320926947148,-0.3306358072244255,244.14907060228086,23.884553275297925,30.0,9.517284894117644,0.0,0.03277921568627451,17.553717325383918,0.45517085024219905,1038.54114614376,839.6878680414831,1.9231199936475605,1.2760910440701991,-0.5347304329043254,-0.31496944895392937,5.464553553001191,-1.2573172469368192,0.0008091696284814355,0.38117467210312506,5.549972616864117,1.7731206335840086,0.00013145875335986726,3.0,GALAXY,0.0,23.01955,23.33096,22.54083,22.8146,23.1783,0.9803746,0.1601083,0.1162286,0.2346439,0.4562187,23.21896,22.47233,22.03526,22.16484,20.16423,0.3191588,0.1573236,0.141871,0.2240326,0.6751071,23.6006,22.69514,22.0988,24.30032,21.23355,1.539077,0.3893749,0.3163022,5.031611,0.8826706,-0.1994100000000003,0.8586300000000016,0.5055699999999987,0.649759999999997,3.0140700000000002
150,151,310.3477313606324,935.6229490171145,7.009603803914408,9.983704470557194,-0.7289866003219696,244.08236646184852,23.93755198202394,52.0,13.819332789115649,0.0,0.03305490196078431,17.14878231154354,0.2978955031585385,310.4251038557844,935.4446587158127,2.791336415146361,3.1493969053262845,-0.5703486555721611,-0.6677028351939062,5.907702199310421,-2.5088390779613463,0.0030707577164102795,0.5680759156205809,6.480842011642463,2.186520251439456,0.003022137400918745,3.0,GALAXY,0.0,23.37577,23.21342,22.24422,21.96218,21.71769,0.3023823,0.1475641,0.09132624,0.1162475,0.3093549,22.62697,21.88312,21.32075,20.50777,18.96451,0.3178569,0.1358951,0.08669902,0.09983271,0.3493385,23.42569,22.12315,21.3747,20.67603,20.50007,1.139652,0.1839448,0.143874,0.1337968,0.427912,0.7487999999999992,1.3302999999999976,0.9234699999999982,1.4544099999999993,2.7531800000000004
452,453,1213.3110668172726,564.5668158238258,5.175027941753546,8.676876806424026,-0.0050088481101037636,244.148353946698,23.848727116983472,33.0,13.55536665098039,0.0,0.17546470588235294,17.169721827384315,0.4035840248507212,1213.3107130069338,564.6094093073879,1.2250147659797221,1.6486565287341364,-0.0010782659519463778,-0.5317779241899444,5.262959027274843,-1.2746769126141497,0.001888367421539013,-0.4075716064969428,4.859709082071594,-1.126403485153217,0.0003790862076190069,3.0,GALAXY,0.0,23.45683,23.33314,22.27597,21.46003,21.24565,0.3530483,0.1577902,0.09195513,0.07534412,0.2181889,21.72813,23.35859,21.79438,21.3657,18.51577,0.4751257,0.1695121,0.0977501,0.07858288,0.2195653,22.15607,25.14164,21.26611,20.71688,19.527,0.6694613,2.446451,0.2242381,0.2382092,0.2875898,1.7287,-0.025449999999999307,0.48159000000000063,0.09432999999999936,2.7298800000000014
480,481,1308.090909090909,713.0909090909091,5.502816709244203,4.972652484064489,-0.013707783890401887,244.16771292753398,23.85659480238005,22.0,11.155927843137253,0.0,0.017499999999999998,17.381235758565317,0.09634415485601922,1308.0096518496052,713.0535417186404,1.4889582674950361,1.4127914371783845,0.16420854208990932,-0.28631742007000516,4.77990984799593,-1.5487991023385481,0.0001352656245539293,-0.3125976524425717,4.500316696626613,-1.7323900024542243,0.0004594857691904961,3.0,GALAXY,0.0,23.96485,23.88988,22.9591,22.44618,22.28136,0.4785617,0.2433646,0.1633979,0.1722025,0.4312717,23.01847,22.72912,22.55048,21.84728,19.74142,0.553656,0.2862419,0.2407128,0.3188111,0.5184488,22.71577,23.4562,23.34365,22.22635,20.93682,0.4708597,0.4355599,0.6342193,0.4264137,0.4355774,0.9463799999999978,1.1607599999999998,0.4086199999999991,0.5988999999999969,2.539939999999998
482,483,1328.7706270733215,310.38458155865567,26.24282286367015,28.07223630304485,-0.763341174288166,244.14307296077533,23.818406769541145,612.0,29.18999281960246,0.0,0.04677686274509804,16.336915029608367,0.06516806924912766,1328.9344939783946,310.19534788071354,29.09834119747393,27.704690093378304,2.8163203184958547,5.786097636024754,15.570569526078256,5.605658173388891,0.01818509855267476,6.199827466393179,16.359061207663967,5.572491774724644,0.014709631563486196,3.0,GALAXY,0.0,21.52226,20.34126,19.9386,19.65083,19.41248,0.08229817,0.02409426,0.0215521,0.02489219,0.04874513,18.9993,17.8741,17.40977,17.17203,17.00602,0.05018681,0.008166053,0.007690204,0.01099434,0.02817774,19.04705,17.92494,17.44557,17.20203,17.16473,0.0690986,0.01206169,0.01203607,0.01664976,0.05732907,2.5229599999999976,2.46716,2.5288299999999992,2.4787999999999997,2.406459999999999
72,73,130.71428571428572,1188.232142857143,9.70312266513301,7.481093334811264,0.0018801691928547878,244.08108984694624,23.971622669221095,56.0,5.917928017429193,0.0,0.0558043137254902,18.06957580418357,0.22900146756943907,130.91074686920513,1187.9311320529007,2.1862484005214355,4.469735523220152,-0.02790074874064885,0.20124758200183407,6.403403546526471,1.088524059861114,0.002207084836381699,0.3271058779077428,5.551195003958,1.2992172587409414,0.00046338895510132644,3.0,GALAXY,0.0,24.17498,25.50955,23.08219,22.09845,22.14002,0.5092281,0.3867271,0.9981489,0.1315891,0.4591842,22.44799,25.44026,23.13235,21.2017,19.96887,1.37088,0.4503056,0.2042029,0.1467187,0.3673065,22.49757,23.40143,28.26973,20.99181,20.21938,0.7026025,0.7500624,0.1821973,0.2388529,0.419265,1.7269900000000007,0.0692900000000023,-0.050159999999998206,0.8967500000000008,2.171150000000001
267,268,661.3333333333334,951.875,6.081140986576508,4.932066489508718,0.021443578602654965,244.1186737604068,23.91774976639087,24.0,10.743562039215686,0.0,0.026916078431372552,17.42212925992986,0.18895705585584244,661.0583653566914,951.7561313811133,2.15797162783565,1.0901174212340266,-0.0802253931760788,0.41468294868024275,4.08163740813259,3.1646327464142545,0.0009071044678612698,0.3589608548398977,4.954008568495587,2.411139051866271,0.0007630969766368801,3.0,GALAXY,0.0,23.80149,24.17031,22.78481,22.32058,21.62413,0.4267253,0.297696,0.1430023,0.157213,0.2905412,21.7867,22.81745,21.98286,20.93865,19.55844,0.4033929,0.2322036,0.2053993,0.1669418,0.2130914,22.4305,23.4702,22.10884,21.17747,19.76014,0.6470614,0.9487565,0.3482611,0.2652808,0.3221785,2.0147900000000014,1.3528599999999997,0.8019500000000015,1.3819300000000005,2.06569
372,373,988.0574764027455,908.5410585377049,4.0779887772949674,31.50767009129942,-0.6123738427208812,244.14858165773282,23.893946876983655,25.0,10.411881411764707,0.0,0.027749411764705884,17.456176967549318,0.8705715539905609,987.921780752298,908.7674293067246,1.2925197930308059,1.3707063206238672,-0.16515582776628435,-3.4041136435861254,0.749817273193873,0.03335623532420829,0.02266961916985775,-0.2988966510208376,4.537829153055278,-1.5088941933612448,0.000463230369320011,3.0,GALAXY,0.0,23.82599,23.01962,22.61133,22.46283,22.46402,0.4430533,0.1249463,0.1236633,0.176602,0.4355691,23.30386,22.87163,22.34038,22.35628,20.41056,0.4694612,0.1311015,0.1536417,0.241841,0.8620695,23.35423,22.96113,22.38217,22.79994,21.91203,0.9014002,0.3322748,0.2868255,0.872054,0.9973747,0.5221300000000006,0.14799000000000007,0.27094999999999914,0.10654999999999859,2.053460000000001
