,ID,Center_x,Center_y,Width,Height,Orientation,Area,Mean_Intensity,Min_Intensity,Max_Intensity,Magnitudo,Eccentricity,Weighted_centroid_x,Weighted_centroid_y,Variance_x,Variance_y,Covariance,Intensity_x,mean_x,sigma_x,RMS_x,Intensity_y,mean_y,sigma_y,RMS_y,type_name,type_SDSS,type_ID,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,psf-cM_Mag_u,psf-cM_Mag_g,psf-cM_Mag_r,psf-cM_Mag_i,psf-cM_Mag_z
2,3,5.081371656941909,879.9669464042503,9.1833130082109,11.02920034554816,-0.18625911661019176,84.0,11.968680156862744,0.0,0.03463843137254902,17.304884346664654,0.167363660057398,4.585503637321354,879.8367127928566,7.834207191489291,4.072764917626046,0.6648406591234561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,GALAXY,0.0,24.30461,25.03053,24.56804,22.30145,22.6919,2.088211,0.4571595,0.5007496,0.1713838,0.6470061,21.15923,21.75367,24.11159,21.88013,21.17053,0.4484282,0.4494703,0.6590655,0.1743072,1.191287,23.79295,23.31311,24.35833,21.82409,22.01545,2.245148,0.6983227,2.004339,0.4774881,2.161222,3.1453799999999994,3.276859999999999,0.45645000000000024,0.4213199999999979,1.521370000000001
3,4,2.4394568899147395,1175.012756254003,8.769122564414083,7.705013543983366,0.034349259200243024,54.0,12.284745620915032,0.0,0.045064705882352944,17.276584579965593,0.12134726280927699,1.7627255473351087,1174.8675693363462,2.003101455660005,5.001194678479806,0.18221516768335277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,GALAXY,0.0,24.08084,23.89458,22.21944,21.85809,21.56852,0.6969624,0.2763264,0.09988096,0.11731,0.3743471,22.53017,23.63227,21.92729,21.80793,20.61247,0.766786,0.2614715,0.1163702,0.1355632,0.3788408,24.95819,24.97466,21.99776,22.25304,21.4959,2.221273,1.459422,0.2737915,0.5572345,1.549007,1.5506700000000002,0.26231000000000293,0.29214999999999947,0.05016000000000176,0.9560500000000012
4,5,8.286984664180803,480.0587378742895,9.341601718841197,9.032729824049643,0.4483036779895691,70.0,14.84170980392157,0.0,0.037749411764705885,17.071290160776865,0.033064125841351766,8.208861677859115,480.11273004967734,2.1457560826868587,2.606702043733094,0.029811053593221004,1.177084215709453,6.676382870929911,1.8881144438488746,0.0024865071673454545,0.9322400732782281,6.493215946285822,1.5682486677206127,0.0031297949691615795,6.0,STAR,1.0,26.09016,24.05724,22.7776,22.59794,22.37489,0.3678199,0.3090039,0.1601942,0.2201403,0.5994739,26.21844,23.44809,22.79139,22.62664,20.08568,0.4081195,0.3189605,0.3088263,0.2438855,0.6390255,26.33889,23.90165,22.95503,22.38976,22.09786,0.6056414,0.5102245,0.3797725,0.397787,1.085672,-0.12828000000000017,0.6091499999999996,-0.013790000000000191,-0.02869999999999706,2.2892100000000006
5,6,10.90484248514385,963.3370166378564,11.939493914920707,10.509072912224564,0.08620435449088042,104.0,23.698436563279856,0.0,0.05063803921568628,16.56320076095967,0.11980583204691408,10.844330716161958,963.3219807393854,2.351746978172386,3.644513054052368,0.0844616115646204,2.769478321159676,7.807909869503423,1.9154179743578148,0.013305384236735116,2.3091942307211473,7.167627948942059,1.7029418530074625,0.011112221463692453,3.0,GALAXY,0.0,24.28537,23.68699,22.40075,21.60324,21.52038,0.7439068,0.2358687,0.1163304,0.09453882,0.3615738,20.89305,23.42091,21.75473,20.60712,21.0624,0.4915589,0.2336201,0.1133062,0.09541089,0.3444522,23.06631,24.68113,21.9888,20.77812,21.25627,1.018553,1.277144,0.2549263,0.1546112,0.9200903,3.3923200000000016,0.2660800000000023,0.64602,0.9961200000000012,0.45797999999999917
6,7,14.63773350619559,1210.8055786097136,19.70369963953456,18.393720900045192,0.2413872515388235,300.0,30.197544435729853,0.0,0.051693725490196074,16.30007092748882,0.06648389710838642,14.277250947773112,1211.115795328454,8.653656753616133,9.335292050614953,0.39387018040361,6.282643416001112,13.127755147546944,2.579725040829633,0.019292559266709586,5.465951467434458,10.777779877012856,2.7323170465961537,0.02797384106647406,3.0,GALAXY,0.0,24.08084,23.89458,22.21944,21.85809,21.56852,0.6969624,0.2763264,0.09988096,0.11731,0.3743471,22.53017,23.63227,21.92729,21.80793,20.61247,0.766786,0.2614715,0.1163702,0.1355632,0.3788408,24.95819,24.97466,21.99776,22.25304,21.4959,2.221273,1.459422,0.2737915,0.5572345,1.549007,1.5506700000000002,0.26231000000000293,0.29214999999999947,0.05016000000000176,0.9560500000000012
7,8,10.295660637915214,342.4153346682725,8.266530168504584,7.161575872600286,-0.21066675236323168,49.0,11.777864425770309,0.0,0.04147137254901961,17.322333622807626,0.1336660331942131,10.329521414119213,342.4902414459733,1.7231655759285474,2.828781986463582,-0.31307695095483723,0.9093069479347278,6.282149939440284,1.95062471013555,0.0016986730709167748,-0.5740979588945537,5.690903725823977,-1.3479710667428453,0.0022549493215912567,6.0,STAR,1.0,22.62952,20.90384,20.03643,19.6871,19.44078,0.2579128,0.02774748,0.01977766,0.02420533,0.06434827,21.87059,20.90594,20.03448,19.681,19.42492,0.2364953,0.02807144,0.02911346,0.0213912,0.06851351,22.19851,20.95733,20.08916,19.77788,19.55656,0.3321554,0.04272951,0.03184721,0.03980384,0.136765,0.7589299999999994,-0.002100000000002211,0.0019500000000007844,0.006099999999999994,0.015859999999999985
8,9,12.679029527734711,1292.206947176617,14.156996618655826,11.909880511500834,0.39347703495018904,138.0,12.037068608776845,0.0,0.05736509803921569,17.298698160194984,0.15872830711803565,12.140820281641377,1292.2126597363383,4.425515641443525,7.182006632909179,0.48180982320263865,-1.555201639662138,9.694669043833768,-2.565422888733487,0.005018640547467877,1.2361959492260928,7.258266128243336,2.090905479262813,0.0036296880992030297,3.0,GALAXY,0.0,24.13765,23.54167,22.3728,21.88232,20.88065,0.7147905,0.2115478,0.11382,0.119807,0.215045,24.29792,23.56832,21.77901,21.44849,20.36577,0.8122377,0.2222419,0.1294338,0.1274333,0.3023954,24.58875,25.20664,21.92438,21.57975,20.80614,5.18397,2.610698,0.2805782,0.3390019,0.7353083,-0.16027000000000058,-0.026650000000000063,0.593790000000002,0.4338300000000004,0.514879999999998
9,10,22.706302618549927,595.4652997288634,35.25663924137871,32.17203368820908,0.6341825805437006,921.0,13.460566624089635,0.0,0.058749019607843136,17.177341645128553,0.0874900620008443,21.23858778097164,595.5592226812009,38.021573122228574,40.71585041459184,3.5255181198244827,4.038497346040698,19.263142328389044,4.128899767688902,0.026367356845265855,4.318720816853465,14.89494190962589,4.210829666061445,0.023423126358455754,3.0,GALAXY,0.0,23.59786,23.75152,23.66433,22.31851,21.46721,0.5365226,0.2482362,0.3238678,0.1737729,0.3477676,21.19231,22.4874,20.84546,20.90727,20.82242,0.4976478,0.2607228,0.344787,0.1571379,0.4274531,22.41403,22.37908,22.00922,21.09165,21.10397,1.370088,0.5001863,0.6863823,0.4429391,1.175579,2.4055500000000016,1.2641199999999984,2.8188700000000004,1.4112399999999994,0.6447900000000004
10,11,14.726234120598871,301.2065463347191,10.822440875975408,11.8782560102716,-0.29776809667372783,107.0,16.236668121212123,0.0,0.04370352941176471,16.97375771560515,0.08888637636562025,14.679831515949425,301.23364150970656,4.609048957950421,3.7946857482456835,0.33194805573384656,1.3887515711180753,7.667947503140074,2.118515768126706,0.0018394604362826856,1.4595662455733558,8.149898300923716,2.247357692691572,0.003029083485243958,6.0,STAR,1.0,24.95458,23.08312,22.41479,21.91555,22.15522,0.7451162,0.1451083,0.1178377,0.1237614,0.5490258,25.12898,22.90957,22.41483,21.73329,22.25626,0.9568182,0.2068584,0.1707409,0.1261614,0.9028295,24.63568,23.04572,22.55342,21.87288,22.72922,1.278478,0.2299803,0.2563384,0.3406284,1.159834,-0.17439999999999856,0.1735500000000023,-3.999999999848569e-05,0.18225999999999942,-0.10104000000000113
12,13,16.116362262005083,915.6418661674501,15.966386122832182,13.23216576107826,0.16149411488134272,175.0,30.799751915535445,0.0,0.05754196078431373,16.278631954053104,0.17124854307788184,15.946226627618111,915.4739940985826,4.361052421980361,5.822366650216281,0.10168547061584832,4.998117538491636,10.025397110727063,2.18606317513857,0.017502202620743035,4.766721917839865,8.29488824116239,2.0636622603086963,0.009437628451767772,3.0,GALAXY,0.0,24.28537,23.68699,22.40075,21.60324,21.52038,0.7439068,0.2358687,0.1163304,0.09453882,0.3615738,20.89305,23.42091,21.75473,20.60712,21.0624,0.4915589,0.2336201,0.1133062,0.09541089,0.3444522,23.06631,24.68113,21.9888,20.77812,21.25627,1.018553,1.277144,0.2549263,0.1546112,0.9200903,3.3923200000000016,0.2660800000000023,0.64602,0.9961200000000012,0.45797999999999917
