,ra,dec,type,type_name,type_label,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z
0,242.41512422161,14.7742829034647,6,STAR,1,23.97164,22.4703,21.08268,19.77922,19.26264,1.216956,0.1359179,0.05027429,0.02940904,0.05605574,24.05752,22.4539,21.10632,19.7881,19.27465,1.771701,0.1565569,0.05385366,0.02555926,0.05934549,24.48988,22.7494,21.12609,19.89809,19.43236,2.188527,0.3014557,0.1132847,0.05419415,0.1227654
1,242.419031612481,14.7724220251154,6,STAR,1,25.97394,23.16895,21.70312,21.01402,20.78143,0.9160197,0.2357209,0.08669245,0.06744492,0.1976056,26.3538,22.56817,21.72802,20.98591,20.56788,0.4718551,0.2434203,0.1293263,0.07300023,0.1982811,26.12317,23.75361,21.93234,21.24645,20.63686,1.399347,0.6157929,0.191084,0.1656373,0.3267878
2,242.419252483148,14.8253860415624,3,GALAXY,0,25.20574,23.7585,22.15018,21.45692,21.42245,1.075635,0.3783505,0.1275357,0.09416237,0.3432785,25.59394,23.30573,21.91754,21.24725,21.46618,0.8701543,0.4044604,0.178108,0.09442673,0.3598374,27.19158,22.84576,22.00767,21.33806,22.97413,0.5242453,0.7349266,0.2710719,0.2770478,1.62336
3,242.420459202694,14.8030014569648,6,STAR,1,25.96153,22.08401,20.8121,20.12819,19.75929,0.6578294,0.09403504,0.04293461,0.03499455,0.08386562,26.22333,22.13558,20.74199,20.13511,19.76067,0.5299194,0.09929106,0.04482373,0.03272243,0.0919529,26.06418,22.28242,20.87441,20.17598,19.85,1.125441,0.1935177,0.08202264,0.06900846,0.1797473
4,242.427796691232,14.7497032990938,6,STAR,1,23.24826,24.65564,23.05088,21.38424,20.33408,0.640896,0.6512921,0.271464,0.09341229,0.1329823,22.83194,23.01169,23.10461,21.41564,20.36118,0.7624737,1.099365,0.3027551,0.1088534,0.1397298,23.01767,24.46786,23.26219,21.89883,20.93852,0.7278088,0.8476154,0.5174485,0.2533486,0.3571702
5,242.441004053816,14.7908215697615,6,STAR,1,24.02845,23.53944,22.60626,22.93436,22.19565,1.068152,0.3186989,0.1852974,0.3391222,0.5641291,22.46387,23.57409,22.59366,22.60795,22.17162,2.786312,0.6932771,0.2814929,0.4514307,1.103226,24.16078,23.98742,22.99215,22.81792,22.51641,1.318573,0.5284781,0.3541542,0.4480578,0.8603159
6,242.44115901938,14.8223710881482,6,STAR,1,21.44158,18.67391,17.29272,16.57403,16.17855,0.1421258,0.02386922,0.01601638,0.0181525,0.01889854,21.29153,18.65419,17.25843,16.56973,16.19366,0.1364071,0.008368508,0.004962188,0.00450366,0.00708808,21.41446,18.70165,17.29383,16.61333,16.26065,0.2473556,0.009725463,0.004661081,0.003762858,0.008548447
7,242.452197576355,14.8424028636189,6,STAR,1,24.45184,21.89527,20.83918,20.38657,20.02569,1.235532,0.08050845,0.04293209,0.04155862,0.1066857,24.79511,21.84744,20.75225,20.32976,20.01595,1.230832,0.1174938,0.06455021,0.05304527,0.1202073,25.65812,21.93487,20.8462,20.38777,20.26125,1.552115,0.1420383,0.08101333,0.0804137,0.2628945
8,242.455182896712,14.8114326315256,3,GALAXY,0,25.49579,24.32949,22.17012,21.53481,21.25186,0.9336146,0.6064363,0.1473856,0.1231446,0.3382333,25.54376,24.27905,22.11091,21.34653,21.28329,3.591516,1.608174,0.2426768,0.1799361,0.7425706,25.15296,24.47614,22.39986,21.45033,21.85603,1.777827,1.06472,0.3426723,0.2239315,0.9732488
9,242.456810544902,14.8325543978881,6,STAR,1,25.30118,22.27976,21.0781,20.38398,19.95186,1.043344,0.1101031,0.05104204,0.04160783,0.1001039,25.40647,22.05365,21.08362,20.40134,19.81968,1.194288,0.1157952,0.05207719,0.04335829,0.1008566,25.25939,22.31717,21.25192,20.57412,20.09697,2.166647,0.1963907,0.1158687,0.0934444,0.2224853
