,ID,Center_x,Center_y,Width,Height,Orientation,RA,Dec,Area,Mean_Intensity,Min_Intensity,Max_Intensity,Magnitudo,Eccentricity,Weighted_centroid_x,Weighted_centroid_y,Variance_x,Variance_y,Covariance,Intensity_x,mean_x,sigma_x,RMS_x,Intensity_y,mean_y,sigma_y,RMS_y,type_name,type_SDSS,type_ID,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,psf-cM_Mag_u,psf-cM_Mag_g,psf-cM_Mag_r,psf-cM_Mag_i,psf-cM_Mag_z
2,3,9.951328534199718,1061.4060179098387,20.146460270114268,17.981342927582137,-0.1391784951005244,242.54016354641294,27.83566793607652,294.0,16.885311422346714,0.0,0.045898039215686276,16.931227312732887,0.10746887113186421,9.453486504006053,1061.031197668248,11.837200734918497,15.230873923981562,-0.422448471397729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,STAR,1.0,23.63607,22.13575,20.71028,19.91883,19.51621,0.5568605,0.07201933,0.0341582,0.03083256,0.05761923,23.75569,22.09625,20.72047,19.89992,19.44856,0.8025134,0.07867075,0.04190027,0.02337378,0.07252525,23.56153,22.30089,20.80126,19.9732,19.55848,0.9133465,0.1491056,0.06207536,0.03915852,0.1084516,-0.11962000000000117,0.03950000000000031,-0.010189999999997923,0.018909999999998206,0.06765000000000043
3,4,13.33768308960631,764.7998511862157,7.358492110972253,6.918168517520847,0.013847259919083208,242.5185019454151,27.80927425553339,42.0,10.549564793028322,0.0,0.04707450980392157,17.441913640461895,0.059838834751869685,12.801348644856247,764.4439587998584,1.678899927471889,1.3763708097394556,-0.07456593257120403,-0.5648240103481378,4.7330233031697855,-1.2765287329946164,0.0005431757248032351,-0.5233782381344458,5.378891746113102,-1.2803185562657016,0.001853004326867281,3.0,GALAXY,0.0,23.9402,25.07615,22.6377,21.68054,21.59141,1.133959,0.4958818,0.1468186,0.09194022,0.3275236,23.87465,24.96025,22.11166,21.62153,21.66088,1.525336,1.514069,0.2042468,0.09801371,0.5895747,23.34441,26.79065,22.09134,21.47711,21.30437,1.734326,0.8273107,0.3859647,0.3266003,1.130925,0.06555000000000177,0.11589999999999989,0.5260399999999983,0.05901000000000067,-0.06946999999999903
4,5,12.343193741027228,975.587031649645,6.6565555619275445,4.100083759650015,0.004066767661308184,242.53403591492855,27.82793892638319,29.0,15.924617537254903,0.0,0.02069411764705882,16.994827473377033,0.38405325073817154,11.534694356548593,975.3537963514973,1.021821451790288,1.0672924142563716,-0.0019352294511918444,-0.587548281004078,4.987674410576128,-1.23756400454315,0.0005167085254803994,-0.622350325742345,3.8895989634324066,-1.2081543053300978,0.00030223905208282936,6.0,STAR,1.0,23.44929,22.52923,21.07076,19.68607,18.94359,0.4919364,0.09881453,0.0425586,0.02869594,0.03901822,21.77107,22.47636,21.08229,19.65026,18.9078,0.3619694,0.1122684,0.05341642,0.02135566,0.03774731,23.30401,22.85364,21.12753,19.7346,19.04247,0.9265862,0.2831042,0.08513802,0.0335545,0.07555135,1.6782199999999996,0.05286999999999864,-0.011530000000000484,0.03581000000000145,0.035789999999998656
5,6,13.500000000000089,17.999999999999993,7.25888689321836,6.220608035109422,3.754260253722145e-10,242.46317414103908,27.74335363769025,38.0,9.079192261437909,0.0,0.0431678431372549,17.604881967905527,0.14303554710005928,12.9392832073459,17.88485700441616,1.351595455101716,1.2505618035636417,0.0016739233945486376,-3.216033984455261,0.642376077060355,0.03344224724064819,0.04113819143913879,-0.38265406825938264,4.358789845107663,-1.1664236734740876,0.0006941875761151579,3.0,GALAXY,0.0,24.49273,24.69362,23.72708,22.20449,21.35918,0.8420496,0.4706662,0.3465421,0.1416914,0.2588725,21.5121,22.3184,23.79934,22.03994,20.70273,0.6112859,0.7382838,0.5596951,0.1634762,0.3812872,22.98197,23.21638,24.7815,23.37758,21.77426,1.297137,0.6900901,2.376135,1.623661,1.618816,2.9806300000000014,2.3752199999999988,-0.07225999999999999,0.16454999999999842,0.6564499999999995
6,7,13.610836030933191,31.421021580547663,7.577743109524638,5.864729724032316,-0.23447096445479146,242.46417921457967,27.744531051643555,37.0,7.4242179943977575,0.0,0.027375686274509804,17.823373211459085,0.2260585191043486,12.84881248594769,31.263329086412345,1.8674402446106058,2.1256401800183085,0.2427147155344187,0.304083333675353,5.438883112304219,0.8743327369907173,0.0004758540562671307,-0.31100246154902766,4.147480304694688,-0.928503293525189,0.0019642170482937534,3.0,GALAXY,0.0,23.24892,23.60138,22.50111,22.10015,21.28542,0.4512538,0.2413883,0.1285913,0.1292898,0.2431064,22.63538,22.77137,21.85162,21.32728,20.53532,0.4779613,0.2673577,0.1578294,0.1365796,0.3113892,22.04538,22.85301,21.88571,21.25635,20.47431,0.5710154,0.5004885,0.3188488,0.2662026,0.5507134,0.6135399999999969,0.8300099999999979,0.6494900000000001,0.7728700000000011,0.7500999999999998
7,8,21.426529311330178,706.9552444724404,11.694424647413928,22.663909482054972,-0.17368459889356055,242.5150200719736,27.80363895330674,211.0,12.805562203548087,0.0,0.04336039215686274,17.23150337478528,0.4840067351719066,21.670126177936023,706.4909244233908,30.5436593575256,4.4136346756713465,4.78414061229887,0.28996407898335735,4.60096894881785,1.8679401472516273,0.0014685138050929425,2.621956790653491,10.832734626221992,9.171553559014397,0.13100489814865246,3.0,GALAXY,0.0,24.51992,23.36395,22.43576,22.13476,21.82286,0.7997878,0.1989982,0.1287968,0.1400826,0.357994,24.61915,23.15734,22.30657,21.71996,19.87789,0.9340292,0.2776055,0.1278104,0.1604935,0.6277151,25.41021,23.69431,22.87337,21.60433,20.78358,2.292538,0.6951928,0.5682185,0.2654378,0.5096838,-0.09923000000000215,0.20660999999999774,0.1291899999999977,0.4147999999999996,1.9449699999999979
8,9,16.000000450684922,79.20150682308204,4.869908113256902,6.637058754334014,2.242522676245168e-06,242.46795659587931,27.748591883100463,27.0,6.930087320261438,0.0,0.044887843137254906,17.898153232926187,0.26625508474264414,15.548158607599603,78.95717392105553,2.0692564128342212,1.3621357699594228,-0.16848518217534547,-0.34211780856485624,3.9764566919206388,-2.4228017727283944,0.0025165227316222205,-0.19841300440982992,4.972465086840363,-1.19736791130774,0.002070902437279486,3.0,GALAXY,0.0,23.24892,23.60138,22.50111,22.10015,21.28542,0.4512538,0.2413883,0.1285913,0.1292898,0.2431064,22.63538,22.77137,21.85162,21.32728,20.53532,0.4779613,0.2673577,0.1578294,0.1365796,0.3113892,22.04538,22.85301,21.88571,21.25635,20.47431,0.5710154,0.5004885,0.3188488,0.2662026,0.5507134,0.6135399999999969,0.8300099999999979,0.6494900000000001,0.7728700000000011,0.7500999999999998
9,10,18.63174317125891,313.88932970627013,7.17844067910592,8.340481309486005,-0.25937385765164755,242.4856060158373,27.769133691989726,50.0,9.872449971988795,0.0,0.03419372549019608,17.513937645863646,0.13932536831638764,18.17838683228316,313.67872137979816,2.050133683476588,1.5570936358271865,-0.12435877174448251,-0.5754913098563559,5.244055982214865,-1.0710683246458357,0.0038018462916736885,-0.5194991662696475,5.763735906347659,-1.1665882787207933,0.0002261852522440218,3.0,GALAXY,0.0,22.87618,22.43433,21.7317,21.64876,21.15598,0.3276272,0.09167107,0.06862713,0.08926757,0.2182028,22.40692,22.02982,21.2572,21.06604,20.39316,0.3743935,0.09017596,0.0676818,0.09782726,0.2615001,24.2715,22.05076,21.38062,21.29009,21.06472,2.235691,0.1909211,0.1666626,0.214758,0.7011017,0.469260000000002,0.40450999999999837,0.47449999999999903,0.5827199999999984,0.7628199999999978
10,11,22.010316309459334,927.3418749908844,9.77683311042498,9.224509073024137,0.043998037188047415,242.53142218012675,27.82304741245117,75.0,16.16781385620915,0.0,0.37680039215686273,16.97837174899267,0.05649314365527036,21.77565156745093,926.939034286856,2.0448042833839963,2.1561083828564733,0.10055557167652296,-1.416820529678473,6.109276666825724,-1.4018652986488573,0.0005802091079362028,1.4029515099693048,6.304853264253036,1.4123577899366664,0.0023282545243359025,6.0,STAR,1.0,23.90971,22.93434,21.64994,20.59493,20.15731,0.6525909,0.1381412,0.06477157,0.0421527,0.09532953,22.14227,22.76179,21.62542,20.56524,20.18121,0.8087481,0.1606537,0.09149257,0.05168952,0.102561,24.77395,22.92492,21.74897,20.70582,20.58162,1.412994,0.2522323,0.1356207,0.07363101,0.2935863,1.7674400000000006,0.17254999999999754,0.02452000000000254,0.029690000000002215,-0.023900000000001143
11,12,23.49999999994384,299.00000000005144,7.386575932043709,8.451073937163265,-0.00011285690026959775,242.48498853493663,27.767500137630346,52.0,10.620734864612514,0.0,0.03388823529411765,17.43461358181699,0.12596008661555635,23.048670120695913,298.6003116486523,2.4264516538700036,1.895107161224587,0.1311664210898016,-0.6367922407497869,4.842300676484564,-1.0690509067170644,0.0030672443516762313,0.49041587409690335,5.1822731514659806,1.0920360082967477,0.0014803232669045958,3.0,GALAXY,0.0,22.87618,22.43433,21.7317,21.64876,21.15598,0.3276272,0.09167107,0.06862713,0.08926757,0.2182028,22.40692,22.02982,21.2572,21.06604,20.39316,0.3743935,0.09017596,0.0676818,0.09782726,0.2615001,24.2715,22.05076,21.38062,21.29009,21.06472,2.235691,0.1909211,0.1666626,0.214758,0.7011017,0.469260000000002,0.40450999999999837,0.47449999999999903,0.5827199999999984,0.7628199999999978
