,ID,Center_x,Center_y,Width,Height,Orientation,Area,Mean_Intensity,Min_Intensity,Max_Intensity,Magnitudo,Eccentricity,Weighted_centroid_x,Weighted_centroid_y,Variance_x,Variance_y,Covariance,Intensity_x,mean_x,sigma_x,RMS_x,Intensity_y,mean_y,sigma_y,RMS_y,type_name,type_SDSS,type_ID,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,psf-cM_Mag_u,psf-cM_Mag_g,psf-cM_Mag_r,psf-cM_Mag_i,psf-cM_Mag_z
41,42,106.99989764251757,785.5217370679245,12.326487622086647,12.306519761634611,0.7701936951841507,126.0,33.051112727272724,0.0,0.05400901960784314,16.20203478649884,0.0016199148584919998,106.95358081527226,785.5985453955168,3.8688258306465286,4.183727462193929,0.050358493739622645,3.3070065688921084,8.221409613382118,1.9213219292632524,0.009286626510780629,3.5720808576313003,8.496182288915925,1.993262369642363,0.005420955923064248,6.0,STAR,1.0,23.52166,23.98324,22.38853,21.33384,20.88867,0.7055054,0.3916724,0.1478016,0.09074919,0.2429813,23.75908,24.02314,22.42847,21.35957,21.01425,1.304043,0.6146423,0.2816635,0.1400946,0.3736112,24.19693,24.25911,22.77069,21.58386,21.44532,1.348262,0.6952984,0.3326787,0.1892226,0.6110338,-0.2374200000000002,-0.03990000000000293,-0.03994000000000142,-0.025730000000002917,-0.12557999999999936
226,227,929.8178424289988,330.7900228130155,14.88222874826565,12.380258398475837,0.2127555298831911,153.0,29.750154397759108,0.0,0.16412274509803923,16.316276940055317,0.16811798770942754,929.6675297199699,330.8935826782001,6.221729058306664,8.658026230783435,0.9622375426697545,3.143123273933684,9.539146369691894,2.9475578536709754,0.006895328671717783,2.704124654896485,7.96670321084405,2.636463053248746,0.005354765628427522,6.0,STAR,1.0,23.52166,23.98324,22.38853,21.33384,20.88867,0.7055054,0.3916724,0.1478016,0.09074919,0.2429813,23.75908,24.02314,22.42847,21.35957,21.01425,1.304043,0.6146423,0.2816635,0.1400946,0.3736112,24.19693,24.25911,22.77069,21.58386,21.44532,1.348262,0.6952984,0.3326787,0.1892226,0.6110338,-0.2374200000000002,-0.03990000000000293,-0.03994000000000142,-0.025730000000002917,-0.12557999999999936
266,267,1080.1522141903597,893.2395753374788,12.755838353168157,9.041457286790527,0.3276932498484496,91.0,31.082695780392154,0.0,0.033805098039215685,16.26870330545503,0.29119066607292754,1080.1083531616443,893.2641650343635,3.2088379415217787,3.35858276207,0.040046275476925075,2.764697013021496,7.897236295878139,1.8189410993773443,0.008597321318476752,2.827269520296732,7.713698248549365,1.847812248285672,0.006994580459055199,6.0,STAR,1.0,22.43809,21.32144,20.83844,20.53922,20.68525,0.2933265,0.04347028,0.03997502,0.04635449,0.2024513,22.42585,21.30252,20.85291,20.55926,20.75618,0.3035101,0.04956316,0.05154052,0.04997947,0.2231066,22.83721,21.44149,20.99497,20.66081,22.35024,0.7172071,0.08216418,0.09028295,0.1054998,1.380193,0.012239999999998474,0.018919999999997827,-0.01447000000000287,-0.02003999999999806,-0.0709300000000006
289,290,1169.4221172343714,327.4993886081232,6.324981672999195,11.384414905761021,-0.37675883794722187,50.0,23.269234221688674,0.0,0.04452117647058824,16.583044772205106,0.4444175018780743,1169.364708695354,327.59848897064546,2.726283702068031,2.530124398137559,-0.2645439308253117,1.1989003807166798,6.448264556990017,2.0559460604808777,0.0027271163046751774,-1.2083843710346711,5.488482748854412,-2.3600174768074225,0.005807748620544807,6.0,STAR,1.0,24.7209,23.93515,24.94142,22.32251,22.36924,1.108916,0.3336701,0.6590618,0.214803,0.6720636,24.96251,23.61732,24.30253,22.27779,22.4401,1.363183,0.3858378,2.568805,0.2332053,1.270468,24.85367,23.78235,24.71558,22.52165,22.23009,1.621132,0.5629793,1.249331,0.501048,1.150999,-0.24161000000000143,0.3178300000000007,0.63889,0.04472000000000165,-0.0708599999999997
179,180,666.2312237513249,1157.5477561402893,15.301393610520442,4.327666338131095,-0.45668727751448684,28.0,34.8503903372549,0.0,0.03647137254901961,16.14448088319997,0.7171717525679742,666.8724873051417,1156.7006892305144,1.4039061457151547,1.2782913204282522,0.0018642547074705362,1.0457468921314923,5.398687705904923,1.3907583123804512,0.004977451840552263,1.4373834540771302,5.471944136642982,1.5709751680189905,0.0005583756078106586,6.0,STAR,1.0,24.17284,21.29792,20.63277,20.4238,20.40367,1.099345,0.0486516,0.0672526,0.1165106,0.2183426,24.34102,21.28668,20.63132,20.42177,20.46295,3.97249,0.05184295,0.04630403,0.04954081,0.2194937,24.68456,21.3983,20.7997,20.52883,20.88054,1.877223,0.08611567,0.1551092,0.2704773,0.6527129,-0.16817999999999955,0.011240000000000805,0.0014500000000019497,0.0020300000000013085,-0.05927999999999756
244,245,986.0876701016325,409.0004439029762,12.665788469344307,13.18708847785087,-0.3916334768535092,139.0,49.95092705882353,0.0,0.0585643137254902,15.753641117804442,0.03953109205130012,986.2548750229771,409.010246047413,5.245031193480827,4.920791229378665,-0.08597000519512221,4.869244896601452,8.72954939536905,2.6363421642126155,0.028591886176171033,5.290692536201793,9.002975329500686,2.7098022598846483,0.06156808946198451,6.0,STAR,1.0,23.13974,23.97102,22.19587,20.90907,20.00817,0.516957,0.380007,0.1227963,0.06134057,0.1127751,22.51976,23.67182,22.19896,20.82805,20.06224,0.4664955,0.4600469,0.1481501,0.06624086,0.1228795,22.6893,24.6871,22.50367,20.89823,21.24325,0.6079881,1.07043,0.3302166,0.1335793,0.6588268,0.6199799999999982,0.299199999999999,-0.003090000000000259,0.08101999999999876,-0.054069999999999396
60,61,155.28569564121156,802.4512145152789,6.993527746655692,5.021632889050009,-0.2203378014262744,27.0,19.08508310588235,0.0,0.040973333333333334,16.798264861444984,0.28195996770709086,155.11569678395094,802.6539696817576,1.363941184074065,1.4823162737302482,0.14028042826976161,-0.7169568615040844,5.15971340833692,-1.695787763006839,0.003325114346139583,-0.6626338326571309,4.531634781023056,-1.5957534515775063,0.001354464816222689,6.0,STAR,1.0,25.10004,22.85064,21.22588,20.64806,20.25773,0.993448,0.1540919,0.05868519,0.05097209,0.1368742,25.29022,22.83586,21.24821,20.64496,20.29247,0.8992208,0.1627637,0.05755091,0.05272748,0.1497861,27.15626,23.56427,21.32459,20.66398,20.55363,0.795965,0.5669824,0.1219568,0.1262308,0.3934092,-0.19018000000000157,0.014779999999998239,-0.022330000000000183,0.0030999999999998806,-0.03474000000000288
189,190,741.6666666666666,1338.0185185185185,9.176414420815059,7.479042689887239,-0.02662180416953279,54.0,26.40649202614379,0.0,0.04213843137254902,16.445723222169956,0.1849711284919342,741.602230224642,1337.9970610155328,3.847239746595733,2.4055977680254728,0.1219510450027883,-1.1418083743655218,5.373341527741777,-2.099862356112885,0.0017379498895233254,-1.426850237901038,6.009472518637877,-2.5028554805913297,0.006093574672020989,6.0,STAR,1.0,22.63669,20.67758,20.02273,19.8067,19.6742,0.3519921,0.02785657,0.02315183,0.02818668,0.0847064,22.53795,20.68968,20.0425,19.79442,19.70594,0.5252068,0.04044938,0.02747748,0.04118921,0.1098964,22.7358,20.74328,20.11122,19.88791,19.85169,0.6405742,0.04628334,0.04110812,0.05335432,0.1978796,0.09874000000000294,-0.012100000000000222,-0.019770000000001176,0.012280000000000513,-0.03173999999999921
54,55,141.96134232090938,331.8721931436387,16.87875860449809,17.035581827234758,0.022275969903176242,239.0,49.28844274509804,0.0,0.05897137254901961,15.76813725761048,0.009205627628517843,141.92534249436795,332.0478364511221,8.536932006230927,8.327065990757546,-0.0623310603768914,6.7004245500311646,10.968307916447099,2.883260225740195,0.033330596078719466,6.296093075692207,10.460902328426474,3.200308827640033,0.07468576090587774,6.0,STAR,1.0,24.94589,23.20629,21.60753,21.04746,20.39883,1.016512,0.2076486,0.07403032,0.06867056,0.1582191,25.04661,23.18595,21.63576,21.01827,20.42964,2.741916,0.4224277,0.1257668,0.08607592,0.3694201,24.82464,23.40361,21.79517,21.27789,20.82319,1.689064,0.4355083,0.1678142,0.1726537,0.4350176,-0.10072000000000259,0.020340000000000913,-0.028230000000000643,0.029189999999999827,-0.030809999999998894
342,343,1395.1965255210932,1372.4267222343283,14.014938133811999,5.311514959906319,0.7114488879338732,43.0,30.563744388422037,0.0,0.051249019607843144,16.286983602693894,0.6210104597542301,1395.1050169248037,1372.3431102115826,1.9808375325519592,1.8625142134260386,-0.02576332469470799,1.6120487711465548,6.009257426544479,1.7048719675645456,0.0007796633304286637,1.6137712383848324,5.608140268803312,1.6827158708469423,0.0010124585614405064,6.0,STAR,1.0,22.7441,21.4484,20.66666,20.20424,20.06488,0.382491,0.0484389,0.03491718,0.03629578,0.115548,22.83688,21.3348,20.63757,20.13106,20.09458,0.4541329,0.04955126,0.03575128,0.03960053,0.1225995,24.45587,21.40224,20.74044,20.24879,20.98231,1.998028,0.2767467,0.1987826,0.1733221,0.5811936,-0.0927800000000012,0.11359999999999815,0.02909000000000006,0.07317999999999714,-0.029700000000001836
