,ra,dec,type,type_name,type_label,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z
0,242.0022626706,15.190878969478,3,GALAXY,0,24.38098,24.53711,22.73634,23.31137,22.34067,0.8339562,0.4270982,0.1667642,0.3574631,0.584958,21.06911,23.95297,22.34718,22.37119,21.75349,0.5546106,0.6938353,0.2115675,0.3380727,0.9740803,24.28382,24.37211,22.74646,22.08319,23.23691,1.834128,0.9395849,0.4176884,0.5242304,6.515411
1,242.003030398317,15.1988149085225,6,STAR,1,22.23108,24.93454,25.01528,24.10598,23.71381,0.1987369,0.4788748,0.5418543,0.3558462,0.4719197,22.29499,26.84996,25.19895,22.06806,16.22624,0.2556683,1.130206,0.5950049,0.7576013,1.243834,22.06273,24.84059,25.92972,23.91922,21.04676,0.7788822,1.79389,1.454391,2.395349,1.08824
2,242.00614013845,15.2477703873223,6,STAR,1,23.73657,20.91711,19.55571,18.60491,18.08302,0.6332967,0.02940997,0.01884392,0.01530198,0.02299454,20.29464,20.92952,19.5523,18.60831,18.03856,0.2769143,0.03050785,0.01478387,0.01100323,0.02356747,23.30463,21.04008,19.56878,18.64022,18.08068,0.9248137,0.05166556,0.02231562,0.01676519,0.03840382
3,242.017060807292,15.3024198573187,6,STAR,1,22.84174,20.71684,19.70243,19.27233,19.08399,0.3274865,0.02632811,0.01972384,0.01917323,0.04693929,20.96951,20.68468,19.68252,19.2609,19.06824,0.1931709,0.02639087,0.01604106,0.01936225,0.04878097,21.76747,20.69341,19.69631,19.28577,19.18558,0.2478951,0.03790564,0.02494291,0.02857125,0.1015065
4,242.018778512661,15.1604904229282,6,STAR,1,22.25767,24.39676,24.03564,23.23611,23.24427,0.2036699,0.399861,0.3424541,0.3772696,0.5947456,22.23125,23.08919,22.45793,22.08593,23.26867,0.2453937,0.7143883,0.5973872,0.3359322,0.6586502,22.80423,24.21447,23.59918,22.84003,22.84141,0.4564133,0.5590506,0.6036425,0.5332347,1.04404
5,242.019853431664,15.1335341087565,6,STAR,1,23.92969,22.42793,21.06269,20.14727,19.74802,0.7059078,0.0889305,0.04249312,0.03071376,0.07976352,24.30997,22.39993,21.02788,20.13397,19.69692,0.84099,0.1035759,0.04360507,0.03259303,0.09059683,24.54942,22.76735,21.16297,20.20371,20.10256,1.54008,0.2248989,0.08062077,0.05837047,0.2228111
6,242.021597611381,15.2609132158838,3,GALAXY,0,24.45524,23.24214,21.75011,20.86239,20.18189,0.848412,0.1756596,0.07203957,0.05362661,0.1174686,22.52465,23.1138,21.14575,20.48926,19.77385,1.173396,0.2097427,0.0737846,0.05644461,0.1313135,24.55677,24.5767,21.2746,20.5798,20.01375,2.56972,1.49401,0.1426907,0.1283095,0.3221588
7,242.023204218212,15.1396380731344,3,GALAXY,0,21.98723,22.66698,22.34084,21.89947,22.57411,0.158196,0.1080624,0.1194892,0.127225,0.6263093,21.53125,22.48324,22.12548,21.81558,22.57643,0.1601731,0.1364387,0.1624155,0.1388628,0.8698205,21.553,22.56864,22.37114,22.82999,22.92649,0.2185341,0.2025429,0.2678103,0.8711398,1.699487
8,242.028471144006,15.3293882031247,6,STAR,1,20.48091,19.39905,18.91902,18.71675,18.66248,0.05216336,0.01609981,0.01610157,0.01582295,0.03412496,20.47032,19.3917,18.91068,18.71823,18.65742,0.05499717,0.01155395,0.01018798,0.01177252,0.03569277,20.45706,19.43306,18.92095,18.73961,18.65009,0.07635563,0.01373027,0.01327914,0.01763188,0.06066406
9,242.028484273449,15.3294009056364,6,STAR,1,20.47865,19.39854,18.92206,18.71856,18.62382,0.0522342,0.01610892,0.01612267,0.01584405,0.03309371,20.51344,19.39021,18.9262,18.72511,18.62628,0.05648611,0.01255959,0.01052194,0.01183409,0.03371716,20.54381,19.43039,18.94866,18.7638,18.54216,0.08176515,0.01374906,0.01329254,0.01777928,0.05511076
10,242.030331914186,15.2277786606845,3,GALAXY,0,25.12883,24.19105,22.67766,21.86177,21.31259,0.7758678,0.357527,0.1579683,0.1238104,0.3068198,22.7036,23.55095,22.61658,21.63897,20.16346,0.7441733,0.3394333,0.2392823,0.1610954,0.2876643,23.35192,25.00776,23.11785,21.84032,20.9344,0.8564011,1.064953,0.4446426,0.241832,0.4144636
11,242.030860593549,15.3240084545172,6,STAR,1,23.30961,23.29384,22.30541,20.68489,19.96287,0.5517914,0.1848892,0.1131492,0.04714678,0.09798997,23.27631,23.34601,22.20193,20.67138,19.86224,0.5275247,0.2005609,0.1191902,0.05885535,0.1007428,24.25497,25.37234,22.22527,20.769,19.9656,1.869829,1.209182,0.2645054,0.1235509,0.3782608
12,242.035733057471,15.1746306415587,6,STAR,1,14.03789,12.72333,12.24448,13.85601,12.03847,0.01478119,0.0003902102,0.000333125,0.0009158865,0.01104147,14.03994,14.5501,14.84889,14.10886,12.04354,0.003586783,0.01108092,0.01131207,0.009594212,0.003660392,14.03159,12.72662,12.24828,13.88313,12.04532,0.001805075,0.0003952257,0.0004012752,0.002738523,0.0008713797
13,242.037478925549,15.2912097461576,6,STAR,1,23.72181,23.28232,23.20833,22.77379,21.56745,0.6363527,0.182694,0.2427107,0.2738146,0.3769998,21.94512,23.19279,22.3704,22.12738,20.06208,0.8331023,0.2002492,0.3400407,0.2792356,0.3721336,23.7205,23.59198,22.9064,24.13002,20.98474,2.201295,0.8583344,0.7497504,2.54684,0.910719
14,242.052088090515,15.1873854343248,6,STAR,1,23.91382,23.55257,22.41795,21.60048,21.31154,0.7120898,0.2266154,0.1269298,0.09814723,0.305654,22.43509,23.16972,22.44227,21.47801,21.31664,0.6086118,0.2376239,0.1364677,0.1076429,0.3883166,24.41973,23.78159,22.66409,21.51422,21.23057,1.313681,0.4510457,0.2711477,0.1661918,0.5455467
15,242.056605320209,15.1970426139883,6,STAR,1,24.2616,23.49647,22.55724,22.47532,23.20623,0.824357,0.2170737,0.142667,0.2084947,0.6092411,21.01956,23.46253,22.50291,22.57451,22.03194,0.5689319,0.2240869,0.1793237,0.2369129,1.803337,22.6737,23.84469,22.7995,22.9587,20.66823,0.5001982,0.4736208,0.3022263,0.5867223,0.5909463
16,242.059309752722,15.2095785342658,6,STAR,1,19.80259,18.91096,18.55762,18.40237,18.36112,0.03520634,0.01473365,0.01533418,0.01463312,0.02737348,19.8178,18.90107,18.55588,18.40199,18.37503,0.03545204,0.009555189,0.009375489,0.01007205,0.02764017,19.85271,18.93526,18.60462,18.44421,18.46883,0.04734614,0.009624479,0.01010052,0.01359375,0.05240314
17,242.0630363814,15.2534069795173,6,STAR,1,21.79147,20.46762,19.81664,19.59394,19.36165,0.1411705,0.02331945,0.02066816,0.0223401,0.05860279,20.67945,20.45109,19.78939,19.58979,19.30871,0.138966,0.02196204,0.01895351,0.02591939,0.06102412,21.32508,20.51975,19.83912,19.64959,19.60217,0.1674098,0.03257804,0.02728833,0.0386783,0.1472075
18,242.064793118325,15.3158801391675,3,GALAXY,0,24.64079,25.24851,22.39415,21.93493,21.68875,0.8720422,0.4908271,0.1215189,0.134912,0.4160053,21.34109,22.38209,22.23166,21.761,21.1957,0.8279688,0.6842048,0.1392377,0.2158164,0.6261224,24.31846,25.14047,22.47297,21.85522,21.17979,1.628248,1.024452,0.2839118,0.2849573,0.5946012
19,242.06780893651,15.3307986341809,3,GALAXY,0,22.36601,21.15502,20.24288,19.90781,19.46264,0.2305865,0.03493309,0.02490087,0.02699293,0.06456493,20.25388,19.99892,19.06359,18.6367,18.51287,0.113054,0.02510347,0.01640969,0.0194487,0.05824694,20.43496,20.01147,19.10869,18.68601,18.63457,0.181011,0.04834898,0.02477445,0.03974378,0.1502849
20,242.068178070972,15.2757505426043,6,STAR,1,20.96374,20.00689,19.76222,19.68339,19.86501,0.07423048,0.0192331,0.0201979,0.02352654,0.09009996,20.9898,20.01401,19.76789,19.6713,19.87783,0.07988154,0.01624653,0.01687333,0.02223255,0.09471268,20.98289,20.04114,19.80256,19.74286,19.96349,0.1217301,0.02290685,0.02650988,0.04203243,0.201415
21,242.068768874588,15.3252999264319,8,NOTATYPE,0,23.99988,26.1113,24.6064,24.85569,22.71436,0.6265358,0.3363991,0.5282453,0.555528,0.657617,21.41448,26.12456,23.96856,24.87109,20.25233,0.889392,0.3785993,0.8622819,0.7806298,0.7154019,22.6314,25.7756,25.40086,24.29318,24.19853,0.9384226,1.549294,1.913171,2.594877,1.344173
22,242.070871086338,15.2964637080302,6,STAR,1,23.26861,20.86486,19.40724,18.46374,17.94986,0.4693905,0.02884608,0.01794789,0.01487471,0.02151671,19.83095,20.83964,19.384,18.46588,17.91125,0.183157,0.02921048,0.01335086,0.01018826,0.02178951,21.6354,20.95306,19.41989,18.51053,17.95001,1.100424,1.020355,0.7739014,0.6821919,0.0391503
23,242.079849248106,15.1620937148195,6,STAR,1,21.95153,24.0598,25.10564,24.87065,22.29855,1.070447,0.3301986,0.5269824,0.5368082,0.5801252,22.26453,23.27879,21.81567,28.03688,22.39892,0.2209276,0.4368131,1.353589,0.5238351,0.7159979,23.21234,24.34085,24.78687,24.18469,22.8832,0.4954948,0.4626847,0.6903285,0.7982871,0.809922
24,242.080990586594,15.3426978817723,6,STAR,1,24.71335,23.15066,22.3397,21.28902,20.62693,0.9480147,0.1818043,0.1367539,0.08598009,0.1988309,24.21085,23.01115,22.15304,21.32141,20.66061,3.930319,0.4081867,0.2187965,0.1422449,0.2735593,24.37882,23.20602,22.31214,21.51218,20.88797,1.787096,0.3848087,0.3019457,0.2378515,0.5331237
25,242.082172387108,15.1166837932509,3,GALAXY,0,23.93332,23.50402,22.6109,23.32493,21.44268,0.7049707,0.215801,0.1486069,0.4014376,0.337935,24.21883,23.39749,22.4424,22.50944,21.22332,0.8195261,0.2501979,0.1592935,0.3682307,0.3782047,26.11957,23.62614,22.8133,23.00088,21.83228,0.6590261,0.4433537,0.3174289,0.668968,0.971082
26,241.976125602841,15.1967084786264,3,GALAXY,0,22.52824,22.11231,21.74171,21.33454,21.61457,0.2529934,0.06860942,0.07200684,0.07815497,0.3809451,21.55649,21.78441,21.64773,21.04549,19.92968,0.2626451,0.07804848,0.07411203,0.08259962,0.3170938,22.24143,21.82577,21.66555,20.97274,20.19568,0.4422607,0.131774,0.1575782,0.1511362,0.4020179
27,241.977983064501,15.1697640545902,6,STAR,1,22.34744,19.50128,18.09182,16.54352,15.69126,0.2167639,0.0164083,0.01465874,0.01254976,0.01180598,20.06433,19.52248,18.09049,16.55234,15.67636,0.1360666,0.01220388,0.006904599,0.004964007,0.005919876,21.26404,19.57323,18.13201,16.5983,15.73047,0.1523666,0.01498274,0.007157953,0.0035657,0.005617567
28,241.991842873323,15.1468984459323,3,GALAXY,0,23.80145,24.40167,22.94271,22.33014,22.61736,0.6570432,0.3985913,0.1979871,0.1826458,0.6258594,20.65983,21.80715,22.10896,21.87123,21.18679,0.440033,0.5325701,0.2420701,0.1924122,0.9365425,21.68199,23.28637,22.58774,22.34081,22.74658,0.3974988,0.5673916,0.5119944,1.066011,2.697168
29,242.005577841262,15.2665024837354,6,STAR,1,24.40124,21.44331,20.01145,18.92263,18.37274,0.8357846,0.04475529,0.02472779,0.01835767,0.02903703,20.35376,21.46079,20.03136,18.92993,18.38438,0.6603068,0.08740374,0.02328556,0.01337814,0.03394533,23.21733,21.61886,20.17437,19.04802,18.53313,0.762706,0.08434421,0.0408925,0.02730443,0.05434138
30,242.0081215598,15.1921604459577,6,STAR,1,24.02181,21.49484,20.07877,19.05767,18.52282,0.9706443,0.04293026,0.02322763,0.01741072,0.03034878,18.73755,21.50369,20.03171,19.03393,18.52347,0.2564157,0.04623602,0.02217306,0.01419287,0.03543039,22.34025,21.66694,20.03154,19.08719,18.65258,0.3819789,0.08400113,0.03152439,0.02257881,0.05917678
31,242.014919940652,15.2534416741526,3,GALAXY,0,23.01415,21.27497,20.43551,20.08525,19.72902,0.3801598,0.03707441,0.02799218,0.02994229,0.07381165,21.07345,20.73427,19.98959,19.6838,18.80774,0.498723,0.03846745,0.02456683,0.02702599,0.0753604,22.012,20.79133,20.03411,19.77009,18.96343,0.4457453,0.05919942,0.04620245,0.06518324,0.1282578
32,242.022516158409,15.194429163475,6,STAR,1,23.47307,22.86364,21.62005,21.2276,20.80602,0.6399776,0.1280154,0.0653196,0.07231539,0.2010894,20.59479,22.81571,21.57908,21.22935,20.50272,0.4281078,0.2139005,0.08472347,0.07581908,0.3335062,22.48296,22.84698,21.51755,21.50473,20.39676,0.5920699,0.2812867,0.1373374,0.3439113,0.4152921
33,242.028889939987,15.2702551992573,3,GALAXY,0,24.07633,23.83481,22.33344,21.71875,22.5264,0.7639769,0.2806203,0.1171725,0.1108587,0.6280108,23.89111,23.68691,22.1043,21.57373,20.50031,0.8480496,0.304498,0.1360018,0.1184621,0.6711097,22.89281,24.16059,22.18661,21.65989,22.90874,0.6841075,0.7603074,0.254739,0.2606215,1.48525
34,242.035433576874,15.2298558537779,3,GALAXY,0,23.85679,24.09232,22.45113,21.34452,20.34846,0.6921181,0.3362197,0.1301624,0.07943524,0.1354869,24.42969,21.37981,22.48463,21.1967,19.75781,0.8821894,0.3654745,0.1475291,0.1098303,0.1550402,23.48956,22.9906,22.29792,21.17727,19.98854,1.25483,0.8454058,0.3036662,0.2063558,0.2636743
35,242.038706132272,15.3062443047502,6,STAR,1,22.96085,20.59118,19.66632,19.32197,19.14927,0.3664294,0.02478818,0.01948644,0.0196271,0.04951504,22.99485,20.54832,19.67344,19.32064,19.15358,0.4300045,0.02314868,0.01588594,0.01728031,0.05376607,23.72095,20.56684,19.72313,19.34393,19.28105,1.201061,0.03428408,0.02450745,0.0298372,0.1077641
36,242.041360721859,15.284190987916,6,STAR,1,24.80496,23.08047,22.53328,21.95502,21.58247,0.851151,0.1547203,0.1382625,0.1365461,0.3810876,23.4215,23.09784,22.37794,21.89948,21.55136,2.976817,0.1669803,0.1777609,0.1444881,0.5095654,23.90471,25.44081,22.73602,22.85259,24.3142,2.462554,2.326749,0.6534353,1.335218,1.46363
37,242.052760760445,15.1448758871344,3,GALAXY,0,23.08126,23.5541,22.83596,22.75867,21.24426,0.400415,0.2257472,0.1807661,0.261634,0.2882591,20.34587,22.69073,22.55008,22.74559,20.75606,0.3694079,0.3163148,0.200983,0.2814976,0.3401452,23.01836,23.41591,22.9326,23.14321,20.91943,0.672937,0.4216876,0.3897051,0.7851161,0.4395739
38,242.054613225061,15.1234383525955,3,GALAXY,0,22.74988,22.97291,22.23684,22.7904,21.57743,0.3032734,0.13963,0.1085131,0.2681967,0.3735249,19.45523,22.24526,21.38317,21.24789,21.48609,0.2057648,0.1576589,0.1036206,0.192726,0.3885643,21.37723,22.33906,21.46189,21.67742,20.55227,0.3833021,0.3264783,0.2044493,0.5106431,0.737573
39,242.0546388297,15.2107690449408,6,STAR,1,22.80182,20.86136,19.79439,19.37573,19.12049,0.3249984,0.0286837,0.02055453,0.01988428,0.04793341,21.84457,20.87328,19.77979,19.37126,19.05488,0.3798139,0.02837721,0.01736732,0.01927413,0.04922279,22.51957,20.94867,19.84126,19.44688,19.28908,1.420636,0.5875772,0.5815649,0.607756,0.456227
40,242.056645026998,15.2784942531667,3,GALAXY,0,23.29414,22.64046,22.06688,21.71722,21.75728,0.4791229,0.1076352,0.09310342,0.1111128,0.3877103,21.86195,22.28946,21.4635,21.30987,20.23988,0.5613667,0.1152861,0.08724893,0.1386056,0.3981236,22.50847,22.35552,21.67582,21.30671,21.90494,0.6504351,0.2231875,0.1932175,0.239104,1.420112
