,ID,Center_x,Center_y,Width,Height,Orientation,Area,Mean_Intensity,Min_Intensity,Max_Intensity,Magnitudo,Eccentricity,Weighted_centroid_x,Weighted_centroid_y,Variance_x,Variance_y,Covariance,Intensity_x,mean_x,sigma_x,RMS_x,Intensity_y,mean_y,sigma_y,RMS_y,type_name,type_SDSS,type_ID,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,psf-cM_Mag_u,psf-cM_Mag_g,psf-cM_Mag_r,psf-cM_Mag_i,psf-cM_Mag_z
3,4,19.56311769656361,1057.3890837411345,8.859749883014718,5.2273743401001544,-0.08271523895902536,37.0,15.209601075630252,0.0,0.01963843137254902,17.044705441679554,0.4099862401170371,19.588759075105585,1057.357011374838,1.483987161847665,3.616659549297765,0.029692115171201294,-0.7364369005961399,5.63157737383659,-2.9563646899596443,0.004446260704636574,-0.36306432611066963,5.318487419807293,-1.7739011110368803,0.001939449600948137,3.0,GALAXY,0.0,24.91459,23.04628,22.86273,22.82804,23.30774,0.8966824,0.1746969,0.1825937,0.2365497,0.4750591,25.20269,22.82976,22.03218,22.13631,19.65355,0.8092245,0.1798141,0.1793143,0.2581987,0.5852492,24.73234,25.20563,22.4122,24.37998,21.94087,6.336296,12.02885,0.4770369,12.0948,1.379653,-0.2881,0.21651999999999916,0.8305499999999988,0.6917299999999997,3.65419
187,188,732.5348837209302,1127.0232558139535,11.131827835898727,9.848071805188695,0.00700655797808012,86.0,10.709242980392155,0.0,0.03414823529411765,17.42560306919912,0.11532302238542369,732.4777322445167,1127.0434192192822,3.375268794596195,4.264092838624492,-0.3883315334096551,0.8482533137807589,7.538521582055917,2.4739659652179564,0.0006655887925136044,0.7837258691797527,7.044200122483985,2.233454335369349,0.0013653444751601526,3.0,GALAXY,0.0,22.53913,22.40966,21.70449,21.56981,21.67304,0.2826941,0.101631,0.06910741,0.08299985,0.3272367,22.55924,21.59687,20.66757,20.64145,18.28752,0.3340234,0.09577848,0.06030957,0.07671098,0.2444876,25.0146,21.46427,20.56165,20.59872,19.79657,5.441001,0.3595935,0.3107006,0.4729183,0.9544927,-0.020109999999998962,0.8127899999999997,1.0369199999999985,0.9283600000000014,3.3855199999999996
332,333,1342.7580570640005,396.5134703231656,7.325278296937609,8.9780292899245,-0.30778821110677296,78.0,11.047633832001937,0.0,0.03580705882352941,17.391826821631213,0.18408839396878252,1342.8881678137352,396.7048595329683,4.762310279300436,5.026051876688143,-0.44390562316402793,0.8473007884026424,7.485158790340688,4.596253302315036,0.004482976542393551,0.7080581624877937,7.236324956627873,4.14440835594199,0.00244048801460448,3.0,GALAXY,0.0,22.83302,22.32614,22.06662,21.6178,21.61887,0.3684403,0.09380309,0.09441879,0.08632629,0.3172812,21.9278,21.7095,20.38423,20.39746,19.06112,0.3682302,0.09200834,0.0735278,0.07722113,0.3777646,21.72307,22.00094,20.5487,20.62974,20.03153,0.7253744,0.3620819,0.09585562,0.240535,0.5050524,0.9052199999999999,0.6166400000000003,1.6823900000000016,1.2203400000000002,2.557750000000002
16,17,71.62580725834106,904.3238975347666,7.624195719049544,9.542814915622968,0.16796093614246424,60.0,13.785262969187674,0.0,0.047066666666666666,17.151462362075097,0.2010537994855549,71.62132681076046,904.1862579770313,4.389344879575219,2.5720406661275774,-0.00029097997321514413,-0.6414044364451235,6.026633561481463,-2.062598900851772,0.000924709121770758,0.712441229761445,5.615599543552808,2.5928831495382587,0.0023927657160600813,3.0,GALAXY,0.0,22.57163,22.28543,21.97158,21.6065,21.42762,0.2841468,0.09133688,0.08637087,0.08483452,0.2727555,22.2574,21.87812,21.03802,20.68421,19.00827,0.2848358,0.1044691,0.09006324,0.07572926,0.2762433,25.2089,21.84507,21.02411,20.72281,20.47969,2.905044,0.196444,0.1484791,0.1642681,0.4767675,0.31422999999999845,0.4073100000000025,0.93356,0.9222900000000003,2.4193500000000014
274,275,1147.810290244513,231.65074279864854,4.664552182513483,12.130281462122682,0.054887088575551274,31.0,15.085431466666666,0.0,0.0210521568627451,17.053605659544044,0.6154621640826106,1148.3402436439947,231.75333223842762,1.8601894211024046,1.6695940688732662,0.06543578580021858,0.37888678937757825,5.305214926456038,1.4420485978204496,0.0008323810526570362,-0.5123319136736404,4.709343748185945,-1.7706493462948212,0.0015353368396112692,3.0,GALAXY,0.0,22.84015,22.36917,21.95657,21.98916,21.46408,0.3663436,0.09746216,0.08581644,0.118026,0.2815847,23.05159,22.18231,21.52631,21.52898,19.1546,0.5284562,0.1114377,0.08343385,0.1419392,0.3027295,22.6502,22.22272,21.63294,21.7893,20.75955,0.6736847,0.1833245,0.1667065,0.2814928,0.4008835,-0.21143999999999963,0.18685999999999936,0.43026000000000053,0.4601799999999976,2.3094800000000006
210,211,810.9939631354493,624.3061396772338,39.458472090458834,27.760971337363856,-0.009218367145767813,881.0,18.167937909167087,0.0,0.03827725490196078,16.851735907581794,0.2964509301393722,811.3651236400127,622.8169136032352,27.234088922967203,66.63733590341872,-0.9851665704627521,5.150959540878708,17.274279950166818,6.029304248641738,0.10897952231809492,4.147567624311977,17.036609135628744,5.372292947711929,0.006740011531567465,3.0,GALAXY,0.0,21.16556,20.02878,19.86972,19.63998,19.31206,0.09099349,0.01870317,0.02250833,0.02190942,0.04941473,18.99731,18.08668,17.48222,17.24066,17.1213,0.05247455,0.009118795,0.009092708,0.01142824,0.03173496,19.20612,18.06228,17.5088,17.24327,17.13819,0.1395721,0.01800862,0.0216914,0.02060171,0.0644812,2.1682500000000005,1.9421,2.3874999999999993,2.399320000000003,2.1907599999999974
95,96,408.0846855841372,264.7603277537099,9.057267130956173,6.741865148440034,0.3860951941590103,51.0,16.550343529411766,0.0,0.03252705882352941,16.952982468258494,0.2556402443516871,408.14271481879223,264.7407846906053,2.189808277034899,3.844037911039777,0.8482337855821243,-1.0774068674402202,6.207962816145621,-2.6204248159672705,0.0010610054183366829,-0.704678854304321,5.235296431353896,-1.7356584659411234,0.00017747480120563661,3.0,GALAXY,0.0,23.15066,21.82981,21.59032,21.3601,21.04305,0.6802865,0.06270909,0.06509937,0.0689909,0.217819,20.33214,21.4664,20.84749,20.50796,19.05587,0.284323,0.08026531,0.06708284,0.06224151,0.193443,21.8399,21.4735,21.11375,20.66818,19.91668,0.3887809,0.1072412,0.120173,0.1246258,0.2126857,2.8185199999999995,0.36340999999999823,0.7428299999999979,0.8521399999999986,1.9871800000000022
144,145,593.1162790697674,983.8837209302326,7.691735220200604,7.056903841871695,-0.013707783890401894,43.0,22.599886361655773,0.0,0.027749411764705884,16.614734361493213,0.08253422149291711,593.2316581067544,983.8677388767109,1.9413047193665989,1.7460004850290716,0.07146784907672554,-0.9948324404291871,5.443742760720306,-1.2996662272921982,0.0018763687480039997,0.8962703051066192,5.89892936147361,1.493983306105445,0.0003516021565219948,6.0,STAR,1.0,21.55698,21.23525,21.08971,20.83682,21.22629,0.1237362,0.03943412,0.04336038,0.04593278,0.2325452,21.54519,21.12159,20.99404,20.79332,19.61722,0.1415588,0.04006626,0.04966829,0.04752801,0.2709132,21.98464,21.19922,21.02186,20.95951,20.62427,0.3497259,0.06768617,0.09007023,0.1291874,0.3316955,0.011789999999997747,0.11365999999999943,0.09567000000000192,0.043499999999998096,1.6090699999999991
15,16,73.4676259139145,766.5420719986284,18.572960725110537,22.211290914102907,-0.5843122026527034,341.0,21.22081888643177,0.0,0.047014117647058824,16.68309465299566,0.16380543585074725,73.37718182226754,766.5654031420322,17.81049068110042,16.69309060764499,1.906854289547482,3.458648081766587,12.01946703750683,3.9859103053124287,0.01649887536699636,3.161050606413809,12.76794783568005,3.6854752142729295,0.03962944615544469,3.0,GALAXY,0.0,22.66474,21.08926,20.18518,19.74171,19.29988,0.3065308,0.03540334,0.0253964,0.02291354,0.04895037,20.70398,19.51513,18.36731,18.01502,17.74174,0.1998824,0.02402028,0.0147129,0.01392538,0.03460179,20.90869,19.57052,18.54516,18.17744,17.9003,0.4427407,0.05041527,0.02473306,0.03266652,0.09226733,1.960759999999997,1.5741300000000003,1.8178699999999992,1.7266900000000014,1.5581400000000016
179,180,713.4142320251291,6.882995884394541,9.116096604276738,7.911789170988246,0.08514344964432578,60.0,27.547485938375353,0.0,0.020731764705882352,16.399795074871832,0.13210779630434155,713.5729026813284,6.857270571072996,2.130967464414425,1.8962379180949327,-0.21173048510991066,1.6175714442602473,6.452360530195652,1.4076203757767471,0.00152800750765106,1.6345433538785175,6.252106101686696,1.5829538122925806,0.003847565884389628,3.0,GALAXY,0.0,22.50574,22.88147,21.89297,21.50906,20.86188,0.2727782,0.1517716,0.08109958,0.07849736,0.173921,22.15228,22.72493,21.66723,20.73592,19.34178,0.2989665,0.160747,0.09440749,0.07499839,0.1856338,22.79151,22.92335,21.81751,20.9857,20.36794,0.6316142,0.2827964,0.1638329,0.1137638,0.2309263,0.35345999999999833,0.15653999999999968,0.22573999999999828,0.7731400000000015,1.5200999999999993
