,ID,Center_x,Center_y,Width,Height,Orientation,RA,Dec,Area,Mean_Intensity,Min_Intensity,Max_Intensity,Magnitudo,Eccentricity,Weighted_centroid_x,Weighted_centroid_y,Variance_x,Variance_y,Covariance,Intensity_x,mean_x,sigma_x,RMS_x,Intensity_y,mean_y,sigma_y,RMS_y,type_name,type_SDSS,type_ID,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,psf-cM_Mag_u,psf-cM_Mag_g,psf-cM_Mag_r,psf-cM_Mag_i,psf-cM_Mag_z
87,88,347.1764860217197,359.9836573294247,5.477011118692827,9.808145532797413,-0.38821500958482413,238.2637939492744,34.215332993549936,44.0,9.303512679738562,0.0,0.032824705882352936,17.57838261533661,0.4415854556421216,347.21243402968645,360.00725840425565,7.023706201594905,1.8497797318559606,1.8745001700590365,0.2362593738554703,7.017110076852912,2.93896053420022,0.0013179471163711162,0.35543454525135376,3.55436555951685,1.0986955520939978,0.005967249412173649,3.0,GALAXY,0.0,24.01792,23.41652,22.1956,21.66304,22.12512,0.7727039,0.2025618,0.104428,0.1124706,0.4692521,24.13824,22.53327,21.1051,20.90102,19.01343,0.8329218,0.1754836,0.0971781,0.1076753,0.534005,26.91617,22.53964,21.17065,21.02603,20.21701,0.9019619,0.4323187,0.1990465,0.3037806,0.557355,-0.12031999999999954,0.8832499999999968,1.0904999999999987,0.7620199999999997,3.1116899999999994
203,204,830.0705493381023,4.565314088279369,7.420743050800825,6.213982927961425,-0.15231284487163801,238.2876504199008,34.15242926391355,37.0,19.30762708496732,0.0,0.003333333333333333,16.785677744762964,0.1626198501387499,830.0693699291154,4.5085371297440275,1.8239421383477747,1.4421845490982967,-0.15165753103883617,-0.8325458343759045,4.982144418601977,-1.406073499215318,0.0010090041793926001,-0.759362058573009,5.687156943419751,-1.4001395884300893,0.0007293281901034391,6.0,STAR,1.0,23.53302,24.20901,22.73624,23.22076,22.83593,0.5829415,0.3014148,0.1670029,0.413902,0.5654985,22.65874,24.25188,22.7069,22.45487,19.75847,0.5327412,0.4254108,0.2755776,0.5441761,1.047353,22.82023,25.07874,22.94719,22.5818,21.76763,0.668462,1.068188,0.3874781,0.632261,0.7997406,0.8742799999999988,-0.04287000000000063,0.0293399999999977,0.7658899999999988,3.077460000000002
272,273,1187.2857142857142,290.8095238095238,6.41250466031136,4.2362180796877436,0.0196130786232768,238.34843197668906,34.15458327887301,21.0,7.383185568627452,0.0,0.021749803921568625,17.829390539759864,0.3393816762572063,1187.0434429749516,290.88109580591475,2.0317209288477898,1.2441291482682573,-0.42519095790339634,0.21928250456026882,5.127235296976951,2.7436783687679953,0.0013153573205796285,0.35569981971713016,5.286988535939507,3.8024875235371396,0.0017836346367434335,3.0,GALAXY,0.0,25.75784,25.00748,23.40745,22.19657,22.34225,0.5446553,0.481442,0.2910135,0.1801189,0.5218013,25.85744,23.19925,22.02326,21.30457,19.56753,0.5026192,0.7158111,0.3272333,0.2249703,0.5548869,27.6718,23.76117,22.41911,21.95871,21.15606,0.3095509,0.9452416,0.4326258,0.5024518,1.090144,-0.0995999999999988,1.8082300000000018,1.3841900000000003,0.892000000000003,2.7747199999999985
173,174,744.601865943149,1034.0859057531102,43.62142640456151,36.145029605469716,0.7541516000231215,238.35945715092046,34.2492677774036,1301.0,22.88804676164737,0.0,0.0623878431372549,16.600978169780767,0.1713927630369736,743.6144703181195,1033.6461010425019,55.91161190404091,70.30590647133067,9.189825776731595,9.543597869287284,23.23582745185971,9.575487845866256,0.04566352071295979,6.4008352503425066,21.182667005090398,6.7342814141540455,0.06039895669225351,3.0,GALAXY,0.0,21.55707,20.2721,19.47461,19.05625,18.87551,0.1180873,0.02579814,0.02126898,0.02369205,0.03785451,18.06785,17.37468,16.83453,16.49751,16.25085,0.05485052,0.006833321,0.005809458,0.006594291,0.01814602,18.46874,17.44222,16.85398,16.52847,16.28159,0.06609286,0.01046629,0.009781197,0.01239139,0.03791236,3.4892199999999995,2.8974199999999968,2.6400799999999975,2.5587400000000002,2.6246599999999987
90,91,349.90317398662023,662.1991906936083,7.46883217161387,4.652830378967773,0.24758314432964296,238.28784823286526,34.24196050328361,29.0,14.393441045751635,0.0,0.03492117647058823,17.104588416734057,0.37703374877649887,350.05712715065397,662.4206933916887,1.5694019031798234,1.7054951738682576,0.16562091445666738,-0.3995186825578778,5.605007509605989,-1.5285107716001858,0.0009181303102422374,-0.748628295364858,4.632964829560357,-2.456388214460875,0.0014299319541635365,3.0,GALAXY,0.0,23.43698,22.637,21.9134,21.70797,21.29078,0.8705009,0.1060586,0.08339641,0.1180033,0.2673175,21.45955,22.2496,21.60337,21.38741,18.66638,0.386838,0.1112837,0.1062817,0.1182702,0.2805563,22.69727,22.30971,21.70695,21.59264,20.5434,0.6335526,0.191188,0.1699007,0.2745107,0.3864674,1.9774299999999982,0.3873999999999995,0.3100299999999976,0.3205600000000004,2.6244000000000014
70,71,278.8505449658068,351.5861814997744,6.219843974637803,5.619552075830521,0.6257075124926608,238.25580280741738,34.21902723466362,29.0,9.590370384313726,0.0,0.02272666666666667,17.545411549654823,0.09651237253780776,278.8578308260911,351.64066567562827,1.4772295083676,1.8337265538284555,0.23574273809208535,0.4212740410565115,5.043598497202264,2.1827640786248828,0.0008242953100621913,0.32746195357929203,5.422888420696932,1.3430535366170109,0.0005867029117903016,6.0,STAR,1.0,22.62799,22.42584,22.30682,21.88793,22.25633,0.2892796,0.09014723,0.1145535,0.1360081,0.4997216,21.07524,22.25346,22.17283,21.77661,19.88005,0.2098608,0.09161945,0.1197351,0.1760765,0.4548212,21.62906,22.33105,22.42803,21.92512,20.9728,0.2801625,0.18475,0.3028527,0.3394258,0.5204606,1.5527499999999996,0.17238000000000042,0.13398999999999717,0.1113199999999992,2.3762799999999977
141,142,603.318657932667,935.9176082818408,18.81156211457247,34.5513687930771,0.7580881944244529,238.33657387613303,34.24975537901027,538.0,14.446458903561425,0.0,0.045860392156862745,17.100596483844555,0.45554799211481145,603.4379154725191,935.6492964458406,34.450271770881955,33.27663741481956,-19.813466062303632,2.733974718916143,15.827838343577275,4.474405518377733,0.025538024964503452,2.912575499116429,17.16646827311664,4.376963890324398,0.01077359098075056,3.0,GALAXY,0.0,21.95243,21.03554,20.3836,19.98957,19.94677,0.2204492,0.03456429,0.02909827,0.03321396,0.08671308,20.13712,18.79722,18.24217,17.9095,17.58138,0.1194621,0.01542671,0.01387766,0.01676412,0.05249266,20.12633,18.84293,18.31509,17.96228,17.76715,0.2460821,0.03051728,0.02783492,0.03777223,0.1224884,1.8153100000000002,2.2383200000000016,2.1414299999999997,2.080069999999999,2.3653900000000014
4,5,17.14690486912003,987.5886671690785,8.345408144242528,6.3044604283083805,0.007494930923530306,238.27772724713333,34.29244496284231,40.0,18.225228011204486,0.0,0.03169372549019608,16.84831757406976,0.2445593649415686,17.140214254262727,987.5358609097328,3.2959092685782707,2.006846750853583,0.022021436841896502,-0.6143346358767555,4.846954143073317,-1.960496511268349,0.002380172922563117,-0.9270410291047523,5.086081483237792,-2.8487471491305505,0.0011146327905922767,3.0,GALAXY,0.0,22.90793,23.20605,22.64389,23.04895,22.01874,0.356624,0.1683371,0.1523279,0.3549395,0.4506303,21.39172,22.90987,22.55734,22.04027,19.67247,0.3565688,0.1858092,0.1960939,0.3372319,0.3478782,22.65021,23.13568,23.02323,22.48243,20.95205,0.4611242,0.2977438,0.4143335,0.5156705,0.4265963,1.516210000000001,0.29617999999999967,0.08654999999999902,1.0086800000000018,2.3462700000000005
170,171,720.1840312637394,95.99831511434859,4.9108684488403895,5.333331172547075,0.060286831985790997,238.28305414272526,34.16768000444938,22.0,12.892180078431371,0.0,0.030388627450980393,17.22418409219129,0.07921179278745727,720.1385269653396,95.83777248307796,2.043219913262874,1.3227906398697087,-0.049052660731831565,-0.39105854431425424,4.247375455221957,-2.980115509468994,0.0015434230411487714,-0.3864008471958078,4.868219986163251,-2.3038458778628392,0.001543079981973154,3.0,GALAXY,0.0,24.24386,22.77728,22.3351,22.35642,22.41939,0.8412149,0.1188504,0.11829,0.2065253,0.5273479,19.87435,22.11723,21.3615,21.43415,20.13647,0.3883119,0.1355206,0.1133027,0.1925721,1.170777,21.65515,22.28248,21.43644,21.59938,21.22343,0.3930777,0.2680667,0.1961418,0.3986414,1.057942,4.369510000000002,0.6600500000000018,0.9736000000000011,0.922270000000001,2.2829200000000007
145,146,605.4025521564188,307.79571209908755,8.529387968464448,6.663067578816537,-0.763615018450953,238.28739129706983,34.193923744369556,47.0,10.134877118847541,0.0,0.03028705882352941,17.485453781445678,0.21881058717791046,605.5188407587287,307.77000124309507,2.9910910756443627,2.8455827763100388,-0.3664507469511591,0.4759761816631268,5.987852295346857,2.728025781072666,0.0037795907823096634,0.4739928565219869,6.808055944910675,1.9658867181142539,0.0018055391058833352,3.0,GALAXY,0.0,23.50237,23.26152,22.13839,21.36686,21.21505,0.5697743,0.1776365,0.100234,0.08830494,0.2488898,23.8143,22.09578,21.46852,20.34045,19.01396,0.703667,0.2739106,0.1088361,0.08194221,0.2725306,25.57234,22.31157,21.49801,20.43043,19.93846,2.078774,0.27207,0.2080426,0.1362593,0.3345564,-0.31193000000000026,1.1657399999999996,0.6698699999999995,1.0264099999999985,2.2010900000000007
