,ra,dec,type,type_name,type_label,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z
0,241.573530776487,10.2654198741394,3,GALAXY,0,22.98416,22.18085,21.56526,21.2822,20.6853,0.3267435,0.07886235,0.06003144,0.07374578,0.1689653,22.48216,21.94119,21.18938,21.04298,20.2823,0.3199158,0.07705989,0.05779744,0.07940499,0.2036548,22.84796,21.86065,21.28058,21.22803,20.80773,0.6477109,0.135849,0.1224873,0.1953052,0.5167258
1,241.597285570998,10.3140177058289,6,STAR,1,22.29966,20.32327,19.53514,19.27058,19.03938,0.1822269,0.02922042,0.01670613,0.02117176,0.04330057,19.73253,20.31866,19.5029,19.22008,18.97402,0.1396839,0.02265281,0.01433412,0.02077526,0.04446101,21.82264,20.35923,19.53514,19.25133,19.0026,0.1908684,0.02836405,0.02077615,0.02564579,0.07549898
2,241.598752723811,10.3399656371844,6,STAR,1,23.63329,23.80746,22.29073,20.73387,19.94403,0.5090903,0.3208698,0.1691335,0.05563881,0.08796933,21.7735,23.58624,22.12668,20.74426,19.86006,0.589472,0.5111188,0.1317125,0.06099501,0.09605067,22.83991,23.85152,22.37753,20.89737,20.07689,0.5202556,0.6955088,0.2875439,0.1238018,0.2281136
3,241.599585980375,10.3964034919068,6,STAR,1,25.18968,24.79899,23.2322,23.88318,22.39005,0.6289288,0.62457,0.3002372,0.5635076,0.5657444,25.14159,24.54211,23.25725,23.78283,22.28777,3.6712,4.1313,0.7696571,3.195303,2.072842,24.96488,24.73589,23.58553,24.02738,22.52258,0.9246628,0.9709134,0.6923539,1.291479,1.002434
4,241.602929395194,10.4032434115872,6,STAR,1,23.29594,20.9363,20.19665,19.85321,19.58008,0.3996646,0.03597448,0.02228786,0.02627829,0.06416983,22.3655,20.94517,20.1823,19.87001,19.59687,0.3798215,0.03089265,0.02546298,0.02414157,0.06783037,24.10062,21.00778,20.29263,20.00506,19.66471,0.9896377,0.04331445,0.03484165,0.04388392,0.1215109
5,241.606970363352,10.2734741274355,6,STAR,1,23.74091,20.99478,19.46767,17.74447,16.71793,0.5495005,0.03724287,0.01637777,0.01759688,0.01747213,21.23011,21.00599,19.46091,17.73915,16.70346,0.1927889,0.03418143,0.01396525,0.007333117,0.009435549,22.05815,21.13198,19.49284,17.79115,16.76127,0.2470427,0.05454596,0.02047216,0.008486073,0.012425
6,241.609900240143,10.3379015388739,6,STAR,1,21.90524,20.14861,19.39766,19.12786,19.00832,0.1323848,0.02798439,0.0158735,0.02022848,0.04200738,21.55504,20.1478,19.4025,19.12545,18.95549,0.1296906,0.02075471,0.01344959,0.01987009,0.04342343,21.78539,20.22999,19.46179,19.21389,19.10346,0.1846721,0.0245558,0.01875646,0.02357493,0.08082987
7,241.613151542884,10.3277436881771,6,STAR,1,23.95785,20.98679,19.59366,18.50903,17.86923,0.608382,0.0371107,0.01706008,0.01794154,0.02263434,21.14725,21.00002,19.59495,18.5053,17.88039,0.7841062,0.03254376,0.01651134,0.0103717,0.01915031,22.89018,21.11066,19.61644,18.55898,17.9589,0.5090135,0.05498849,0.02281424,0.01528279,0.03164969
8,241.61315758716,10.327731067962,6,STAR,1,23.79544,20.99097,19.5974,18.50827,17.86811,0.5546757,0.03709617,0.0170616,0.01793444,0.02259652,19.26833,21.00281,19.5735,18.50285,17.85247,0.2355065,0.03537096,0.01899968,0.01035463,0.02505293,22.30029,21.09113,19.61486,18.57496,17.92786,0.2688829,0.04761134,0.02016192,0.01341764,0.02732058
9,241.617030144598,10.3474523132393,6,STAR,1,21.96213,21.29514,20.89689,20.71729,21.0406,0.1388002,0.04401729,0.03623412,0.04878754,0.2273487,21.35095,21.27313,20.88193,20.61441,20.88512,0.1393832,0.03996424,0.04303575,0.04558326,0.2728721,21.64916,21.4209,21.00348,20.89997,20.85187,0.1643227,0.06585553,0.06890174,0.1129906,0.4512474
