,ra,dec,type,type_name,type_label,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z
0,244.950654759806,18.8409004189828,6,STAR,1,20.27114,18.70976,18.11089,17.88751,17.80242,0.04617925,0.01386098,0.01325026,0.01591919,0.02228237,20.22038,18.70435,18.10731,17.89796,17.80568,0.04757946,0.008289398,0.007959877,0.00795366,0.02775439,20.38021,18.74327,18.15508,17.96092,17.86289,0.07765207,0.008764512,0.008633008,0.01081072,0.03850188
1,244.950664334484,18.8409022531234,6,STAR,1,20.2844,18.71109,18.1108,17.88813,17.80223,0.04643783,0.01427944,0.01324781,0.01591852,0.02223939,20.2102,18.69938,18.10378,17.89722,17.80054,0.04780998,0.007976805,0.007340035,0.007951032,0.02265621,20.3675,18.73881,18.14974,17.9578,17.84546,0.07630613,0.008747972,0.008615067,0.01076586,0.03772774
2,244.951170297129,18.8369861473371,6,STAR,1,23.48881,22.02479,20.45395,19.12497,18.42526,0.5508265,0.06879878,0.03255375,0.02046569,0.0323267,22.42143,22.03375,20.45692,19.1363,18.4248,0.7266818,0.07171749,0.03991587,0.0179636,0.03585764,22.76469,22.10233,20.56279,19.21523,18.52206,0.5717608,0.1283043,0.06197244,0.02935362,0.06485519
3,244.952138731667,18.8460077810998,6,STAR,1,24.35335,23.25844,21.83204,20.89095,20.10243,0.8406517,0.1937779,0.09933653,0.06231762,0.1205236,24.50909,23.23151,21.75563,20.90596,19.54286,0.8880239,0.2435914,0.1157815,0.0653276,0.1260445,27.98798,23.12536,21.89715,21.41101,19.56828,0.8967115,0.448288,0.2836084,0.2976044,0.231222
4,244.952138731671,18.8460077811038,6,STAR,1,24.18722,23.25844,21.83204,20.89095,20.10243,0.8024946,0.1937779,0.09933652,0.06078753,0.1205236,22.71965,23.2315,21.75589,20.90602,19.54336,1.079534,0.2436498,0.1157571,0.06533062,0.1260502,27.99018,23.12697,21.89708,21.42063,19.56825,0.900049,0.4484237,0.2835694,0.303061,0.2312204
5,244.953483724726,18.8448169983455,6,STAR,1,24.51292,24.95354,23.68827,22.07565,22.52345,0.8610076,0.5301729,0.4697917,0.1721732,0.5860634,23.99529,25.04506,23.77987,22.14748,22.51635,1.584461,0.8008271,0.7384325,0.2146373,1.871536,23.8301,25.0118,24.27949,22.76447,22.59131,0.5895006,0.3579811,0.4700953,0.3879822,0.5672489
6,244.955532093349,18.8327936104084,3,GALAXY,0,24.36718,23.2495,22.77421,23.30627,22.37003,0.8458287,0.1917411,0.2254591,0.8140174,0.67984,21.99314,22.22126,21.85094,21.48388,19.68455,0.8565491,0.2035233,0.3120645,0.4639491,0.5573592,22.83838,23.31524,21.71828,21.67722,22.1881,1.831664,1.12752,0.3246851,0.8099182,4.205938
7,244.956362608902,18.8467275014289,6,STAR,1,19.21328,18.1032,17.63671,17.46652,17.38664,0.02610777,0.01233426,0.0127196,0.01544704,0.01853579,19.17888,18.0825,17.63337,17.46747,17.3953,0.02414826,0.006083628,0.005947084,0.006590382,0.01584757,19.22596,18.12401,17.69299,17.50689,17.44683,0.03061373,0.005798712,0.006049092,0.007459584,0.0265528
8,244.956372353023,18.8467295786476,6,STAR,1,19.21308,18.10355,17.63636,17.46696,17.39446,0.02607531,0.01233345,0.0127183,0.01544668,0.01856809,19.17632,18.07915,17.6299,17.46387,17.38913,0.02412035,0.006074567,0.005936412,0.006588499,0.01816501,19.22025,18.12071,17.68787,17.50461,17.43482,0.03038836,0.005821206,0.006049302,0.007454609,0.02618776
9,244.958768426864,18.8416078973439,6,STAR,1,17.87004,15.94725,15.1918,14.91525,14.77598,0.01701442,0.01143626,0.01201261,0.01474865,0.01298198,17.8874,15.93714,15.19191,14.92044,14.76811,0.01196764,0.003562739,0.003621532,0.004084467,0.004891551,17.93379,15.98265,15.24558,14.96962,14.82914,0.01265052,0.001815853,0.001421205,0.001434245,0.003575433
10,244.958778084291,18.8416097338649,6,STAR,1,17.86992,15.94738,15.19144,14.91528,14.77601,0.01701003,0.01143625,0.0120126,0.01474865,0.01298173,17.88601,15.93608,15.19095,14.92024,14.76754,0.01196503,0.003560586,0.003619817,0.004083879,0.004889797,17.93357,15.98242,15.24499,14.96972,14.82835,0.01262238,0.00181639,0.001420649,0.001433608,0.003567984
11,244.959728662224,18.8356639522908,6,STAR,1,24.16723,22.14038,20.94684,20.27807,19.89272,0.7976072,0.0692192,0.04726242,0.0385839,0.1034731,22.8385,21.78693,20.95854,20.26773,19.92682,0.8252946,0.07661981,0.0536253,0.04000175,0.1115324,23.28516,21.96896,21.03343,20.18062,20.01126,0.9279494,0.2121104,0.1851672,0.124988,0.2645501
12,244.960105661731,18.853846800707,3,GALAXY,0,25.03187,23.53436,23.03861,22.2169,21.7277,0.8012789,0.2428786,0.2829825,0.1950693,0.4742481,25.27784,23.05165,22.42907,21.71217,21.88016,0.7291475,0.4093207,0.3691851,0.2964986,0.6983339,23.35198,23.15025,22.95848,21.85281,23.02103,1.206859,0.5647691,0.8111315,0.4243316,2.346215
13,244.962753629933,18.835818826314,6,STAR,1,23.51105,23.06221,22.29609,22.31128,22.72535,0.5580819,0.1641022,0.1488533,0.2101837,0.7340234,23.43837,23.1033,22.29814,21.87189,18.67646,0.6836436,0.1925025,0.2389575,0.2433938,0.3700067,24.47429,23.46164,22.54377,22.00046,20.72265,1.35478,0.348062,0.3009868,0.2938532,0.6996599
14,244.964779615987,18.8694002609109,3,GALAXY,0,22.34118,20.8232,19.82866,19.4081,19.09448,0.2201054,0.02857724,0.02202954,0.02307795,0.05265354,21.76341,20.26534,19.18543,18.61229,18.56956,0.2003651,0.02472574,0.01744133,0.01662986,0.05322535,22.91656,20.30198,19.18298,18.67763,18.63252,1.958787,0.05111846,0.0376315,0.03678909,0.144471
15,244.96479281567,18.8632279753656,6,STAR,1,22.0378,19.79269,18.37114,17.40903,16.90101,0.1858475,0.01712917,0.01371151,0.01540262,0.01594307,21.58911,19.78273,18.37487,17.41876,16.88942,0.2004194,0.01436199,0.008303542,0.00650742,0.01311043,21.81612,19.81274,18.42977,17.47177,16.94625,0.2670768,0.01929426,0.01062163,0.007320576,0.01729245
16,244.964802976773,18.8632307477774,6,STAR,1,22.07242,19.79562,18.37144,17.40923,16.90108,0.2377491,0.01712733,0.01370833,0.01540203,0.01593275,21.29641,19.77261,18.37199,17.41789,16.8845,0.1805903,0.01430626,0.00828564,0.006504424,0.0134775,21.79315,19.79119,18.42174,17.47011,16.93647,0.2608219,0.01905175,0.01062691,0.007350032,0.0171677
17,244.965460496711,18.8593459361153,3,GALAXY,0,25.0054,22.59886,21.72179,21.18512,20.56371,0.8084583,0.1114319,0.0907259,0.080574,0.1840023,20.2987,21.65275,20.97431,20.48198,19.90952,0.410368,0.148766,0.1037783,0.07215152,0.205352,22.00698,21.76428,20.9057,20.53669,20.30053,0.6767176,0.2110798,0.1716843,0.2586855,0.6993874
18,244.965587017183,18.8268368225128,6,STAR,1,22.32115,21.46494,21.2139,21.00932,20.87094,0.2187098,0.04435193,0.05877323,0.0683092,0.241954,22.19679,21.44935,21.19294,20.94303,20.55056,0.2559846,0.06436141,0.06203476,0.07108916,0.2603868,22.55037,21.4699,21.34004,20.98196,20.69871,0.5485815,0.08524821,0.1419591,0.1660849,0.5223964
19,244.965662926113,18.8355051036458,3,GALAXY,0,22.4003,21.8777,20.79736,20.66031,20.22304,0.2326933,0.06116192,0.04208787,0.05154246,0.1376608,21.15617,21.49018,20.28843,20.0149,19.98622,0.2356201,0.09113225,0.03973803,0.05528111,0.1907722,21.40664,21.52857,20.3859,20.26993,20.65571,0.3119062,0.1380867,0.09405752,0.1399868,0.8024237
20,244.966326291429,18.8222384384919,3,GALAXY,0,22.40963,21.71575,21.37814,21.35429,21.15453,0.2363261,0.0538068,0.06754502,0.09153353,0.3081107,19.57401,19.82032,19.68161,19.55036,19.41957,0.1552051,0.0329508,0.04785481,0.06634321,0.2790572,19.90676,19.98092,19.74447,19.78025,19.2543,0.2021019,0.0806824,0.09035474,0.212892,0.5423317
21,244.96678069086,18.8609661166595,6,STAR,1,20.63571,19.65723,19.2888,19.15872,19.13543,0.05846556,0.01635877,0.01702369,0.0207906,0.05451204,20.64448,19.65419,19.28754,19.16491,19.12793,0.06266016,0.01684446,0.01417267,0.02058097,0.08685878,20.70947,19.70696,19.36862,19.23646,19.21103,0.1018361,0.0178834,0.02314153,0.03187984,0.1271014
22,244.966780690884,18.8609661166811,6,STAR,1,20.63571,19.65723,19.28882,19.15872,19.13543,0.0584348,0.01634921,0.01721469,0.02077642,0.05447976,20.64261,19.65423,19.28751,19.16342,19.12785,0.0626598,0.01328397,0.01417126,0.01670439,0.08209159,20.70759,19.7051,19.36825,19.23665,19.21416,0.102033,0.01780468,0.02298777,0.03200192,0.1281382
