,ID,Center_x,Center_y,Width,Height,Orientation,Area,Mean_Intensity,Min_Intensity,Max_Intensity,Magnitudo,Eccentricity,Weighted_centroid_x,Weighted_centroid_y,Variance_x,Variance_y,Covariance,Intensity_x,mean_x,sigma_x,RMS_x,Intensity_y,mean_y,sigma_y,RMS_y,type_name,type_SDSS,type_ID,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,psf-cM_Mag_u,psf-cM_Mag_g,psf-cM_Mag_r,psf-cM_Mag_i,psf-cM_Mag_z
1,2,12.818149353777944,600.0153886112209,7.205809823216375,7.039761342534347,0.3596693766827478,42.0,23.224699259259257,0.0,0.03336039215686275,16.58512475263503,0.02304369456810218,12.650255663337592,599.9418391907932,1.907563691180627,2.4830050785676576,0.22111040116942604,1.2561462179509533,5.265665428638854,2.1078186339156253,0.0019260352634897216,-0.8840964909176341,4.950004325411752,-1.52682384283616,0.0026024241333627938,3.0,GALAXY,0.0,23.4058,24.89087,22.89968,22.93021,21.98928,1.235186,0.4924913,0.1963214,0.3165236,0.5610905,19.96815,23.25689,21.76708,21.28658,21.84788,0.3938081,0.5233219,0.2011781,0.2592899,0.5915965,21.6282,24.94976,21.6793,21.26777,22.91687,0.5509402,2.437773,0.3419304,0.3991065,3.989033,3.437649999999998,1.633980000000001,1.1326,1.6436299999999981,0.14140000000000086
2,3,37.281565721115854,44.471704037755195,11.98611358451156,11.634903296939825,0.542129418821319,116.0,36.08894682871496,0.0,0.05438980392156863,16.10656447905402,0.029301431618799945,37.236742934867536,44.52021333338724,3.586638958375488,3.6077248518981833,0.14666064585389904,3.7821767846842795,8.255526166301372,1.9524559906726422,0.014478220354069293,3.664415191352089,7.816357950203588,2.006340248245687,0.004281028528377867,6.0,STAR,1.0,21.37028,19.57305,18.72596,18.38869,18.2289,0.1074006,0.01849684,0.01558241,0.01630804,0.02915776,20.9448,19.57538,18.72457,18.39472,18.21381,0.1060631,0.01360397,0.0107746,0.01069401,0.02814673,21.10996,19.61931,18.76594,18.4485,18.32909,0.1479771,0.01588184,0.0118577,0.01457097,0.05532451,0.4254800000000003,-0.0023300000000006094,0.0013900000000006685,-0.006029999999999092,0.015090000000000714
3,4,65.62565281771548,1240.461097546859,8.334695077955358,5.854472807110273,0.05584947759727059,55.0,23.306356782713085,0.0,0.03941607843137255,16.581314023708593,0.29757804546504474,65.73500354797083,1240.221650152434,2.1181286817409273,2.1575327115133405,-0.05190320260589942,-1.2090174799363316,5.660532636282624,-1.4560083745132046,0.0022830530199278052,1.384279995377599,6.2622064871081164,1.5712619681294622,0.0014586427660525534,6.0,STAR,1.0,24.58562,22.46544,21.01309,19.6381,18.84712,0.8846624,0.09426746,0.04196024,0.02413077,0.04363725,24.85292,22.35631,21.02094,19.60184,18.82525,0.8732046,0.107697,0.04821423,0.02304584,0.04496903,26.43186,22.31607,21.0902,19.60926,18.75867,0.6895853,0.1644425,0.08797273,0.04024436,0.09263151,-0.2673000000000023,0.1091300000000004,-0.007850000000001245,0.03626000000000218,0.021869999999999834
4,5,76.71268829146291,490.69717861996116,10.239104990470304,22.311644618870595,0.3299572744502695,188.0,22.683321443001443,0.0,0.044110588235294124,16.61073338208085,0.5410869451635878,76.30091788863034,490.87552325603644,18.856905673475012,5.445464799151523,-5.326034728328523,2.3417962127869396,8.670243076935478,2.0862704993281502,0.004467179180961234,3.05449010045004,13.401978880589269,3.528078017114751,0.00874651545154502,3.0,GALAXY,0.0,22.87295,21.10825,20.0087,19.38977,18.89306,0.3536834,0.03438866,0.02261852,0.02134174,0.04550458,20.47746,19.96113,18.88534,18.39965,17.9188,0.2254695,0.02628819,0.01579282,0.01462672,0.0398871,21.91832,20.01779,18.89155,18.43191,17.96197,1.085019,0.06994434,0.04085763,0.04517375,0.1325927,2.395489999999999,1.147120000000001,1.1233600000000017,0.9901199999999974,0.9742599999999975
5,6,73.9286863807806,316.5203819819553,9.037951451903306,9.364595140362482,0.6039088398751211,70.0,30.348041481481484,0.0,0.033635294117647055,16.294673327471042,0.03488070584614,73.89938745854926,316.4958808467529,2.2644074136851486,2.302873163091135,-0.11861019774005399,2.0203944262303604,7.111348581470057,1.6797607995529629,0.0014102184923659323,2.327697417149635,6.428126880247955,1.7640447435600701,0.0010749783326610906,6.0,STAR,1.0,23.25943,21.31008,19.86853,19.06481,18.60475,0.4808611,0.03909378,0.02123278,0.01899044,0.0352384,23.21276,21.28784,19.87393,19.04621,18.6051,0.5441464,0.04102572,0.0189313,0.01748222,0.04537328,24.60957,21.41072,19.91781,19.11696,18.69282,1.748326,0.06843793,0.0298039,0.02395975,0.07310086,0.04666999999999888,0.022240000000000038,-0.005400000000001626,0.018600000000002836,-0.00035000000000096065
6,7,75.61448407856662,1390.58766545923,7.077207394219858,6.059455914665784,0.10743181067802816,57.0,16.24674343337335,0.0,0.05177686274509804,16.973084194505304,0.14380693158509084,75.58086075518283,1390.521111879164,2.945731843752583,3.1684084974694997,-0.09014395262056496,-0.8333897379920159,5.763834683772782,-2.0937123882180013,0.0027316345774688693,-0.9531361640327216,6.223510313157836,-2.3190902266791134,0.004982124293415515,3.0,GALAXY,0.0,23.4658,23.15717,21.5117,21.03308,20.39406,0.5552201,0.1672957,0.06157157,0.06386257,0.1583171,19.74047,22.88502,20.46124,20.14861,20.03504,0.2703922,0.1743868,0.06225285,0.07935035,0.1596914,21.38284,23.62663,20.36544,20.00203,25.86543,0.870167,1.811252,0.2433143,0.1967493,1.111363,3.725330000000003,0.2721499999999999,1.050460000000001,0.8844700000000003,0.359020000000001
7,8,76.66508943422936,1346.1192473272622,12.040750690008366,4.2732103631797385,0.06211021501523385,31.0,14.116907503267974,0.0,0.059291764705882356,17.125651077148614,0.6451043233769697,76.7891223988777,1346.1704345129076,1.6858871578224353,2.1894235708750784,0.5522490537987323,-0.43023244025432616,5.322497100923865,-1.743405760221122,0.0011057665140046375,-0.5372481058520386,5.495247404787502,-1.6575704471962995,0.00029875404046142797,3.0,GALAXY,0.0,22.95914,22.72939,22.038,21.64124,20.6733,0.3782128,0.1171981,0.09516232,0.1067611,0.2014668,19.89897,22.38858,21.58512,21.24079,20.2624,0.3093661,0.1496278,0.1119025,0.1165568,0.2112314,21.45454,22.64609,21.63474,21.14637,20.93564,0.2994639,0.2970482,0.200944,0.2080225,0.8493251,3.060170000000003,0.3408099999999976,0.4528800000000004,0.4004499999999993,0.4109000000000016
8,9,81.56107816247173,830.4874370655134,6.844108995617415,10.663408993298534,0.10792381307829026,57.0,21.614359663865546,0.0,0.0380164705882353,16.6631440653234,0.35816876198609415,81.14494696650951,830.5077397228604,2.1681110667695975,1.8752966459142044,-0.09238146907591727,1.4063729202251698,6.044602691672681,1.569828590829854,0.0006104193592119626,-1.3676905533165613,5.633705542091308,-1.5587520913729531,0.0008543996289374469,6.0,STAR,1.0,23.79139,22.38507,20.98361,19.80145,19.28546,0.6804391,0.142871,0.1242049,0.03306488,0.06505253,23.14993,22.41271,20.98434,19.82002,19.29496,0.7483602,0.1324337,0.04697454,0.025066,0.07440313,23.41375,22.86896,21.13642,19.90655,19.56221,1.061147,0.4310958,0.1534731,0.06946592,0.1720293,0.6414599999999986,-0.027640000000001663,-0.0007300000000007856,-0.01857000000000042,-0.009499999999999176
9,10,82.36325698278702,842.3261249335068,8.12696012079038,8.167578201904082,0.6339300282367385,55.0,26.074357038815528,0.0,0.033567058823529415,16.45946597982666,0.004973087506432661,81.96587259724815,842.2340803033419,1.8594815350525096,2.135459369048476,0.016737133788410574,1.6188201620115203,5.776081007478316,1.6316351869950139,0.0024598728469184122,1.5305718074873496,5.488078568082687,1.528531099776755,0.0006923131680859444,6.0,STAR,1.0,22.2613,21.0336,20.50879,20.3311,20.34543,0.2128286,0.03525136,0.03985784,0.08090208,0.1680474,22.37086,21.03326,20.48692,20.30198,20.18286,0.4421134,0.03675195,0.02914831,0.0369426,0.1722801,22.45365,21.04947,20.58596,20.43707,20.52803,0.4851773,0.05771754,0.08439579,0.1970909,0.442429,-0.10956000000000188,0.00034000000000133923,0.021869999999999834,0.029119999999998925,0.16256999999999877
11,12,91.42288861346957,227.9402952499162,11.25721801254654,10.949826068905901,-0.402141417741926,101.0,38.00830795294118,0.0,0.03660274509803922,16.050303659526666,0.027306208629702344,91.69480137457684,227.9059771088708,3.1950356260458648,3.2699827222531894,-0.10186328499185038,3.2361465754168552,7.5625578644045675,1.9024102037574486,0.0024623818297768774,3.065909478063029,7.333095316299544,1.9140000740561347,0.0022744704991494932,6.0,STAR,1.0,20.49605,19.36815,18.88891,18.70492,18.61238,0.05801264,0.0177885,0.01598779,0.01719314,0.03712523,20.50462,19.35453,18.89284,18.69917,18.63098,0.06010265,0.01274615,0.01220897,0.01169815,0.03828234,20.48177,19.40846,18.92591,18.75992,18.78769,0.08569225,0.01336818,0.01320446,0.01771676,0.0807964,-0.008569999999998856,0.013619999999999521,-0.003930000000000433,0.005750000000002586,-0.018599999999999284
