,ra,dec,type,type_name,type_label,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z
0,244.624468797169,9.92274238083851,6,STAR,1,19.1436,17.9166,17.49744,17.28916,17.23329,0.03024102,0.01208501,0.01558198,0.01398017,0.02606724,19.10966,17.89886,17.47149,17.2945,17.21453,0.02666541,0.005586923,0.005207522,0.005668199,0.01262667,19.11743,17.92972,17.51198,17.35146,17.24269,0.03640977,0.005847937,0.005612471,0.0066634,0.01977134
1,244.62662195862,9.96797584479305,3,GALAXY,0,22.41203,22.04863,20.5529,20.05508,19.6172,0.3210039,0.08655737,0.03825255,0.0342938,0.07795669,19.60561,21.75281,20.34292,19.92817,19.39277,0.198449,0.08765822,0.04741171,0.03297454,0.1015444,21.45444,21.77959,20.3829,20.00488,19.48067,0.3311947,0.1737526,0.07264367,0.07468466,0.1682955
2,244.626875822745,9.96196059991792,6,STAR,1,24.23438,21.57821,20.29195,19.18455,18.55354,1.144348,0.05839331,0.03204652,0.02056942,0.03840166,19.39104,21.59242,20.2917,19.16429,18.55589,0.4678158,0.0658629,0.0302708,0.01718538,0.03226959,21.88371,21.54536,20.13886,18.98922,18.31223,0.8812021,0.2822923,0.09798043,0.05165567,0.1725238
3,244.628961704303,9.97193222814025,3,GALAXY,0,22.42139,22.51311,21.94578,21.01358,21.32806,0.323008,0.1290656,0.118683,0.07334728,0.3243983,19.17057,21.99146,20.57929,20.12416,20.06085,0.2477341,0.1294894,0.1017213,0.06824868,0.2751544,21.26665,22.26652,21.17739,20.37409,20.16104,0.3809605,0.3616114,0.2027133,0.1419335,0.4282053
4,244.630448852798,9.95955037447863,3,GALAXY,0,25.20909,21.3386,20.02953,19.56088,19.2722,1.057204,0.04871008,0.02830313,0.02632169,0.06121457,25.4739,20.51486,19.48891,18.85558,18.71213,0.9887865,0.04869986,0.02615062,0.02060637,0.05932466,25.9808,20.62397,19.51686,18.93023,18.71142,2.352626,0.08670172,0.04933612,0.04487944,0.1211927
5,244.645554868766,10.0055895419897,6,STAR,1,23.52734,23.01863,21.64035,20.99917,20.67934,0.7729186,0.2008957,0.0916776,0.07275503,0.1903288,21.08695,22.96521,21.57269,21.00958,19.95466,0.6971597,0.2526203,0.1343544,0.07482499,0.2023788,24.50564,24.15517,21.65544,21.11082,20.09259,2.611937,1.242656,0.1891642,0.2525318,0.2958251
6,244.645653226218,10.0220847516127,6,STAR,1,23.0212,24.57113,22.85656,21.35998,20.70099,0.5239221,0.5837193,0.2649168,0.09942857,0.1949823,22.29637,24.56945,22.92749,21.2551,20.7066,0.6316444,0.7866071,0.3892065,0.101398,0.1991359,24.37414,25.6123,23.60036,21.59663,21.28368,2.364655,1.411248,0.978585,0.2520074,0.6634428
7,244.647703676946,9.97422727486951,3,GALAXY,0,23.29366,23.11482,21.64068,20.95022,20.50348,0.6552437,0.2170906,0.09083272,0.07029957,0.1621191,23.56554,22.21093,21.4583,20.76399,20.27146,0.8085269,0.2501825,0.09250572,0.07753481,0.1824439,26.53336,22.46026,21.67865,20.80737,20.55817,1.302127,0.308934,0.1966325,0.1431741,0.3832484
8,244.654598890668,9.97730875196445,6,STAR,1,17.18392,16.07735,15.67961,15.51684,15.50751,0.01953245,0.01133708,0.01511508,0.01336091,0.02384516,17.19678,16.06037,15.66562,15.5259,15.48119,0.009095791,0.003196327,0.003078406,0.003234928,0.005089678,17.24783,16.09295,15.7066,15.56665,15.51147,0.009727306,0.001956659,0.001806455,0.002033103,0.005223394
9,244.667989229653,9.95826626831556,6,STAR,1,18.07655,16.83375,16.39441,16.23938,16.21498,0.02182337,0.01149415,0.0152079,0.01348594,0.0242414,18.04213,16.82266,16.38168,16.24211,16.1975,0.01409698,0.003804226,0.003585826,0.003802707,0.007296989,18.08981,16.85355,16.42402,16.2794,16.23919,0.01689004,0.002960787,0.002706528,0.00312516,0.008792493
10,244.67181574881,10.1038985175965,6,STAR,1,17.91387,16.68134,16.16458,15.9563,15.86431,0.0213233,0.01145911,0.01517872,0.01342854,0.02403389,17.89572,16.68097,16.16946,15.95293,15.83957,0.01297336,0.00365407,0.00337708,0.003498657,0.005948365,17.93349,16.71257,16.20798,15.99691,15.87889,0.01522546,0.002750595,0.002398829,0.002631865,0.006794636
11,244.68126570155,10.0854512302895,3,GALAXY,0,24.64165,22.37014,21.66744,21.34079,21.12109,1.181257,0.1164364,0.09547763,0.1010843,0.2836028,20.80894,21.86264,21.12832,20.93433,20.23471,0.5391323,0.1068116,0.08791859,0.09655541,0.3205445,20.40792,22.00873,21.19183,21.72031,20.49987,1.401032,0.3048199,0.1625028,0.6893757,0.5294584
12,244.68495917954,10.0937074385906,6,STAR,1,24.8896,22.62381,22.22198,21.80217,22.19624,1.14622,0.1557692,0.159209,0.1589848,0.4777693,24.90668,22.64046,22.22558,21.78367,22.29326,3.516195,0.2037932,0.2650145,0.2395679,1.654776,24.76403,22.85145,22.51729,21.99286,22.63804,1.875577,0.3046849,0.3249673,0.3135317,1.12303
13,244.686048716916,9.97654782354804,6,STAR,1,24.44412,24.52524,22.92817,22.11805,21.59611,0.6000333,0.6061426,0.2625673,0.1989079,0.6132979,22.17284,24.55586,22.79189,22.2097,21.57963,8.566899,1.226658,0.6315192,0.2301198,1.027327,23.07541,25.07486,23.65683,23.1206,21.74757,1.446378,1.950955,1.383903,1.258047,1.282426
14,244.693987005335,10.0459326057778,6,STAR,1,23.81188,21.35586,20.14406,19.51046,19.10742,0.9193966,0.04927136,0.0294986,0.02469737,0.05423852,21.20861,21.27244,20.13902,19.51488,19.04086,0.842721,0.05331023,0.03077265,0.02239488,0.05050042,22.99251,21.31753,20.25526,19.54057,19.04185,1.082748,0.09492815,0.05543561,0.04210797,0.09703664
15,244.70075285709,9.90297457912372,6,STAR,1,19.01017,17.4393,16.86087,16.55402,16.45006,0.02864642,0.01174235,0.01530553,0.01360468,0.02444649,18.9937,17.43892,16.82804,16.58353,16.45365,0.02442171,0.004655201,0.004095484,0.004243904,0.008038932,19.05784,17.47296,16.87426,16.62795,16.50575,0.03487847,0.004317933,0.003591829,0.003944214,0.01085361
16,244.703009261039,9.91722941952903,3,GALAXY,0,25.24295,23.24133,22.37782,22.20929,22.11932,1.021802,0.2394615,0.1680099,0.2248192,0.5385327,25.47351,22.11329,22.13026,22.112,19.79361,0.8914426,0.2549259,0.1662867,0.2372789,0.7939807,26.91971,22.61479,22.76095,23.93714,21.16023,0.8209554,0.4310781,0.8467722,2.398187,0.8350928
17,244.709600303228,9.97532889696201,6,STAR,1,20.49027,19.25945,18.76138,18.56555,18.5375,0.05766274,0.01497214,0.01746323,0.0167421,0.04275522,20.52528,19.25233,18.76548,18.56215,18.35768,0.0712842,0.01119604,0.01017178,0.01268238,0.03890304,20.71837,19.26326,18.79238,18.62673,18.40118,0.1447082,0.01638562,0.01549956,0.0189977,0.05509344
18,244.709819691379,9.96218778472656,3,GALAXY,0,23.81708,22.90101,22.28214,21.70631,21.08101,0.9293422,0.1791606,0.138784,0.1393344,0.2609243,23.91187,22.70616,21.87873,21.22257,20.48574,1.104534,0.2212022,0.1821643,0.1587501,0.2893918,23.85947,22.97273,22.28305,21.40563,20.83748,2.528232,0.5252796,0.4295478,0.28293,0.6075644
19,244.713591652968,9.93841433262086,6,STAR,1,15.92657,14.31028,13.74237,13.55372,13.47828,0.01822903,0.01121478,0.01504786,0.01326318,0.0235402,15.88962,14.29461,13.72653,13.55195,13.46883,0.005162164,0.002694698,0.002659438,0.002569372,0.003088448,15.93889,14.33375,13.7743,13.59816,13.51292,0.004601171,0.0008509716,0.0007357203,0.0008270735,0.001599951
20,244.718627648917,9.95768570553892,3,GALAXY,0,23.121,23.5513,22.47729,21.43653,21.15204,0.5711957,0.3092494,0.1853018,0.110486,0.2759407,20.49346,23.43407,21.7028,20.89772,20.59339,0.4449659,0.4084713,0.2755014,0.1590214,0.2981453,22.04089,23.23652,22.11589,20.97093,20.88334,0.5868403,0.6611871,0.3694022,0.1905923,0.6325358
21,244.724708688126,10.1233814158151,3,GALAXY,0,24.8154,24.9485,23.15658,20.56483,20.06178,1.807251,1.139125,0.5530684,0.0635538,0.1197046,24.97435,24.98275,23.31018,19.27371,19.85057,1.820698,1.796832,0.5367456,0.04924938,0.1283952,26.53108,26.11115,25.02576,19.97191,19.66335,1.708593,2.304465,3.455621,0.08958162,0.215441
22,244.736585192543,9.90046202316032,6,STAR,1,22.44194,19.47201,18.1863,17.60756,17.30757,0.3247729,0.01590994,0.01619532,0.0144051,0.02617632,20.87036,19.48122,18.17876,17.62209,17.29727,0.2374653,0.0154111,0.008655151,0.006698304,0.0137661,21.50653,19.53292,18.2254,17.68264,17.3472,0.2803906,0.01914094,0.009375651,0.008363415,0.02077681
23,244.747839263208,9.91613521556557,3,GALAXY,0,21.72265,21.19131,20.75227,20.44111,20.38715,0.1793086,0.04232974,0.04308421,0.04912768,0.1419492,17.59094,20.91356,20.41948,20.09357,19.66238,0.06838717,0.04223027,0.04938481,0.04797914,0.1373427,20.22654,20.97703,20.46997,20.12689,19.53839,0.1944444,0.09189375,0.08289807,0.09444422,0.2083036
24,244.749994808378,10.0720566264076,3,GALAXY,0,24.91945,23.84516,22.64829,21.61616,20.71902,1.144684,0.2272695,0.2220432,0.1316099,0.201504,25.1031,23.77606,22.69749,21.4092,20.62411,2.45346,1.002969,0.4434896,0.2554562,0.4428752,25.00941,23.88179,23.09928,21.60206,20.80235,1.732913,0.6439882,0.5067305,0.195739,0.3400202
25,244.751311527078,9.9390277495534,3,GALAXY,0,22.11018,21.1673,20.36534,19.98587,19.8739,0.2485147,0.04314233,0.03389136,0.03558749,0.09326941,21.14539,20.63887,19.81928,19.5322,19.28954,0.2147503,0.0371241,0.03115884,0.03108258,0.08646626,21.45061,20.80678,19.92304,19.59844,18.89163,0.4158353,0.09172518,0.06209976,0.06850571,0.1902873
