,ID,Center_x,Center_y,Width,Height,Orientation,Area,Mean_Intensity,Min_Intensity,Max_Intensity,Magnitudo,Eccentricity,Weighted_centroid_x,Weighted_centroid_y,Variance_x,Variance_y,Covariance,Intensity_x,mean_x,sigma_x,RMS_x,Intensity_y,mean_y,sigma_y,RMS_y,type_name,type_SDSS,type_ID,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,psf-cM_Mag_u,psf-cM_Mag_g,psf-cM_Mag_r,psf-cM_Mag_i,psf-cM_Mag_z
2,3,18.752504234525656,930.0499154575234,22.457212086528028,20.471913036841208,-0.5420263201826387,381.0,38.27509086155674,0.0,0.05086039215686275,16.04270942413298,0.08840362917878797,17.973459209135445,930.4959375163234,11.58848027852224,12.505548945162445,-0.7305231669015484,8.467349759270508,14.32573062599606,3.7365722501877565,0.10162684797732761,7.805792873993971,12.115703654335865,3.6482425247135586,0.05610529867248481,3.0,GALAXY,0.0,23.44765,22.89596,22.43064,22.47871,22.42722,0.6752409,0.1633009,0.143522,0.2388723,0.775968,20.89411,22.85942,22.18571,21.52233,18.90501,0.4311621,0.2342504,0.1667223,0.2460036,0.9227998,22.60106,22.91958,22.35499,21.61598,21.03488,0.6861538,0.3677586,0.3541162,0.3363054,0.7109632,2.553539999999998,0.036539999999998685,0.2449300000000001,0.9563799999999993,3.5222099999999976
333,334,1181.8552493057875,248.56254337852954,6.199130468446425,10.94852724541242,-0.20753625845167326,50.0,10.5344624889956,0.0,0.033567058823529415,17.443469047391375,0.43379320985441727,1181.6945750834484,248.71689548494834,3.666064112447202,2.5076285438408377,0.7938424837775528,0.35123790197600735,5.800889455576069,1.616609965968612,0.002153195247208376,0.6786554604475271,5.653237462336846,2.8883908186109464,0.0007156909915185381,3.0,GALAXY,0.0,23.68428,22.78417,22.08022,21.59904,21.28897,0.8489821,0.1499203,0.1080169,0.113077,0.379383,21.33301,22.32617,21.59861,21.1778,18.02263,0.8000932,0.1578599,0.1015839,0.1101352,0.2869711,22.93927,22.64189,22.15057,21.42342,20.29396,1.154235,0.3701821,0.4207988,0.3453782,0.582221,2.3512699999999995,0.4579999999999984,0.48160999999999987,0.4212399999999974,3.2663399999999996
192,193,600.0000000017221,236.0000000012177,4.450649002911394,5.662418458778263,-0.3613384536783372,21.0,24.857876078431374,0.0,0.027971764705882356,16.511339953397496,0.21400210258009145,599.8925414054414,235.88041472866027,1.2690815336536616,1.2676583106367616,-0.003863477904815227,-0.7585086854420808,4.200037251041511,-1.6463548057779775,0.0004276857541932402,-0.6409666622144222,4.32911211969846,-1.4628756417931177,0.0011119607817900463,6.0,STAR,1.0,24.18879,22.17461,21.52973,21.48303,21.37607,1.074942,0.0892924,0.06775983,0.1020459,0.4142922,22.23233,22.19882,21.49939,21.236,18.13807,0.7810308,0.1405753,0.07069406,0.1142115,0.2351393,22.4327,22.30284,21.70045,21.44905,20.09653,0.6015885,0.1674341,0.1540897,0.2149025,0.3068743,1.9564599999999999,-0.024210000000000065,0.030340000000002476,0.24702999999999875,3.2379999999999995
3,4,13.107959414774912,19.55096499103883,7.937614907740346,6.63454918983767,0.22339670211843732,44.0,13.085756713352009,0.0,0.028759607843137254,17.208002895603638,0.16416338321376545,13.007745850288746,19.612280185696342,1.5585633002471013,3.61751890401149,0.2394668410761085,-0.7554125684897685,6.344369576971612,-2.4329271561995647,0.0021145216273154724,-0.36584272513229105,5.580738732061142,-1.422987328381894,0.0005006489241906608,3.0,GALAXY,0.0,22.94849,23.42034,22.3283,21.77455,23.19346,0.4806947,0.2499774,0.1268621,0.131886,0.7913952,20.21218,22.6016,22.10051,21.70399,20.32865,0.3441215,0.2673464,0.1462538,0.1693637,0.8959569,22.97711,22.97009,22.68748,21.48952,22.75094,1.569601,0.3663,0.4669924,0.2630197,1.650116,2.7363099999999996,0.8187399999999982,0.22778999999999883,0.0705600000000004,2.864810000000002
37,38,111.46633066806713,1255.8954194810442,14.531778745074643,19.476534416165887,-0.665264699244125,230.0,8.546234709727027,0.0,0.05997098039215686,17.670562960244645,0.2538827270516363,111.46487355313779,1255.907764610243,18.910056333717876,15.363717107335106,4.542026539653307,1.084367064462823,10.242693306988908,6.971669537277566,0.0032752646772375538,0.8689365633108201,11.537270652873447,5.059806363193357,0.0038579076079937906,3.0,GALAXY,0.0,23.38642,22.07261,22.03551,22.03377,21.38128,0.6442619,0.08126178,0.1016324,0.1635944,0.4142232,19.07669,19.36734,18.95131,19.32885,18.70466,0.1851408,0.03965851,0.06221045,0.1237404,0.221732,19.34127,19.49855,19.09136,19.89226,19.75744,0.1970742,0.08913006,0.06200281,0.3666289,1.276191,4.309730000000002,2.7052700000000023,3.084199999999999,2.7049200000000013,2.6766199999999998
296,297,1006.3076923076923,513.1538461538462,7.283539465037465,6.841063622023342,-0.016766443973124795,39.0,13.05429811391223,0.0,0.04199921568627451,17.210616184449282,0.060750112653072064,1006.480919225342,513.3446820254434,2.003959153429605,2.131597579456866,-0.1762701410916634,0.7559838695896585,6.103278441537643,1.9139419452415372,0.0004681766677112217,-0.7480818216082271,6.321164048361884,-1.8208841921517107,0.00520170490793377,3.0,GALAXY,0.0,23.2782,22.36653,21.57676,21.48558,20.82703,0.6182696,0.1048093,0.08322514,0.1055678,0.2594749,21.32401,21.89963,21.40541,21.22658,18.58299,0.5328598,0.1030832,0.07033695,0.1068734,0.2633083,23.17239,22.16695,21.48892,21.26354,20.28688,1.064796,0.222307,0.1576714,0.2095128,0.4206488,1.954189999999997,0.46690000000000254,0.17135000000000034,0.25900000000000034,2.244040000000002
77,78,261.76327551379757,629.0913085748699,6.61081399476993,7.998103368061197,-0.5006989334822323,44.0,16.95954345471522,0.0,0.03722156862745098,16.926464607463394,0.17345229355638558,261.7597732148531,628.9831792500106,2.3436086989822797,2.433721602021251,0.3289615537505597,-0.7440005105252737,5.52145888042921,-1.8213235851144298,0.0008354711666751016,-0.8171782173415926,6.2748216711006215,-1.7838904438103838,0.0019436695194860122,3.0,GALAXY,0.0,22.92687,22.10765,21.46189,21.0312,20.93872,0.4573894,0.0841879,0.06380909,0.06937804,0.2876039,20.64918,21.8995,20.90731,20.47306,18.92099,0.2789751,0.08315296,0.07725445,0.06822323,0.3176725,21.86694,21.87665,20.88243,20.22198,19.97954,0.5899236,0.2908232,0.1705219,0.216787,0.7417638,2.2776899999999998,0.20814999999999984,0.5545800000000014,0.5581399999999981,2.0177300000000002
348,349,1230.0142494909712,952.5036531173561,4.358250546928373,12.511827464144055,0.4189881880446506,28.0,21.059122196078434,0.0,0.045860392156862745,16.691399338496524,0.6516695455225794,1230.2070024845154,952.6109897819927,1.4640737215522677,1.92135275201872,0.11642435588873923,-0.9563399464364591,4.849543693596929,-2.6255982331256855,0.001334543918628746,-0.5839439802566714,4.861439505402722,-1.7391659192190936,0.0009565006984312061,3.0,GALAXY,0.0,22.75747,21.86135,21.50172,21.4914,20.92602,0.4023241,0.06888808,0.06556299,0.1026066,0.2790287,20.3214,21.34772,20.88307,21.16544,19.05203,0.2672109,0.07126702,0.06404272,0.1006156,0.2554291,21.1265,21.38684,21.10143,21.87023,20.13965,0.2365731,0.1184507,0.1409536,0.5043827,0.4045976,2.436070000000001,0.5136300000000027,0.6186499999999988,0.3259599999999985,1.8739900000000027
11,12,35.45653374238293,887.1107326098228,9.270001923174927,8.757381251774785,0.6881649792049008,67.0,12.829818039215688,0.0,0.05735725490196079,17.229448757567148,0.05529887433125502,35.48657440294461,886.9470184221067,3.4503242493240123,3.9793733820552006,0.1564593047114613,0.7882989496205933,6.001342179961996,2.95551059670693,0.0037954696264092358,0.6591213960576678,6.03213238780413,2.140384256507654,0.002600029503803004,3.0,GALAXY,0.0,23.55841,23.09829,21.77156,21.38823,20.4323,0.7318154,0.1938873,0.08214497,0.09428581,0.1851935,23.78016,23.01352,21.32191,20.8295,18.64524,1.233983,0.2019615,0.1259658,0.1031098,0.1861399,24.60688,24.95237,21.4264,21.09347,19.87917,2.564173,1.908184,0.1652081,0.2208808,0.3271544,-0.2217500000000001,0.0847699999999989,0.4496500000000019,0.5587300000000006,1.7870600000000003
289,290,977.5757575757576,171.06060606060606,11.58188354104966,7.211962774912503,0.015375886383178904,66.0,9.951891241830065,0.0,0.03222156862745098,17.505235946919303,0.3773065711331711,977.6254920412242,171.0915141216185,4.568174381507561,4.1602035275464,-2.3491096478828695,0.6223315737986929,6.708498123278954,2.6652873123870267,0.0017129133065947007,0.5341468083663289,7.759491884952452,2.263683412311453,0.002864333180636189,3.0,GALAXY,0.0,26.47455,23.11806,22.02257,21.39304,20.80361,0.4093874,0.198984,0.1025583,0.09482156,0.2552469,26.5745,22.89479,21.12827,20.61442,19.11941,0.3679259,0.2628264,0.08496804,0.09894774,0.1690336,27.12052,23.52164,21.17672,20.76881,19.49277,0.7848449,1.264051,0.1857856,0.2470353,0.3409555,-0.09994999999999976,0.2232699999999994,0.8943000000000012,0.7786200000000001,1.6842000000000006
