,ra,dec,type,type_name,type_label,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z
0,235.117478206569,11.4263502678449,3,GALAXY,0,22.70802,22.2759,21.79718,21.66998,21.37713,0.3107698,0.0810097,0.07971371,0.0966237,0.2878042,20.10662,21.29957,20.53062,20.35324,20.07009,0.2119312,0.06579483,0.06931027,0.0718601,0.2426935,20.83672,21.84632,20.61043,20.65506,20.14785,0.268234,0.335584,0.1405479,0.2613685,0.5477266
1,235.123984033874,11.5188541018416,3,GALAXY,0,24.83607,22.71099,21.1307,20.08904,19.60068,0.8616638,0.1134581,0.04615944,0.02865706,0.06470209,27.09743,21.86344,20.29084,19.37778,18.61531,0.7279146,0.1132987,0.04477411,0.02343078,0.05871217,24.53568,21.96661,20.3447,19.44897,18.64004,3.804203,0.2726034,0.09469627,0.05982907,0.1179397
2,235.127653901002,11.4289313762589,3,GALAXY,0,25.11224,23.02607,22.75364,22.22119,21.59221,0.8086557,0.1493691,0.1801972,0.1547872,0.3357921,25.37827,22.79686,21.96648,21.98942,21.21975,0.7054683,0.1799634,0.2299372,0.178541,0.3811916,25.80429,23.84411,22.24253,21.88315,23.27074,1.768577,1.018551,0.4161235,0.4260409,1.975415
3,235.131757156684,11.5038211247529,3,GALAXY,0,23.50954,23.50578,22.10546,21.6877,22.36095,0.5671291,0.2175032,0.1024416,0.09695744,0.519286,20.09506,23.42834,21.78447,21.60719,22.18777,0.3442681,0.2241428,0.1243699,0.1000215,0.98919,22.54753,23.15964,21.79809,21.69395,22.83233,1.338482,0.5124733,0.2450304,0.3623522,2.532449
4,235.133681741085,11.5620413411589,3,GALAXY,0,23.45849,24.24336,23.02603,22.06958,21.26486,0.5500463,0.3710909,0.4626508,0.1365571,0.257778,24.14125,23.41084,22.64658,21.72194,21.20206,0.8322313,0.3943651,0.2723582,0.1362103,0.2729065,26.4932,23.38617,22.95697,22.1829,22.09447,1.690798,0.5181724,0.7012047,0.4792241,1.271499
5,235.144196020428,11.4898187190985,3,GALAXY,0,23.97045,24.3955,23.25815,21.92876,21.21138,0.7464584,0.4013889,0.2708202,0.1189254,0.2487818,21.67124,23.82374,23.14563,21.69076,21.42706,0.5107581,0.699877,0.3241028,0.1186081,0.3057675,22.9434,24.55585,23.48988,21.66953,23.88473,0.8797491,1.204154,0.951764,0.2635154,1.065318
6,235.147918383787,11.4505144892171,3,GALAXY,0,23.68152,23.7001,22.45616,22.08837,21.91523,0.6366541,0.2553092,0.1392753,0.1371088,0.4162521,22.37042,23.17875,20.12236,21.91627,19.87287,0.7621908,0.2716321,0.1112169,0.143026,0.4552167,27.06405,22.29015,20.91439,22.20119,21.16206,0.7891644,0.3454248,0.1609224,0.7330787,1.145843
7,235.148806247927,11.5698433040934,3,GALAXY,0,22.82972,23.7465,22.40745,22.14779,20.63951,0.3389481,0.2624676,0.1330316,0.1458746,0.153335,22.95649,23.0778,21.83113,21.33833,20.27114,0.3886248,0.219394,0.1971504,0.2443906,0.1537488,24.62472,24.5898,22.17173,21.4383,20.22607,2.772812,1.596348,0.3677589,0.2620503,0.3733366
8,235.153342694083,11.4363551595605,3,GALAXY,0,23.41133,24.5867,23.36299,22.89428,22.32535,0.8794162,1.09086,0.3196749,0.314007,0.5237449,23.5759,24.64812,23.17368,22.6711,22.24738,1.263677,1.615297,0.8256757,0.8974965,4.941876,23.59515,24.77999,23.27371,22.75746,22.50356,1.946018,1.732487,1.037895,0.9720625,2.144196
9,235.160836693147,11.4415574130525,6,STAR,1,23.47364,20.59344,19.15885,18.55537,18.23077,0.5532859,0.02715815,0.01595505,0.01592925,0.02572131,21.83089,20.6108,19.1643,18.56441,18.23868,0.393092,0.02330603,0.0149777,0.01008179,0.02384626,22.5872,20.72987,19.21866,18.59506,18.32632,0.5019008,0.03928458,0.01703137,0.01400224,0.04140551
10,235.169548540736,11.4792431782494,3,GALAXY,0,22.43606,22.53985,21.97238,21.74423,22.31357,0.2434164,0.09808058,0.09106599,0.1010781,0.5095329,19.23771,21.35293,21.13884,20.89822,19.00086,0.1886902,0.08499062,0.08398391,0.0927256,0.3682507,21.1641,21.64146,21.23228,20.83525,20.00873,0.2604841,0.1480999,0.1712455,0.1642144,0.3396262
11,235.173066681479,11.4721320499828,3,GALAXY,0,23.19421,23.75176,23.09647,22.21915,22.03725,1.256599,0.2625985,0.2371309,0.1518059,0.4457139,22.54793,23.40546,22.35221,21.77883,20.98323,0.4181603,0.3708605,0.2800403,0.1668437,0.3658361,25.92767,26.23413,22.44756,22.17484,21.00647,2.202985,1.341688,0.540955,0.5795667,0.7814735
12,235.173402369,11.4799133681507,3,GALAXY,0,24.61218,23.06048,22.78802,22.87708,23.0525,0.8757215,0.1507002,0.1828436,0.262011,0.5509767,20.6805,22.45169,21.57159,22.23018,20.40097,0.671844,0.1546585,0.2081405,0.271362,0.4459319,21.82545,22.88456,21.86895,24.29806,20.9278,0.5643299,0.5888162,0.2964049,2.719726,0.9362423
13,235.178825440233,11.5208346843226,3,GALAXY,0,24.60227,23.35122,22.23696,21.41509,20.61894,0.8799801,0.1907054,0.1138828,0.07657105,0.1513838,20.81226,22.46005,21.67469,20.70884,20.43075,0.7730772,0.1825564,0.1131671,0.07770162,0.1539287,22.30923,22.49826,22.13898,20.92181,20.61725,0.6792362,0.3041562,0.3866729,0.1683641,0.5262281
14,235.194627275375,11.5588959790645,6,STAR,1,22.63302,20.74852,19.66654,19.23061,19.03251,0.2889948,0.02933241,0.01884967,0.01905714,0.04191971,21.61972,20.77002,19.67362,19.22029,18.90464,0.2960102,0.02576022,0.01807867,0.01495777,0.04160877,22.11994,20.83866,19.75477,19.28237,18.96668,0.3300978,0.04247125,0.02610772,0.02382071,0.0714028
15,235.196109571258,11.5145789666396,3,GALAXY,0,25.67667,23.86717,22.65937,22.00647,21.97623,0.5744193,0.2844255,0.1633947,0.1260591,0.4298131,25.85685,23.40496,22.19156,21.81577,20.00978,0.5001158,0.3396225,0.2019596,0.1275493,0.4122539,20.10033,24.51579,22.54521,22.41113,20.96358,0.07712656,1.314538,0.4231709,0.6799927,0.5664063
