,ID,Center_x,Center_y,Width,Height,Orientation,Area,Mean_Intensity,Min_Intensity,Max_Intensity,Magnitudo,Eccentricity,Weighted_centroid_x,Weighted_centroid_y,Variance_x,Variance_y,Covariance,Intensity_x,mean_x,sigma_x,RMS_x,Intensity_y,mean_y,sigma_y,RMS_y,type_name,type_SDSS,type_ID,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,psf-cM_Mag_u,psf-cM_Mag_g,psf-cM_Mag_r,psf-cM_Mag_i,psf-cM_Mag_z
1,2,27.36903489014251,398.6802013632421,32.609325281578684,50.28531389018433,-0.4692253628988284,1149.0,27.253785682897274,0.0,0.05686000000000001,16.411432908972895,0.35151393600142145,23.594065473224155,398.5527726913875,147.10106700124607,59.76810695629683,67.15805334723154,1.1613284950152925,19.223901485257475,9.130872455716572,0.013792941118975046,7.623089029002595,11.003293120016604,3.672148699657371,0.1414009047914654,6.0,STAR,1.0,17.80663,16.69769,16.2498,16.11417,16.05504,0.02028475,0.01136568,0.01453191,0.01324533,0.0155516,17.76494,16.68997,16.212,16.12046,16.05791,0.01150988,0.004007699,0.003828837,0.004159791,0.006637856,17.80384,16.7242,16.25044,16.16644,16.10801,0.9509195,0.7391964,0.7314135,0.9884506,0.4241754,0.04168999999999912,0.007720000000002614,0.03780000000000072,-0.006289999999999907,-0.0028699999999979298
2,3,40.00000000148537,1030.5000000126443,8.744235444842763,10.386189446790562,-0.04283390158622546,74.0,26.04252862745098,0.0,0.03423137254901961,16.460792124411583,0.15809012635092845,39.91352999722435,1030.5513210015376,3.3986122631495164,3.732155676931143,0.08414226773311384,1.603913396639019,7.183335286676051,2.2237947553599433,0.001531225163951693,1.5197572967579567,6.355762100669016,2.06801260639064,0.005809675817215131,3.0,GALAXY,0.0,22.65185,21.63212,20.51455,20.00274,19.82361,0.2943279,0.05352198,0.0313006,0.03146889,0.07805927,22.51028,21.10156,20.06391,19.65427,19.40261,0.3328126,0.05472638,0.02750763,0.02918487,0.08011994,22.73553,21.12236,20.08152,19.69402,19.61417,0.9138528,0.09739058,0.0532327,0.06152814,0.2051591,0.14156999999999798,0.5305600000000013,0.45063999999999993,0.34846999999999895,0.4209999999999994
3,4,47.60086802209205,967.5774623894354,5.664512218130481,4.014135433983709,-0.029615755241598454,26.0,19.549838556862746,0.0,0.030463921568627452,16.772142061674526,0.29135373366560824,47.58515265651654,967.7257666684613,1.524035445867412,1.4192361056338996,0.08435019982425729,-0.6997180822897638,5.173179702224681,-1.6976196374298327,0.00026924456439678134,-0.6972413508697218,5.18133653227235,-1.8863130876504126,0.0010144174379863847,6.0,STAR,1.0,23.9414,23.02495,21.74099,20.76627,20.22449,0.7424296,0.1709634,0.078775,0.06672383,0.1261359,22.95822,22.35803,21.593,20.77837,20.24878,0.9159813,0.1813107,0.07939555,0.06758319,0.1422386,22.85333,22.79976,21.75381,20.86097,20.76808,0.7253276,0.2987407,0.1729693,0.1571091,0.476974,0.9831800000000008,0.6669200000000011,0.14799000000000007,-0.012100000000000222,-0.02429000000000059
4,5,50.0,1097.0,5.0896720822428145,5.0896720822428145,0.013707783890401887,21.0,25.8004768627451,0.0,0.02601450980392157,16.470930667558502,0.0,49.831137777504374,1097.1729362595452,1.4059168533053708,1.159866432659328,0.005709594894142356,-0.6551315267766962,4.7911507581207085,-1.458752145987889,0.0005576674790571861,-0.8099160946932926,4.2828496737326365,-1.8491833367659922,0.0024254139648966317,6.0,STAR,1.0,25.45295,23.31405,21.79562,20.57854,20.13603,0.6759527,2.718987,0.5356393,0.2488357,0.1620612,25.49288,23.33008,21.81297,20.59008,20.13777,1.307934,0.3943948,0.129954,0.06759724,0.1069383,24.95323,23.73044,21.94684,20.73467,20.45316,1.531931,6.757998,1.276671,0.7521479,1.053089,-0.039929999999998245,-0.016029999999997102,-0.01735000000000042,-0.011540000000000106,-0.0017399999999980764
5,6,59.681288377714175,1090.0224450427802,10.880309518695176,12.397445922559152,-0.04432223548916179,112.0,41.98376727272726,0.0,0.05667529411764706,15.942296485111187,0.12237491603841566,59.5897259685985,1090.1314683376559,4.331917359164436,3.678450083360076,-0.055573780336999334,3.557300563390943,7.753179768265344,2.10439484252268,0.003612480245390428,4.01290353340014,7.9725326265324865,2.3686105853196953,0.003459424214308485,6.0,STAR,1.0,19.6885,19.05065,18.75129,18.5565,18.53188,0.03523865,0.01404819,0.01642771,0.01625609,0.03025909,19.65221,19.04551,18.73073,18.5461,18.5241,0.03327834,0.009804143,0.00934824,0.01115798,0.02878253,19.68263,19.09784,18.7673,18.59089,18.57198,0.04493098,0.01199919,0.0123089,0.01652675,0.05387461,0.036290000000001044,0.005140000000000811,0.02055999999999969,0.010400000000000631,0.007780000000000342
6,7,59.8599049903864,401.3058529614948,10.729817889623694,8.757764115789922,-0.5797958639624279,78.0,12.837085141612201,0.0,0.037749411764705885,17.22883394585178,0.18379191465503375,59.849278712907314,401.0311938013078,3.5958400219760733,4.587729123304598,-0.8564958641036355,0.68414632926482,6.430517588091284,2.2035764129576143,0.002711772799394052,0.8026201841631346,6.340213971686296,2.0744116407170154,0.0015118077868660146,3.0,GALAXY,0.0,24.4298,23.15852,21.60369,20.83747,20.34439,1.01704,0.2338831,0.06889223,0.06128101,0.1211851,24.46947,23.21127,21.08726,19.98983,19.50046,5.555605,0.2590597,0.1209356,0.05476152,0.1376915,24.50538,23.43721,21.14076,20.26082,19.64775,2.991587,0.8676106,0.1422144,0.1528136,0.2990874,-0.03967000000000098,-0.05274999999999963,0.5164299999999997,0.8476399999999984,0.8439300000000003
7,8,78.69332177975161,478.41441828227136,14.81577059099671,16.26592876237528,-0.5256261729046053,200.0,20.127555764705885,0.0,0.16704745098039217,16.74052240360698,0.08915311216245658,78.54719218183897,478.6015869958726,8.010618139337566,7.978825885191327,0.6620330280857161,2.7807003970313025,10.108674238736148,2.5445235357418894,0.01197512448745371,2.641759898056713,10.103091263944522,2.4531071848552473,0.011066251778299382,3.0,GALAXY,0.0,24.39601,21.2955,19.75896,19.21563,18.89015,0.8714051,0.0412801,0.02086904,0.02002499,0.03781226,24.85616,20.7993,19.11209,18.56741,18.40075,0.9396725,0.03851671,0.0150718,0.01512515,0.03589482,26.49257,20.82802,19.14537,18.62917,18.40699,1.313295,0.08437165,0.03557513,0.03465938,0.09013008,-0.4601499999999987,0.49620000000000175,0.6468699999999998,0.648220000000002,0.48939999999999984
9,10,85.41346111644788,327.334242146269,10.404583180090214,9.82642104328593,-0.10493619405934203,84.0,21.27753557536146,0.0,0.0492086274509804,16.680196686713266,0.05556802485952839,85.25119812791775,327.2434436969681,3.0051041871065536,2.771541679438087,0.11353817446433823,1.9658323065848076,7.749428965197051,1.6947166027938732,0.0027698870225725527,2.132987219405358,6.64910676843,1.869727473611768,0.0034503555558045894,6.0,STAR,1.0,23.95014,21.55909,20.15698,19.2377,18.70299,0.939104,0.05042452,0.02477576,0.02032704,0.03381779,28.87771,21.58126,20.14715,19.24541,18.71305,1.15772,0.05343678,0.02699363,0.01991509,0.03612421,24.87538,21.62597,20.23311,19.33004,18.80669,1.649489,0.09191477,0.03919227,0.02932379,0.06256002,-4.927569999999999,-0.022169999999999135,0.009830000000000894,-0.0077099999999994395,-0.010059999999999292
10,11,87.88130079811481,154.5422685835278,7.0121882190317795,6.746219456189598,0.6133479551599677,39.0,22.084622819794586,0.0,0.044887843137254906,16.639775033993452,0.03792949569156112,87.80157768251568,154.51725637863245,2.3482424289040864,1.815993624186376,0.21662410971475765,-0.8131492099181304,6.104015590605021,-1.5113940188694708,0.00044088102435426823,-1.0984397215830433,5.412264269328612,-2.079436006028794,0.0013929477681077493,3.0,GALAXY,0.0,21.85517,21.73764,21.1,20.64545,20.53897,0.1534027,0.05844877,0.04517004,0.05052367,0.1415969,21.91348,21.59393,20.83923,20.48211,20.33734,0.1677466,0.07123669,0.05061409,0.05361394,0.1510002,21.91375,21.79478,20.93437,20.46766,20.30603,0.3503593,0.1394217,0.09367871,0.1027988,0.2962855,-0.05830999999999875,0.14370999999999867,0.26077000000000083,0.1633400000000016,0.20162999999999798
12,13,90.34991953126413,343.18741009358735,6.352317014924185,7.72676764652442,0.3004787432036386,40.0,13.17518700280112,0.0,0.04511019607843138,17.20060802971771,0.17788170868817021,90.66641399067277,343.0790357382898,2.845561107062167,2.2048678142600693,-0.09481311872877995,-0.5969941446157987,5.430509765217436,-2.1888295117918597,0.0015223763216011565,0.6475714233551468,6.354525947301141,2.281988777236589,0.004845191239565699,3.0,GALAXY,0.0,23.53255,23.37004,21.94311,21.11394,20.6881,0.4634237,0.2402746,0.0890703,0.07417229,0.1635372,23.60932,23.33441,21.5276,20.09476,20.13883,1.52922,0.4181691,0.1138048,0.07578424,0.329807,23.55188,23.59673,21.58371,20.42205,20.52507,1.669889,0.8333058,0.1969346,0.1174724,0.4531473,-0.07676999999999978,0.03563000000000116,0.41551000000000116,1.0191799999999986,0.5492699999999999
