,ID,Center_x,Center_y,Width,Height,Orientation,RA,Dec,Area,Mean_Intensity,Min_Intensity,Max_Intensity,Magnitudo,Eccentricity,Weighted_centroid_x,Weighted_centroid_y,Variance_x,Variance_y,Covariance,Intensity_x,mean_x,sigma_x,RMS_x,Intensity_y,mean_y,sigma_y,RMS_y,type_name,type_SDSS,type_ID,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,psf-cM_Mag_u,psf-cM_Mag_g,psf-cM_Mag_r,psf-cM_Mag_i,psf-cM_Mag_z
328,329,1356.2093023255813,388.4418604651163,8.037318104189502,6.795689715461817,0.002493955843068585,242.24856962239232,29.238922144712618,43.0,15.492938338001869,0.0,0.04397137254901961,17.024665519036176,0.1544829223669122,1356.110138421805,388.2670649342938,2.386373986490071,3.251900292467326,-0.06973230850417167,-0.7441334871529909,4.8055846160617,-3.1705049112056347,0.0020046443604951345,0.8154437169562743,5.76728676595494,3.6402788129289485,0.0009739686768241558,3.0,GALAXY,0.0,22.20238,21.8095,21.54137,21.36449,21.8609,0.1835953,0.07918538,0.07994795,0.106541,0.4708526,21.2463,20.92875,20.63369,20.49267,17.72791,0.1756677,0.06970204,0.09121458,0.09068313,0.2540757,21.17247,21.35606,20.70339,21.02275,19.39966,0.3834251,0.2421965,0.1146488,0.4024663,0.2980664,0.95608,0.880749999999999,0.9076799999999992,0.8718199999999996,4.1329899999999995
94,95,344.8882251753803,612.023728592108,7.534603636163914,6.224068481555366,0.714015904133738,242.1628048245814,29.32482749930906,39.0,7.80670605664488,0.0,0.04769333333333334,17.768830431689608,0.1739355137831483,344.79833102080687,611.5351976832011,2.7400751228415174,1.9492182763060555,0.7189480763918255,0.20290599241083235,5.2479155473434504,1.4773503520448419,0.0002935434010420747,0.34116464242790473,5.6861871000923445,2.300863023245582,0.00039127319318403754,3.0,GALAXY,0.0,23.06271,23.23672,22.43341,21.96977,21.68614,0.4434541,0.2699151,0.1568223,0.183837,0.4129793,22.72708,20.52351,22.02975,21.43687,18.50737,0.4881891,0.1946631,0.1915459,0.1724943,0.2456387,22.63519,22.28148,22.09701,21.3342,20.13627,0.8875027,0.3508875,0.4072054,0.3327371,0.3650247,0.3356299999999983,2.7132099999999966,0.4036599999999986,0.5329000000000015,3.17877
78,79,315.3081440071551,512.6347602793243,8.163363633272564,6.987905386890133,0.5915891984286881,242.15235239498838,29.317970948713494,47.0,6.949507739095639,0.0,0.05154666666666667,17.895114892757054,0.14399190078847546,314.8894376877403,512.231606737482,2.7951605484850006,3.143956787127536,0.09893945950898342,0.3488791810688331,3.9634160932849736,3.8636601249038516,0.002711067503345156,0.2689259542418438,4.733953685428506,1.5809039373556735,0.001202014489855198,3.0,GALAXY,0.0,23.17764,22.54575,22.61549,22.29071,21.71688,0.4855054,0.1490517,0.1836144,0.2435146,0.4210823,22.42762,21.48009,21.8488,21.59231,18.81445,0.6000727,0.1358639,0.2052021,0.2892904,0.3569546,23.93588,21.41844,22.2695,21.47787,20.55113,2.356897,0.1600658,0.4763007,0.3795789,0.5303254,0.7500199999999992,1.0656600000000012,0.7666900000000005,0.6983999999999995,2.902429999999999
199,200,819.0,389.0,5.0896720822428145,5.0896720822428145,0.013707783890401887,242.19416681716226,29.274109959869307,21.0,27.63179921568627,0.0,0.036089803921568624,16.396477088830324,0.0,818.8937200225832,388.74664169044456,1.4512609121156856,1.1739371149451472,0.006537567765917629,-0.6233563407668793,4.0988049933366675,-1.3155042732843554,0.0010093501291301467,-0.8683876367184054,4.3238213301941215,-1.9761115953911026,0.0009528337669092405,3.0,GALAXY,0.0,23.49521,21.89466,21.34468,20.93192,20.7081,0.4204183,0.08424114,0.0642508,0.07451813,0.1885209,22.22722,21.89046,21.20171,20.89202,17.92246,0.6295536,0.09939381,0.06469665,0.1027077,0.1810715,23.30065,21.80457,21.3158,21.08639,20.2883,1.125563,0.16851,0.1456922,0.1929741,0.3321475,1.267990000000001,0.004199999999997317,0.14297000000000182,0.03990000000000293,2.785640000000001
51,52,223.69073403505755,69.27752267445506,34.20927913842202,58.85029142725167,0.475615004649108,242.10983493771317,29.284740407833745,1666.0,16.468809596153047,0.0,0.09244470588235294,16.958344478776585,0.4187067165043671,223.57327537645432,68.81278029615278,124.33901026916283,69.45148414620235,-41.012136165589254,5.4362501961170056,23.983715516141547,6.835186587580784,0.03805051799836012,6.783932201689797,29.392454966288653,8.74437154657604,0.0554823576864335,3.0,GALAXY,0.0,20.97,20.03868,19.69013,19.27657,19.03456,0.08339234,0.02338336,0.02109941,0.02402755,0.04708821,18.23217,17.29481,16.93921,16.71406,16.51873,0.03683174,0.008981252,0.008205728,0.01024721,0.02390515,18.3596,17.38215,17.01453,16.83334,16.68526,0.07794894,0.01704346,0.01522493,0.02340394,0.06703298,2.737829999999999,2.743870000000001,2.7509200000000007,2.5625099999999996,2.5158299999999976
64,65,246.57439745782114,18.304629378469514,14.634348803883245,19.830324800138442,0.046443260964334425,242.10833840774782,29.278736146546045,241.0,15.580041491965208,0.0,0.05374901960784314,17.018578475177964,0.26202172927691647,246.1710985524959,18.032479701148866,17.123452120591537,8.819757887077344,-0.43716536464307865,-1.5227970278491305,9.4345298786097,-2.6540624970522253,0.008481602812379427,2.4166482377029603,11.455448931269148,4.229136855674225,0.0069913849258934554,3.0,GALAXY,0.0,20.97,20.03868,19.69013,19.27657,19.03456,0.08339234,0.02338336,0.02109941,0.02402755,0.04708821,18.23217,17.29481,16.93921,16.71406,16.51873,0.03683174,0.008981252,0.008205728,0.01024721,0.02390515,18.3596,17.38215,17.01453,16.83334,16.68526,0.07794894,0.01704346,0.01522493,0.02340394,0.06703298,2.737829999999999,2.743870000000001,2.7509200000000007,2.5625099999999996,2.5158299999999976
311,312,1290.4109589041095,787.4931506849315,10.698624514064644,8.729624870348777,-0.013378942595203246,242.2718377269921,29.278496976916703,73.0,11.384921733236505,0.0,0.03858274509803922,17.359174876596697,0.18404231694713435,1290.2161269735243,787.3134359616391,4.448194889118895,4.447660973062739,1.6830429933033884,0.7045806649380805,6.994616201301244,2.318019902820605,0.001997825219378361,0.7028204588603205,5.892333420708346,2.3773753569022125,0.004254955623755837,3.0,GALAXY,0.0,21.98789,22.26421,21.59925,21.09312,20.93762,0.1879027,0.1169047,0.08127943,0.08473092,0.2308107,21.81128,21.25753,20.94942,20.37559,18.74559,0.2182723,0.09561241,0.07855269,0.09814747,0.2423603,21.59345,21.17285,20.99988,20.41389,20.06558,0.437389,0.1778051,0.1533626,0.1828,0.4255662,0.17661000000000016,1.0066799999999994,0.6498300000000015,0.71753,2.192029999999999
141,142,535.2109618443645,835.6129141829906,31.273951352215764,38.89887571058546,0.33388004520366954,242.19888082163175,29.332155720553338,994.0,23.805358122135978,0.0,0.09932588235294117,16.55831320179403,0.19601914500307116,534.5020533997347,835.0318202003435,63.57724630384473,41.40044983616099,-3.5093208217876963,6.038537630809501,19.19788742934717,5.757317289213253,0.024011001623327935,6.870761209038943,20.14342311618527,7.558919152818632,0.0666791280936181,3.0,GALAXY,0.0,20.38401,19.41881,19.30376,18.955,18.78162,0.05771171,0.01845546,0.01842621,0.02108644,0.0402463,17.8151,17.33659,16.99215,16.80492,16.67024,0.03102379,0.007345145,0.007409834,0.00909871,0.02456653,18.23964,17.44319,17.11373,16.92498,16.81079,0.05566689,0.01432552,0.01459333,0.01989334,0.05895953,2.568909999999999,2.0822199999999995,2.3116100000000017,2.150079999999999,2.1113800000000005
55,56,210.49297962882497,653.8717457244936,11.20173463909695,15.751025130075654,0.6365682332303586,242.15230655646994,29.33731274991671,146.0,12.722219383753503,0.0,0.044254117647058826,17.23859279914835,0.2888250417613837,209.93135111955013,653.8209934002417,10.258411419155891,8.033772353897803,-2.673323610040825,1.0350337029588383,7.9635007546678,4.1907464322458425,0.0016427970805582435,1.1236372965533523,8.069663345299006,4.6444815641696,0.004782925115159456,3.0,GALAXY,0.0,21.84038,21.33156,21.41342,20.9612,21.12967,0.1617723,0.05672747,0.06511547,0.07631645,0.267574,20.36872,20.08032,19.92296,19.8909,19.22375,0.1364953,0.04252967,0.0471362,0.0605813,0.1799321,20.58169,20.2248,20.02493,19.84956,19.24125,0.2218538,0.08568078,0.06162048,0.1365307,0.2582043,1.47166,1.2512399999999992,1.4904599999999988,1.0703000000000031,1.9059200000000018
337,338,1379.2270664813523,170.57020185334108,7.136883091845958,10.493681572325407,-0.4066764476637309,242.23456603506256,29.21815797943782,60.0,13.420441456582633,0.0,0.040332549019607845,17.18058299525279,0.3198875873394337,1379.0759501516359,170.43410075269927,3.324124543229118,2.487676717901195,0.0705916328006424,0.6879188444410197,6.468429973984875,1.9847453652649263,0.0013604191619755932,0.7838001170190779,6.522069789620488,2.461633637359299,0.002477312324251212,3.0,GALAXY,0.0,22.14203,22.0219,21.27122,21.19457,21.1197,0.2148549,0.09423189,0.07316791,0.09184885,0.2696239,21.45494,21.73187,20.9432,20.81594,19.22957,0.2390295,0.09604429,0.08441121,0.1331974,0.2783894,21.57989,21.97756,20.92918,20.87749,19.97565,0.3478647,0.2773675,0.1431753,0.2226432,0.3653241,0.6870899999999978,0.290029999999998,0.32801999999999865,0.3786299999999976,1.8901300000000028
