,ID,Center_x,Center_y,Width,Height,Orientation,Area,Mean_Intensity,Min_Intensity,Max_Intensity,Magnitudo,Eccentricity,Weighted_centroid_x,Weighted_centroid_y,Variance_x,Variance_y,Covariance,Intensity_x,mean_x,sigma_x,RMS_x,Intensity_y,mean_y,sigma_y,RMS_y,type_name,type_SDSS,type_ID,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,psf-cM_Mag_u,psf-cM_Mag_g,psf-cM_Mag_r,psf-cM_Mag_i,psf-cM_Mag_z
289,290,609.2672309025651,1054.7491856528984,12.849756658521372,4.75118155295018,-0.5169161146917285,34.0,12.059410405228757,0.0,0.02933294117647059,17.296684811753153,0.6302512429447904,609.235438485877,1054.4865292069157,2.0263355614151806,1.6722777434624732,-0.3488137172535062,-0.46862713972785347,5.422880901255693,-1.3848866268759699,0.0004500116628707035,0.4811755361780026,5.873479968552734,1.9647985501581502,0.0019611874910703533,3.0,GALAXY,0.0,23.94356,23.0544,22.15525,22.38067,22.30126,0.5725718,0.1372479,0.1062696,0.1625259,0.4810105,23.7986,22.19426,21.37403,21.97632,19.31341,0.6447837,0.1336283,0.08275665,0.1569821,0.4967809,23.40165,22.68147,21.63724,21.82667,22.60152,1.570616,0.2939046,0.190241,0.3883663,1.743599,0.1449600000000011,0.8601400000000012,0.7812199999999976,0.4043499999999973,2.987849999999998
411,412,904.5000000876488,844.4999999569642,4.764030568435089,7.402651403718932,0.3067086629570312,28.0,9.566701929411765,0.0,0.02713843137254902,17.548094392946567,0.35644267052184253,904.4720277655078,844.5446085655489,1.881068748421967,1.9386970133055001,-0.7262188135646284,0.2398266911252837,5.797537390328188,1.810231028550309,0.0006635962082571948,0.37463002078963314,5.675902002521613,2.4641333081447563,0.0003246556017219154,3.0,GALAXY,0.0,24.19043,23.68596,22.92557,22.17344,21.93735,0.6377302,0.2749256,0.1634387,0.137634,0.4018906,23.48331,20.65612,22.08435,21.63454,19.10095,1.228886,0.2341972,0.1859675,0.1337775,0.3528502,26.11057,23.14288,22.29073,22.41326,21.78282,1.125064,0.7119642,0.3579184,0.8538674,1.468444,0.7071199999999997,3.02984,0.8412199999999999,0.5388999999999982,2.8363999999999976
296,297,631.7567567567568,1387.5945945945946,7.670168369232968,6.087006124297145,-0.02294208548931176,37.0,13.453386577030814,0.0,0.03972156862745098,17.17792094592248,0.20640514897773266,631.810505216856,1387.5884548859426,2.9213651018799283,1.5541494591161609,0.5216632556403056,-0.4344182646473824,5.223526928615714,-1.5840477933482315,0.0008643643892071299,0.6210642833329834,6.157105838478376,2.5747172359742496,0.001583986889151965,3.0,GALAXY,0.0,25.09633,23.39083,22.19959,21.79608,21.72674,0.6165244,0.1802861,0.08813272,0.1058828,0.3438142,25.06656,22.21698,21.53961,21.01395,19.00195,0.6272405,0.187165,0.08152817,0.1218189,0.4646043,27.75825,22.41199,21.77517,21.32877,20.97641,1.571277,0.2889287,0.2064895,0.226898,0.6733075,0.029769999999999186,1.1738500000000016,0.6599800000000009,0.7821299999999987,2.7247899999999987
604,605,1390.1501021487604,1392.3066279049822,7.3155641978577775,4.134848970858419,0.5525520347882975,22.0,12.281158274509805,0.0,0.06411411764705882,17.276901678975296,0.4347874122860913,1390.2060041728937,1392.6348614670524,1.2213210933841765,1.806780690792948,-0.002329976996406913,-0.6802669702280297,4.800150831625843,-3.7775010973130283,0.0015251945143839637,-0.35186827740971033,4.542587627655864,-1.9168662675217416,7.838112953189321e-05,3.0,GALAXY,0.0,25.20792,23.08613,22.61961,22.26089,21.95653,0.5835556,0.1407361,0.1252904,0.1441536,0.3973598,22.10835,21.89217,21.6497,21.27002,19.31442,1.054378,0.1236295,0.1449328,0.1390787,0.2827286,23.20356,22.2641,21.87987,21.5968,20.20353,1.360327,0.3202863,0.2988365,0.398,0.4415712,3.09957,1.1939600000000006,0.9699100000000023,0.990870000000001,2.6421100000000024
356,357,797.0965193829478,595.3544110937783,51.698142998117305,52.70363423356229,0.27139116160315474,2185.0,14.711143357035121,0.0,0.6208011764705883,17.08088393096933,0.019078214435631402,799.0326138998445,592.3614901207502,116.72910503356252,102.1051286116126,-12.416664939722978,5.14542187486207,23.298784002051335,7.689159644956661,0.05158044800180822,5.990252239722685,35.14722949127563,9.666081543863738,0.027409804657680645,3.0,GALAXY,0.0,21.98362,20.24863,19.28876,18.89653,18.42428,0.1273751,0.02346791,0.01837781,0.01639003,0.03044544,18.7467,17.43754,16.72983,16.46663,16.15352,0.07053142,0.009021838,0.006398252,0.007010275,0.01745454,19.03697,17.70227,16.9414,16.71201,16.39371,0.1416017,0.02106636,0.01304482,0.02215127,0.06073379,3.236919999999998,2.81109,2.55893,2.4299,2.2707599999999992
286,287,605.3448275862069,399.2758620689655,6.538990014991862,5.6002583663015235,0.016616948083361876,29.0,12.226206619607844,0.0,0.030486666666666665,17.281770672560327,0.14355911945699873,605.4836144867004,399.169529394446,1.0323462508386,1.3556495750381146,-0.14823948152479716,-0.46657653194997056,4.564412365598718,-1.2061625784912804,0.00046940044638099556,-0.5105714855093941,5.0813064535922825,-1.202041343299554,0.0018363109902119865,3.0,GALAXY,0.0,23.54846,22.8297,22.15278,21.95346,21.44586,0.4072891,0.1120216,0.08661509,0.1171701,0.2904515,23.3145,22.27508,22.16126,22.01998,19.18545,0.5324517,0.1271676,0.09292664,0.1498418,0.2586435,23.40065,22.61659,22.47185,22.23499,20.86947,0.5890019,0.1586694,0.1869853,0.2611021,0.3029928,0.23395999999999972,0.5546199999999999,-0.00847999999999871,-0.06652000000000058,2.2604100000000003
291,292,612.3333333333334,1175.875,6.081140986576508,4.932066489508718,0.021443578602654965,24.0,9.392138039215686,0.0,0.031289411764705885,17.56808883271637,0.18895705585584244,612.5890962026041,1175.9637297997401,2.215616210771259,1.1994914929382503,-0.6689387772930786,0.21110123269001485,5.259814327955969,1.8886183276094528,0.00043946763305162525,-0.2524700660955832,6.42748727605375,-1.3532212757924684,0.002450636254485466,3.0,GALAXY,0.0,24.13713,24.56748,22.96923,22.33017,22.24134,0.6200888,0.3923365,0.1673823,0.1549206,0.4671197,24.1348,22.98481,22.43815,21.70894,19.983,0.6427908,0.3240574,0.1703701,0.1473778,0.3012113,27.85261,23.13899,23.00377,22.01645,20.3244,0.3419614,0.5136355,0.6162274,0.4420727,0.3864877,0.0023300000000006094,1.5826700000000002,0.5310799999999993,0.6212300000000006,2.2583400000000005
284,285,594.811989572726,855.4414738897601,8.640984161770376,18.593192066689962,-0.32997651212481144,133.0,12.504908475201846,0.0,0.04533254901960784,17.25729870642711,0.5352608561898925,594.5850358256472,855.331654762725,15.170275724551175,4.741066460264847,4.4526515626348555,0.9002586517263294,7.633641913734014,2.061427555834711,0.0021237942476042587,1.5271638821451545,10.561320844245843,3.7380133561692017,0.004870507704035815,3.0,GALAXY,0.0,23.00112,22.27438,21.61047,21.27793,20.75092,0.3083374,0.07352792,0.05652701,0.06600681,0.1632831,21.09129,20.5728,20.08229,19.75879,18.6113,0.3014704,0.04836942,0.0522332,0.05621757,0.1278042,22.35428,20.68424,20.20337,19.88903,19.16724,0.9429287,0.08789063,0.08777314,0.108113,0.2194849,1.9098299999999995,1.7015799999999999,1.528179999999999,1.5191400000000002,2.1396200000000007
432,433,958.3931826166651,894.8938600182942,12.18099850931611,34.280315714241695,-0.7628718714987652,339.0,7.8444187564940515,0.0,0.22849764705882356,17.76359807640012,0.6446649263426842,958.2277172143849,895.0151700096618,35.906160290469415,35.81934028863907,29.82511102501303,1.3304382083846575,15.644719914065666,4.09038987371958,0.00477961879973581,1.0295255008088922,15.412849025471196,2.693292159549854,0.015929965569736356,3.0,GALAXY,0.0,24.78998,22.81848,21.76678,21.19182,20.53635,0.6779314,0.1224562,0.06316624,0.05991067,0.1351329,21.26803,20.0558,19.1236,18.88129,18.48305,0.4568338,0.05738668,0.03060146,0.03407888,0.1000537,22.05673,20.25793,19.20169,19.05434,18.53246,1.583441,0.1492442,0.06251382,0.1353229,0.3252701,3.5219500000000004,2.7626799999999996,2.643180000000001,2.31053,2.0533
333,334,718.1057691338788,318.68786187014416,15.803224268723179,13.752247048197326,0.2956511415949592,180.0,17.881760884866768,0.0,0.04769333333333334,16.86897429202054,0.12978220049594735,718.1374768098261,318.91078981316764,8.995052269368898,10.568726802361198,0.9188156746677123,-1.7113952266652535,11.008586615162695,-3.1040159647529526,0.010195290773721877,-1.6631947902816802,8.94284000528069,-3.3785821678474166,0.0020675765195351174,3.0,GALAXY,0.0,22.31572,22.07725,21.13231,20.78179,20.15292,0.1753927,0.06179675,0.04003753,0.04483709,0.1000914,20.44184,20.0515,19.39524,19.24427,18.18215,0.1711732,0.04215729,0.02682533,0.03157265,0.07883856,20.90664,20.15583,19.48398,19.26664,18.59156,0.2908062,0.07647029,0.05406079,0.07606658,0.1686357,1.8738799999999998,2.0257499999999986,1.7370699999999992,1.5375200000000007,1.9707700000000017
505,506,1112.1666091548484,571.2698313429004,5.372964371859798,8.775699016751593,-0.36244267158510357,37.0,12.340652897603485,0.0,0.03205529411764706,17.2716546570119,0.3877451401189178,1111.9560325463767,571.2833365444704,2.017601292114705,1.8210373451584019,0.06827446166425943,-0.46471413489061064,5.5184356284387475,-1.4672120912892135,0.0017389893643369658,-0.5674530350340338,5.312592145490963,-1.6594946023888322,0.0004778714611277532,3.0,GALAXY,0.0,23.20794,22.89988,22.31196,21.5831,21.61398,0.3937803,0.1195473,0.09920634,0.08438192,0.3259346,23.31078,22.49522,21.88393,21.23117,19.67387,0.4049205,0.1170822,0.1379311,0.08377994,0.3787349,25.36233,22.76355,21.74765,21.27034,21.15471,1.858697,0.3880366,0.22767,0.2503388,1.140655,-0.10284000000000049,0.4046599999999998,0.4280299999999997,0.35193000000000296,1.9401100000000007
545,546,1237.8616962476324,1292.2648888743695,27.91784278684175,17.310580806477873,0.12294310208015602,399.0,23.04807205433807,0.0,0.09994470588235294,16.593413492516728,0.3799456161907788,1237.8593488834306,1292.4849574465886,10.703969818307087,31.793239805148914,1.6550975947175175,4.597311103824206,16.537142483087457,5.406978590531397,0.04469391617320665,2.974577944497751,10.748859338178816,3.7316613806228136,0.005400145930810093,3.0,GALAXY,0.0,21.76543,20.88593,20.25623,19.93398,19.49696,0.1122197,0.03013495,0.02431298,0.02450054,0.05758323,20.45164,19.01879,18.32527,18.03808,17.65665,0.0864128,0.01519789,0.01190394,0.01340506,0.04100285,20.54666,19.09368,18.38883,18.15502,17.8651,0.2545822,0.03326752,0.01975801,0.03732805,0.1055645,1.3137899999999973,1.8671399999999991,1.930959999999999,1.8958999999999975,1.8403100000000023
