,ra,dec,type,type_name,type_label,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z
0,240.657312823672,17.5855288472025,3,GALAXY,0,22.39892,23.0478,22.01875,21.24332,21.02183,0.3007201,0.2124449,0.1028083,0.08165511,0.3061793,21.04961,22.85155,21.95808,20.95535,20.42205,0.2962812,0.1843127,0.1214241,0.1063482,0.3486728,22.21074,23.04223,21.95278,21.07166,20.6138,0.4888947,0.4332686,0.2858979,0.1799356,0.5193115
1,240.661844277738,17.6321832399707,6,STAR,1,22.98316,19.85262,18.47313,17.13676,16.44956,0.4892029,0.01983194,0.01259806,0.01020813,0.01909058,22.71074,19.82641,18.46205,17.1426,16.41755,0.542132,0.01598075,0.009926311,0.005741028,0.008958947,22.94251,19.84296,18.50379,17.1996,16.44534,0.790193,0.02098033,0.01039589,0.005720637,0.011604
2,240.670441376172,17.6310386278511,6,STAR,1,15.75869,14.48328,13.94667,13.79098,13.62276,0.01634671,0.01397894,0.01053269,0.0009056419,0.01759379,15.7491,14.47715,13.93798,14.15267,13.59763,0.004919115,0.003112242,0.003463348,0.01128756,0.003597888,15.80608,14.52273,13.98116,13.8513,13.65751,0.004161685,0.0009248828,0.0007650974,0.000721082,0.001813414
3,240.672959972393,17.5844239910203,6,STAR,1,25.43528,24.92238,23.44459,21.98588,23.33645,0.8825458,0.5845789,0.3419523,0.1569477,0.7393451,25.5419,24.96611,22.78757,21.90748,23.37245,0.8397924,0.597201,0.3583226,0.1655993,0.8458502,25.34437,25.45582,23.24859,22.54283,22.87832,1.558162,0.9471152,0.5255772,0.4883984,1.341954
4,240.68435236889,17.6574413694464,3,GALAXY,0,23.07417,23.67444,22.70408,22.97816,22.74951,0.5235419,0.3017496,0.1852842,0.3566966,0.8185552,19.38612,22.9977,22.25138,22.42564,19.45725,0.3738679,0.3463967,0.1984184,0.399122,1.027313,22.17455,23.5853,22.63071,23.17792,21.10495,1.085853,0.8576612,0.6215302,1.361119,1.090573
5,240.689150604748,17.7030189846656,6,STAR,1,25.73985,21.27949,19.88294,18.7487,18.08082,0.7254332,0.04445712,0.020813,0.01414463,0.02994468,25.80836,21.28746,19.87177,18.74989,18.07543,2.08076,0.04524449,0.02074935,0.01298955,0.02800334,25.27522,21.40972,19.91409,18.84436,18.21931,1.623746,0.08223972,0.03380563,0.0209645,0.04963167
6,240.691025430945,17.6181020506919,6,STAR,1,21.92883,25.0196,25.42077,24.18054,23.70699,0.1825503,0.5925392,0.5441861,0.6792938,0.6092989,22.12746,21.26593,25.40642,24.09882,23.71312,0.2487665,0.4974011,0.6410775,0.7243679,0.7404718,22.9003,24.42076,24.67372,24.41739,23.05822,0.4630853,0.7812966,0.8762812,0.9438617,0.9810768
7,240.702735777678,17.7279898703814,3,GALAXY,0,23.27511,23.07565,22.36114,22.37725,21.90783,0.6186631,0.184537,0.1378833,0.2170924,0.82338,23.27654,21.78636,22.10823,21.24408,21.97409,0.9357094,0.256548,0.2243414,0.2182664,0.7212529,23.8579,22.37989,22.27933,21.5662,23.46324,1.799309,0.2358715,0.3224034,0.278181,1.800044
8,240.703404415464,17.7067145191669,6,STAR,1,23.26389,23.65083,22.28183,21.37687,20.84808,0.6123241,0.2340174,0.1286815,0.09083273,0.2614668,23.51741,22.73901,22.25776,21.33529,20.87824,0.7572222,0.3704543,0.1381753,0.118744,0.3856259,24.62278,23.12363,22.64926,21.67502,20.94465,2.046233,0.4477792,0.4428124,0.2753951,0.6267139
9,240.715570326347,17.7593968414839,6,STAR,1,22.34573,20.90577,19.42268,17.86555,17.03976,0.288651,0.03304941,0.01651962,0.011019,0.02075202,21.26763,20.89849,19.42057,17.87093,17.03467,0.3124818,0.03771158,0.02109295,0.00913218,0.01338967,22.59967,20.95734,19.43596,17.91955,17.08402,0.6024024,0.05449981,0.02288507,0.01036377,0.02025576
10,240.715725448987,17.7409199536255,6,STAR,1,25.90891,22.66125,21.31835,20.53133,20.04677,0.6409481,0.1293978,0.05667533,0.04447484,0.1297464,26.05244,22.67897,21.31684,20.52477,19.9452,0.7621368,0.1398554,0.08529423,0.04672307,0.1313736,24.61276,22.95856,21.49441,20.65473,20.45971,1.874657,0.3033,0.1327427,0.1028047,0.369918
